log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
100min800Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Decision Trees,28.28,28.28,1,1,1.3793,0,0.3955192565917969,1.2962,False,0,0.2718,0.3708,0.3137,0.3211,0.2562,0.2851,0.2782,0.3542,0.3116,0.2657,0.15,0.1917,0.2842,0.2828,0.2755,0.2842,0.2828,0.2755,178.0,72.0,176.0,145.0,123.0,124.0,180.0,73.0,170.0,152.0,115.0,141.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Nearest Neighbor,26.93,26.93,1,1,,0,6.0615,0.0621,False,0,0.2721,0.4229,0.3312,0.2882,0.2083,0.2418,0.2521,0.3187,0.2815,0.2773,0.1271,0.1743,0.2724,0.2693,0.2572,0.2724,0.2693,0.2572,203.0,75.0,153.0,175.0,100.0,144.0,202.0,76.0,153.0,166.0,96.0,157.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,MiniRocket,25.83,25.83,1,1,,9996,0.5914,5.5585,False,0,0.2597,0.3896,0.3117,0.3333,0.0083,0.0163,0.2521,0.6167,0.3579,0.6429,0.0187,0.0364,0.372,0.2583,0.1806,0.372,0.2583,0.1806,187.0,0.0,293.0,180.0,4.0,291.0,184.0,0.0,296.0,169.0,8.0,294.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,LSTM,25.68,27.5,5,28,1.3863,18004,0.137359619140625,17.6353,True,0,0.25,0.1,0.1429,0.2531,0.4271,0.3178,0.2878,0.1667,0.2111,0.25,0.3333,0.2857,0.2602,0.2568,0.2394,0.2602,0.2568,0.2394,48.0,192.0,80.0,64.0,205.0,51.0,48.0,192.0,80.0,32.0,221.0,67.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Mamba,25.62,26.09,14,101,1.3863,6106,0.0465850830078125,47.8748,False,0,0.2532,0.25,0.2516,0.2718,0.2208,0.2437,0.2561,0.1521,0.1908,0.2503,0.4021,0.3086,0.2579,0.2562,0.2487,0.2579,0.2562,0.2487,120.0,93.0,73.0,116.0,106.0,68.0,120.0,93.0,73.0,118.0,98.0,71.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Transformer,25.1,25.62,22,37,1.3863,41940,0.319976806640625,29.1489,True,0,0.2483,0.5396,0.3401,0.254,0.0333,0.0589,0.2576,0.2458,0.2516,0.25,0.1854,0.2129,0.2525,0.251,0.2159,0.2525,0.251,0.2159,259.0,15.0,118.0,263.0,16.0,110.0,259.0,15.0,118.0,262.0,17.0,112.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,MLP,25.31,28.44,28,83,0.0925,708,0.005401611328125,4.9393,True,0,,,,,,,,,,,,,0.2528,0.2531,0.2524,0.2528,0.2531,0.2524,123.0,108.0,116.0,118.0,106.0,113.0,123.0,108.0,116.0,118.0,106.0,115.0,0.2552,0.2562,0.2557,0.2477,0.2208,0.2335,0.2522,0.2417,0.2468,0.2564,0.2938,0.2738
100min800OE_Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800OE_Norm_Noise_Train_640_Test_vleo.log,Decision Trees,48.8,48.8,1,1,1.1049,0,0.3779315948486328,1.0257,False,0,0.3446,0.3396,0.3421,1.0,0.0042,0.0083,0.3245,0.6625,0.4356,0.9763,0.9458,0.9608,0.6614,0.488,0.4367,0.6614,0.488,0.4367,163.0,0.0,314.0,136.0,2.0,335.0,161.0,0.0,318.0,13.0,0.0,13.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800OE_Norm_Noise_Train_640_Test_vleo.log,Nearest Neighbor,51.98,51.98,1,1,,0,6.0615,0.071,False,0,0.3686,0.3625,0.3655,0.6837,0.7792,0.7283,0.3784,0.3729,0.3757,0.6332,0.5646,0.5969,0.516,0.5198,0.5166,0.516,0.5198,0.5166,174.0,61.0,186.0,35.0,374.0,29.0,184.0,61.0,179.0,79.0,51.0,79.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640_Test_vleo,combined/leo-meo-geo/100min-800/100min800OE_Norm_Noise_Train_640_Test_vleo.log,MiniRocket,75.0,75.0,1,1,,9996,0.5911,5.4804,False,0,0.5052,0.6062,0.5511,1.0,1.0,1.0,0.5089,0.4188,0.4594,0.9979,0.975,0.9863,0.753,0.75,0.7492,0.753,0.75,0.7492,291.0,0.0,188.0,0.0,480.0,0.0,279.0,0.0,201.0,6.0,0.0,6.0,,,,,,,,,,,,
