Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.2458,0.2578,0.2516,225
Decision Trees (LightGBM),chemical,0.2524,0.3556,0.2952,225
Decision Trees (LightGBM),electric,0.2457,0.1911,0.215,225
Decision Trees (LightGBM),impulsive,0.2384,0.1822,0.2065,225
Decision Trees (LightGBM),macro_avg,0.2456,0.2467,0.2421,900
Decision Trees (LightGBM),weighted_avg,0.2456,0.2467,0.2421,900
Decision Trees (LightGBM),t_no_thrust,58.0,78.0,46.0,43
Decision Trees (LightGBM),t_chemical,61.0,80.0,41.0,43
Decision Trees (LightGBM),t_electric,58.0,79.0,43.0,45
Decision Trees (LightGBM),t_impulsive,59.0,80.0,45.0,41
MiniRocket,no_thrust,0.3333,0.3956,0.3618,225
MiniRocket,chemical,0.3616,0.2844,0.3184,225
MiniRocket,electric,0.3622,0.2044,0.2614,225
MiniRocket,impulsive,0.4468,0.6533,0.5307,225
MiniRocket,macro_avg,0.376,0.3844,0.3681,900
MiniRocket,weighted_avg,0.376,0.3844,0.3681,900
MiniRocket,t_no_thrust,89.0,40.0,44.0,52
MiniRocket,t_chemical,60.0,64.0,23.0,78
MiniRocket,t_electric,85.0,42.0,46.0,52
MiniRocket,t_impulsive,33.0,31.0,14.0,147
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.0,0.0,0.0,225
LSTM,electric,0.0,0.0,0.0,225
LSTM,impulsive,0.25,1.0,0.4,225
LSTM,macro_avg,0.0625,0.25,0.1,900
LSTM,weighted_avg,0.0625,0.25,0.1,900
LSTM,t_no_thrust,0.0,0.0,0.0,225
LSTM,t_chemical,0.0,0.0,0.0,225
LSTM,t_electric,0.0,0.0,0.0,225
LSTM,t_impulsive,0.0,0.0,0.0,225
Mamba,no_thrust,0.25,0.3067,0.2754,225
Mamba,chemical,0.25,0.2133,0.2302,225
Mamba,electric,0.25,0.3733,0.2995,225
Mamba,impulsive,0.25,0.1067,0.1495,225
Mamba,macro_avg,0.25,0.25,0.2387,900
Mamba,weighted_avg,0.25,0.25,0.2387,900
Mamba,t_no_thrust,69.0,48.0,84.0,24
Mamba,t_chemical,69.0,48.0,84.0,24
Mamba,t_electric,69.0,48.0,84.0,24
Mamba,t_impulsive,69.0,48.0,84.0,24
Transformer,no_thrust,0.25,0.3022,0.2736,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.0,0.0,0.0,225
Transformer,impulsive,0.25,0.6978,0.3681,225
Transformer,macro_avg,0.125,0.25,0.1604,900
Transformer,weighted_avg,0.125,0.25,0.1604,900
Transformer,t_no_thrust,68.0,0.0,0.0,157
Transformer,t_chemical,68.0,0.0,0.0,157
Transformer,t_electric,68.0,0.0,0.0,157
Transformer,t_impulsive,68.0,0.0,0.0,157
1D-CNN (InceptionTime),no_thrust,0.0,0.0,0.0,225
1D-CNN (InceptionTime),chemical,0.0,0.0,0.0,225
1D-CNN (InceptionTime),electric,0.25,1.0,0.4,225
1D-CNN (InceptionTime),impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),macro_avg,0.0625,0.25,0.1,900
1D-CNN (InceptionTime),weighted_avg,0.0625,0.25,0.1,900
1D-CNN (InceptionTime),t_no_thrust,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_chemical,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_electric,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,225.0,0
