Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.9406,52.78
LSTM,2,0.8868,56.44
LSTM,3,0.8254,58.0
LSTM,4,0.7619,60.78
LSTM,5,0.7359,60.44
LSTM,6,0.7185,64.89
LSTM,7,0.7315,66.0
LSTM,8,0.6718,70.67
LSTM,9,0.6166,74.33
LSTM,10,0.6553,70.22
LSTM,11,0.6272,72.67
LSTM,12,0.7687,66.0
LSTM,13,0.5536,75.33
LSTM,14,0.4902,78.22
LSTM,15,0.6673,75.11
LSTM,16,0.8009,64.44
LSTM,17,0.7029,68.67
LSTM,18,0.5537,76.22
LSTM,19,0.5115,79.22
LSTM,20,0.7518,66.67
LSTM,21,0.5248,77.0
LSTM,22,0.5127,78.0
LSTM,23,0.5545,77.22
LSTM,24,0.4687,80.56
LSTM,25,0.4435,80.89
LSTM,26,0.4331,82.44
LSTM,27,0.3969,83.22
LSTM,28,0.4347,81.0
LSTM,29,0.4778,80.0
LSTM,30,0.4214,82.44
LSTM,31,1.5002,47.89
LSTM,32,1.1011,50.89
LSTM,33,1.0372,54.0
LSTM,34,0.9959,56.11
LSTM,35,0.9514,57.78
LSTM,36,0.9165,59.89
LSTM,37,0.8849,60.0
Mamba,1,1.1627,46.44
Mamba,2,0.8465,60.89
Mamba,3,0.9012,61.89
Mamba,4,0.734,63.78
Mamba,5,0.7337,64.0
Mamba,6,0.7113,64.56
Mamba,7,0.6908,65.22
Mamba,8,0.6974,65.11
Mamba,9,0.6989,65.22
Mamba,10,0.6909,65.22
Mamba,11,0.6867,64.89
Mamba,12,0.6379,67.44
Mamba,13,0.6664,64.89
Mamba,14,0.6457,67.78
Mamba,15,0.6435,67.67
Mamba,16,0.6673,67.0
Mamba,17,0.6225,66.33
Mamba,18,0.6419,66.11
Mamba,19,0.6437,66.67
Mamba,20,0.6278,67.11
Mamba,21,0.6304,67.67
Mamba,22,0.6307,67.33
Mamba,23,0.6054,67.33
Mamba,24,0.6266,66.44
Mamba,25,0.6499,67.11
Mamba,26,0.6143,67.22
Mamba,27,0.6477,66.0
Mamba,28,0.6654,67.11
Mamba,29,0.6873,65.11
Mamba,30,0.6018,68.0
Mamba,31,0.5999,67.67
Mamba,32,0.6027,66.89
Mamba,33,0.6101,67.78
Mamba,34,0.6533,64.44
Mamba,35,0.5883,69.0
Mamba,36,0.5995,68.0
Mamba,37,0.5956,68.78
Mamba,38,0.606,66.89
Mamba,39,0.6186,68.67
Mamba,40,0.6063,68.67
Mamba,41,0.6013,68.67
Mamba,42,0.5872,68.0
Mamba,43,0.5927,68.78
Mamba,44,0.5875,69.44
Mamba,45,0.5863,68.22
Mamba,46,0.5874,68.33
Mamba,47,0.5962,68.11
Mamba,48,0.5849,68.44
Mamba,49,0.6135,67.11
Mamba,50,0.592,68.78
Mamba,51,0.5924,68.44
Mamba,52,0.5912,69.0
Mamba,53,0.5944,67.67
Mamba,54,0.5812,67.56
Mamba,55,0.5941,69.0
Mamba,56,0.5876,69.11
Mamba,57,0.6222,69.11
Mamba,58,0.5821,68.33
Mamba,59,0.6061,68.67
Mamba,60,0.5832,68.78
Mamba,61,0.5875,69.56
Mamba,62,0.5971,69.89
Mamba,63,0.5811,68.67
Mamba,64,0.5832,67.22
Mamba,65,0.5814,69.78
Mamba,66,0.5847,68.89
Mamba,67,0.5792,68.22
Mamba,68,0.5778,69.33
Mamba,69,0.5887,68.56
Mamba,70,0.5832,68.56
Mamba,71,0.582,68.78
Mamba,72,0.5815,67.78
Mamba,73,0.5872,69.44
Mamba,74,0.5789,67.78
Mamba,75,0.5839,69.78
Mamba,76,0.5781,69.44
Mamba,77,0.5789,69.0
Mamba,78,0.5782,69.22
Transformer,1,0.907,58.0
Transformer,2,0.6293,66.0
Transformer,3,0.5515,72.0
Transformer,4,0.5308,71.33
Transformer,5,0.5059,72.44
Transformer,6,0.4998,73.22
Transformer,7,0.4864,74.89
Transformer,8,0.4138,81.89
Transformer,9,0.3412,85.11
Transformer,10,0.1947,93.33
Transformer,11,0.1438,94.22
Transformer,12,0.1191,96.0
Transformer,13,0.2459,91.67
Transformer,14,0.1266,95.0
Transformer,15,0.1343,94.67
Transformer,16,0.1101,96.11
Transformer,17,0.1154,94.89
