Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.5762,77.78
LSTM,2,0.3982,82.89
LSTM,3,0.2075,92.67
LSTM,4,0.2069,92.78
LSTM,5,0.2391,90.67
LSTM,6,0.1906,91.67
LSTM,7,0.1302,94.33
LSTM,8,0.1351,93.56
LSTM,9,0.1456,93.89
LSTM,10,0.1607,93.44
LSTM,11,0.1358,94.11
LSTM,12,0.1232,94.89
LSTM,13,0.134,93.44
LSTM,14,0.1132,94.67
LSTM,15,0.1055,95.0
LSTM,16,0.1333,93.56
LSTM,17,0.1118,95.11
LSTM,18,0.1493,93.67
LSTM,19,0.1105,94.44
LSTM,20,0.126,94.67
LSTM,21,0.123,94.22
LSTM,22,0.1017,95.11
LSTM,23,0.0911,95.89
LSTM,24,0.0413,98.89
LSTM,25,0.3191,83.67
LSTM,26,0.1519,93.0
LSTM,27,0.1158,94.33
LSTM,28,0.1024,94.78
LSTM,29,0.0757,96.33
LSTM,30,0.0488,97.67
LSTM,31,0.0273,99.0
LSTM,32,0.0286,99.33
LSTM,33,0.0144,99.67
LSTM,34,0.0286,98.89
LSTM,35,0.0159,99.56
LSTM,36,0.0115,99.67
LSTM,37,0.0112,99.67
LSTM,38,0.0111,99.67
LSTM,39,0.0096,99.67
LSTM,40,0.0091,99.78
LSTM,41,0.0054,99.89
LSTM,42,0.0044,99.89
LSTM,43,0.0084,99.78
LSTM,44,0.0017,100.0
LSTM,45,0.0018,100.0
LSTM,46,0.0012,100.0
LSTM,47,0.1765,91.89
LSTM,48,0.0104,99.78
LSTM,49,0.0265,99.56
LSTM,50,0.0108,99.89
LSTM,51,0.0109,99.89
LSTM,52,0.0099,99.89
LSTM,53,0.0098,99.89
LSTM,54,0.0099,99.89
LSTM,55,0.0098,99.89
LSTM,56,0.0098,99.89
Mamba,1,0.4929,81.33
Mamba,2,0.1543,93.78
Mamba,3,0.0972,96.67
Mamba,4,0.0813,97.0
Mamba,5,0.0428,98.44
Mamba,6,0.0505,97.89
Mamba,7,0.0241,99.22
Mamba,8,0.0243,99.33
Mamba,9,0.0112,99.78
Mamba,10,0.0096,99.78
Mamba,11,0.0068,99.78
Mamba,12,0.02,99.11
Mamba,13,0.0107,99.78
Mamba,14,0.0154,99.78
Mamba,15,0.0175,99.67
Mamba,16,0.0099,99.89
Mamba,17,0.0121,99.67
Mamba,18,0.0139,99.67
Mamba,19,0.018,99.67
Mamba,20,0.0114,99.78
Mamba,21,0.0136,99.67
Transformer,1,0.047,98.78
Transformer,2,0.0401,98.78
Transformer,3,0.0111,99.56
Transformer,4,0.007,99.67
Transformer,5,0.0089,99.67
Transformer,6,0.005,99.89
Transformer,7,0.0023,100.0
Transformer,8,0.0051,99.67
Transformer,9,0.0007,100.0
Transformer,10,0.0004,100.0
Transformer,11,0.0015,99.89
Transformer,12,0.0094,99.56
Transformer,13,0.0006,100.0
Transformer,14,0.0016,99.89
Transformer,15,0.0003,100.0
Transformer,16,0.0018,100.0
Transformer,17,0.0039,99.89
Transformer,18,0.0005,100.0
Transformer,19,0.0005,100.0
Transformer,20,0.0007,100.0
Transformer,21,0.0002,100.0
Transformer,22,0.0022,99.89
Transformer,23,0.0022,99.89
Transformer,24,0.0002,100.0
Transformer,25,0.0001,100.0
Transformer,26,0.0005,100.0
Transformer,27,0.0001,100.0
Transformer,28,0.0002,100.0
Transformer,29,0.0001,100.0
Transformer,30,0.3053,95.67
Transformer,31,0.0014,100.0
Transformer,32,0.0031,99.89
Transformer,33,0.0001,100.0
Transformer,34,0.0001,100.0
Transformer,35,0.0001,100.0
Transformer,36,0.0001,100.0
Transformer,37,0.0036,100.0
1D-CNN (InceptionTime),1,0.0605,99.44
1D-CNN (InceptionTime),2,0.0372,99.0
1D-CNN (InceptionTime),3,0.0154,99.67
1D-CNN (InceptionTime),4,0.0171,99.67
1D-CNN (InceptionTime),5,0.0171,99.67
1D-CNN (InceptionTime),6,0.0141,99.67
1D-CNN (InceptionTime),7,0.0157,99.67
1D-CNN (InceptionTime),8,0.018,99.67
1D-CNN (InceptionTime),9,0.0161,99.67
1D-CNN (InceptionTime),10,0.0193,99.44
1D-CNN (InceptionTime),11,0.0116,99.67
1D-CNN (InceptionTime),12,0.013,99.78
1D-CNN (InceptionTime),13,0.016,99.67
1D-CNN (InceptionTime),14,0.0176,99.78
1D-CNN (InceptionTime),15,0.0151,99.67
1D-CNN (InceptionTime),16,0.0102,99.67
1D-CNN (InceptionTime),17,0.0126,99.78
1D-CNN (InceptionTime),18,0.0234,99.67
1D-CNN (InceptionTime),19,0.0212,99.67
1D-CNN (InceptionTime),20,0.0158,99.78
1D-CNN (InceptionTime),21,0.0128,99.67
1D-CNN (InceptionTime),22,0.0133,99.67
1D-CNN (InceptionTime),23,0.0112,99.78
1D-CNN (InceptionTime),24,0.0147,99.67
1D-CNN (InceptionTime),25,0.0151,99.78
1D-CNN (InceptionTime),26,0.0157,99.78
