Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3819,47.5
LSTM,2,1.3769,25.0
LSTM,3,1.3741,47.5
LSTM,4,1.3522,47.97
LSTM,5,1.2354,35.47
LSTM,6,1.2159,35.31
LSTM,7,1.1629,40.47
LSTM,8,1.1193,36.41
LSTM,9,0.9685,47.66
LSTM,10,0.8404,49.38
LSTM,11,0.7474,48.75
LSTM,12,0.7398,50.78
LSTM,13,0.7564,49.69
LSTM,14,0.7707,49.69
LSTM,15,0.774,48.59
LSTM,16,0.7938,49.38
LSTM,17,0.7592,49.53
LSTM,18,0.7416,51.25
LSTM,19,0.7297,55.62
LSTM,20,0.7887,48.28
LSTM,21,0.7783,49.22
LSTM,22,0.7668,49.38
LSTM,23,0.7739,58.44
LSTM,24,0.7747,49.22
LSTM,25,0.7845,50.0
LSTM,26,0.7362,51.88
LSTM,27,0.73,49.69
LSTM,28,0.7374,49.53
LSTM,29,0.7323,51.56
Mamba,1,1.3825,27.97
Mamba,2,1.377,29.53
Mamba,3,1.3564,30.0
Mamba,4,1.2612,29.84
Mamba,5,1.1996,29.69
Mamba,6,1.1466,35.94
Mamba,7,1.1157,37.97
Mamba,8,1.0462,44.38
Mamba,9,1.0022,48.28
Mamba,10,0.9777,46.25
Mamba,11,0.9146,48.91
Mamba,12,0.8811,49.69
Mamba,13,0.919,49.38
Mamba,14,0.8326,50.31
Mamba,15,0.8273,49.38
Mamba,16,0.7804,52.97
Mamba,17,0.7588,62.66
Mamba,18,0.7411,58.91
Mamba,19,0.7347,66.09
Mamba,20,0.7219,66.41
Mamba,21,0.7095,63.12
Mamba,22,0.654,69.84
Mamba,23,0.6509,66.09
Mamba,24,0.5954,67.5
Mamba,25,0.5821,71.56
Mamba,26,0.5508,73.12
Mamba,27,0.485,72.97
Mamba,28,0.4853,74.22
Mamba,29,0.4604,72.97
Mamba,30,0.4553,73.91
Mamba,31,0.442,72.66
Mamba,32,0.4424,73.12
Mamba,33,0.4327,73.28
Mamba,34,0.4226,72.03
Mamba,35,0.4556,72.81
Mamba,36,0.4419,72.5
Mamba,37,0.4076,73.28
Mamba,38,0.414,73.75
Mamba,39,0.4095,73.91
Mamba,40,0.4401,72.03
Mamba,41,0.415,71.41
Mamba,42,0.4019,73.44
Mamba,43,0.4064,72.5
Mamba,44,0.4112,74.38
Mamba,45,0.3988,74.22
Mamba,46,0.3928,74.22
Mamba,47,0.3938,73.12
Mamba,48,0.397,74.06
Mamba,49,0.393,74.06
Mamba,50,0.3936,72.66
Mamba,51,0.3957,73.44
Mamba,52,0.3957,72.66
Mamba,53,0.3995,73.44
Mamba,54,0.4003,73.75
Mamba,55,0.4107,73.28
Mamba,56,0.3984,73.44
Transformer,1,1.3469,30.16
Transformer,2,1.1166,40.94
Transformer,3,1.0177,52.81
Transformer,4,0.979,50.31
Transformer,5,0.9239,53.12
Transformer,6,0.884,55.16
Transformer,7,0.8519,57.03
Transformer,8,0.8982,52.97
Transformer,9,0.8903,51.72
Transformer,10,0.8753,52.5
Transformer,11,0.8479,55.47
Transformer,12,0.7605,59.22
Transformer,13,0.7676,59.84
Transformer,14,0.7112,61.09
Transformer,15,0.6776,60.62
Transformer,16,0.6734,62.81
Transformer,17,0.7004,62.66
Transformer,18,0.6722,62.03
Transformer,19,0.7235,60.31
Transformer,20,0.7049,60.62
Transformer,21,0.6301,63.75
Transformer,22,0.6105,65.47
Transformer,23,0.6079,65.94
Transformer,24,0.5909,64.38
Transformer,25,0.5805,66.56
Transformer,26,0.612,64.38
Transformer,27,0.6026,65.0
Transformer,28,0.5645,66.72
Transformer,29,0.6538,62.03
Transformer,30,0.6378,63.28
Transformer,31,0.5758,68.28
Transformer,32,0.5891,65.31
Transformer,33,0.5303,68.59
Transformer,34,0.5233,67.34
Transformer,35,0.5221,69.38
Transformer,36,0.5256,69.38
Transformer,37,0.5701,68.28
Transformer,38,0.6131,63.12
Transformer,39,0.5536,70.94
Transformer,40,0.5037,69.84
Transformer,41,0.5258,68.91
Transformer,42,0.4965,71.09
Transformer,43,0.4737,70.0
Transformer,44,0.5506,67.97
Transformer,45,0.5136,71.41
Transformer,46,0.5101,69.38
Transformer,47,0.5864,66.56
Transformer,48,0.5318,69.84
Transformer,49,0.5205,70.47
Transformer,50,0.4585,72.34
Transformer,51,0.4616,72.03
Transformer,52,0.4623,71.41
Transformer,53,0.48,72.03
Transformer,54,0.5124,69.84
Transformer,55,0.4647,71.72
Transformer,56,0.466,69.53
Transformer,57,0.4616,72.19
Transformer,58,0.4475,72.34
Transformer,59,0.4514,72.97
Transformer,60,0.4581,71.25
Transformer,61,0.4572,71.72
Transformer,62,0.454,71.56
Transformer,63,0.4495,72.66
Transformer,64,0.4608,72.19
Transformer,65,0.4529,73.12
Transformer,66,0.4554,73.44
Transformer,67,0.4578,72.66
Transformer,68,0.4619,73.12
