Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.2583,0.1938,0.2214,160
Decision Trees,chemical,0.2708,0.1625,0.2031,160
Decision Trees,electric,0.269,0.2437,0.2557,160
Decision Trees,impulsive,0.3047,0.5312,0.3872,160
Decision Trees,macro_avg,0.2757,0.2828,0.2669,640
Decision Trees,weighted_avg,0.2757,0.2828,0.2669,640
Decision Trees,t_no_thrust,31.0,26.0,39.0,64
Decision Trees,t_chemical,31.0,26.0,38.0,65
Decision Trees,t_electric,30.0,26.0,39.0,65
Decision Trees,t_impulsive,28.0,18.0,29.0,85
Nearest Neighbor,no_thrust,0.2473,0.2812,0.2632,160
Nearest Neighbor,chemical,0.2545,0.175,0.2074,160
Nearest Neighbor,electric,0.2511,0.3563,0.2946,160
Nearest Neighbor,impulsive,0.2562,0.1938,0.2206,160
Nearest Neighbor,macro_avg,0.2523,0.2516,0.2464,640
Nearest Neighbor,weighted_avg,0.2523,0.2516,0.2464,640
Nearest Neighbor,t_no_thrust,45.0,28.0,57.0,30
Nearest Neighbor,t_chemical,45.0,28.0,57.0,30
Nearest Neighbor,t_electric,46.0,27.0,57.0,30
Nearest Neighbor,t_impulsive,46.0,27.0,56.0,31
LSTM,no_thrust,0.25,0.4,0.3077,160
LSTM,chemical,0.25,0.1,0.1429,160
LSTM,electric,0.25,0.4,0.3077,160
LSTM,impulsive,0.25,0.1,0.1429,160
LSTM,macro_avg,0.25,0.25,0.2253,640
LSTM,weighted_avg,0.25,0.25,0.2253,640
LSTM,t_no_thrust,64.0,16.0,64.0,16
LSTM,t_chemical,64.0,16.0,64.0,16
LSTM,t_electric,64.0,16.0,64.0,16
LSTM,t_impulsive,64.0,16.0,64.0,16
Mamba,no_thrust,0.25,0.4062,0.3095,160
Mamba,chemical,0.25,0.075,0.1154,160
Mamba,electric,0.25,0.2875,0.2674,160
Mamba,impulsive,0.25,0.2313,0.2403,160
Mamba,macro_avg,0.25,0.25,0.2332,640
Mamba,weighted_avg,0.25,0.25,0.2332,640
Mamba,t_no_thrust,65.0,12.0,46.0,37
Mamba,t_chemical,65.0,12.0,46.0,37
Mamba,t_electric,65.0,12.0,46.0,37
Mamba,t_impulsive,65.0,12.0,46.0,37
Transformer,no_thrust,0.25,0.2812,0.2647,160
Transformer,chemical,0.2511,0.3625,0.2967,160
Transformer,electric,0.2475,0.1562,0.1916,160
Transformer,impulsive,0.25,0.2,0.2222,160
Transformer,macro_avg,0.2497,0.25,0.2438,640
Transformer,weighted_avg,0.2497,0.25,0.2438,640
Transformer,t_no_thrust,45.0,58.0,25.0,32
Transformer,t_chemical,45.0,58.0,25.0,32
Transformer,t_electric,45.0,58.0,25.0,32
Transformer,t_impulsive,45.0,57.0,26.0,32
MLP,0,0.2489,0.35,0.2909,160
MLP,1,0.25,0.2125,0.2297,160
MLP,2,0.2519,0.2125,0.2305,160
MLP,3,0.25,0.225,0.2368,160
MLP,macro_avg,0.2502,0.25,0.247,640
MLP,weighted_avg,0.2502,0.25,0.247,640
MLP,t_no_thrust,56.0,34.0,34.0,36
MLP,t_chemical,56.0,34.0,34.0,36
MLP,t_electric,56.0,34.0,34.0,36
MLP,t_impulsive,57.0,34.0,33.0,36
