Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.5,0.5312,0.5152,160
Decision Trees,chemical,0.9074,0.9187,0.913,160
Decision Trees,electric,0.5068,0.4688,0.487,160
Decision Trees,impulsive,1.0,1.0,1.0,160
Decision Trees,macro_avg,0.7285,0.7297,0.7288,640
Decision Trees,weighted_avg,0.7285,0.7297,0.7288,640
Decision Trees,t_no_thrust,85.0,8.0,67.0,0
Decision Trees,t_chemical,7.0,147.0,6.0,0
Decision Trees,t_electric,78.0,7.0,75.0,0
Decision Trees,t_impulsive,0.0,0.0,0.0,160
Nearest Neighbor,no_thrust,0.4419,0.3563,0.3945,160
Nearest Neighbor,chemical,0.4474,0.6375,0.5258,160
Nearest Neighbor,electric,0.3905,0.2562,0.3094,160
Nearest Neighbor,impulsive,0.5562,0.6188,0.5858,160
Nearest Neighbor,macro_avg,0.459,0.4672,0.4539,640
Nearest Neighbor,weighted_avg,0.459,0.4672,0.4539,640
Nearest Neighbor,t_no_thrust,57.0,40.0,44.0,19
Nearest Neighbor,t_chemical,9.0,102.0,11.0,38
Nearest Neighbor,t_electric,51.0,46.0,41.0,22
Nearest Neighbor,t_impulsive,12.0,40.0,9.0,99
LSTM,no_thrust,0.0,0.0,0.0,160
LSTM,chemical,0.5974,0.2875,0.3882,160
LSTM,electric,0.4776,0.9313,0.6314,160
LSTM,impulsive,0.6345,0.9437,0.7588,160
LSTM,macro_avg,0.4274,0.5406,0.4446,640
LSTM,weighted_avg,0.4274,0.5406,0.4446,640
LSTM,t_no_thrust,0.0,18.0,142.0,0
LSTM,t_chemical,12.0,46.0,15.0,87
LSTM,t_electric,0.0,11.0,149.0,0
LSTM,t_impulsive,1.0,2.0,6.0,151
Mamba,no_thrust,0.4805,0.4625,0.4713,160
Mamba,chemical,0.7619,0.9,0.8252,160
Mamba,electric,0.4892,0.425,0.4548,160
Mamba,impulsive,0.9937,0.9812,0.9874,160
Mamba,macro_avg,0.6813,0.6922,0.6847,640
Mamba,weighted_avg,0.6813,0.6922,0.6847,640
Mamba,t_no_thrust,74.0,22.0,64.0,0
Mamba,t_chemical,11.0,144.0,5.0,0
Mamba,t_electric,68.0,23.0,68.0,1
Mamba,t_impulsive,1.0,0.0,2.0,157
Transformer,no_thrust,0.4286,0.375,0.4,160
Transformer,chemical,0.6836,0.7562,0.7181,160
Transformer,electric,0.4625,0.4625,0.4625,160
Transformer,impulsive,0.9202,0.9375,0.9288,160
Transformer,macro_avg,0.6237,0.6328,0.6273,640
Transformer,weighted_avg,0.6237,0.6328,0.6273,640
Transformer,t_no_thrust,60.0,23.0,73.0,4
Transformer,t_chemical,20.0,121.0,12.0,7
Transformer,t_electric,57.0,27.0,74.0,2
Transformer,t_impulsive,3.0,6.0,1.0,150
MLP,0,0.336,0.2625,0.2947,160
MLP,1,0.4527,0.4188,0.4351,160
MLP,2,0.3543,0.4938,0.4125,160
MLP,3,1.0,0.9,0.9474,160
MLP,macro_avg,0.5357,0.5188,0.5224,640
MLP,weighted_avg,0.5357,0.5188,0.5224,640
MLP,t_no_thrust,42.0,41.0,77.0,0
MLP,t_chemical,31.0,67.0,62.0,0
MLP,t_electric,47.0,34.0,79.0,0
MLP,t_impulsive,5.0,6.0,5.0,144
