log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Decision Trees,72.34,72.34,1,1,0.5154,0,0.36170387268066406,0.9229,False,0,0.442,0.3812,0.4094,0.9938,1.0,0.9969,0.453,0.5125,0.4809,1.0,1.0,1.0,0.7222,0.7234,0.7218,0.7222,0.7234,0.7218,61.0,0.0,99.0,0.0,160.0,0.0,77.0,1.0,82.0,0.0,0.0,0.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Nearest Neighbor,57.19,57.19,1,1,,0,6.0615,0.0618,False,0,0.4921,0.3875,0.4336,0.6621,0.9062,0.7652,0.4675,0.45,0.4586,0.617,0.5437,0.5781,0.5597,0.5719,0.5589,0.5597,0.5719,0.5589,62.0,10.0,71.0,0.0,145.0,0.0,53.0,13.0,72.0,11.0,51.0,11.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,MiniRocket,74.22,74.22,1,1,,9996,0.5911,5.545,False,0,0.4913,0.5312,0.5105,1.0,0.9938,0.9969,0.4867,0.4562,0.471,1.0,0.9875,0.9937,0.7445,0.7422,0.743,0.7445,0.7422,0.743,85.0,0.0,75.0,0.0,159.0,1.0,87.0,0.0,73.0,1.0,0.0,1.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,LSTM,50.31,52.81,38,40,0.7155,18004,0.137359619140625,26.8798,True,0,0.4887,0.8125,0.6103,0.5179,0.9938,0.6809,0.4211,0.15,0.2212,0.9,0.0563,0.1059,0.5819,0.5031,0.4046,0.5819,0.5031,0.4046,130.0,0.0,30.0,0.0,159.0,0.0,136.0,0.0,24.0,0.0,148.0,3.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Mamba,70.47,75.0,38,55,0.4105,6106,0.0465850830078125,26.1789,True,0,0.4317,0.4938,0.4606,0.9937,0.9812,0.9874,0.4085,0.3625,0.3841,1.0,0.9812,0.9905,0.7085,0.7047,0.7057,0.7085,0.7047,0.7057,79.0,0.0,81.0,2.0,157.0,1.0,101.0,1.0,58.0,1.0,0.0,2.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,Transformer,68.75,70.0,46,70,0.511,41940,0.319976806640625,56.2274,True,0,0.4508,0.5437,0.4929,0.9423,0.9187,0.9304,0.4504,0.3688,0.4055,0.9187,0.9187,0.9187,0.6906,0.6875,0.6869,0.6906,0.6875,0.6869,87.0,1.0,70.0,2.0,147.0,1.0,100.0,0.0,59.0,4.0,8.0,1.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,geo/100min-800/100min800OE_Norm_Noise_Train_640.log,MLP,66.09,66.09,79,101,0.1965,644,0.004913330078125,6.5558,False,0,,,,,,,,,,,,,0.6774,0.6609,0.6655,0.6774,0.6609,0.6655,90.0,6.0,64.0,9.0,139.0,12.0,97.0,3.0,60.0,1.0,20.0,5.0,0.4569,0.5625,0.5042,0.8274,0.8688,0.8476,0.4255,0.375,0.3987,1.0,0.8375,0.9116
100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,Decision Trees,25.94,25.94,1,1,1.3945,0,0.3855752944946289,1.273,False,0,0.2482,0.2188,0.2326,0.2353,0.075,0.1137,0.2727,0.2062,0.2349,0.263,0.5375,0.3532,0.2548,0.2594,0.2336,0.2548,0.2594,0.2336,35.0,13.0,33.0,37.0,12.0,29.0,37.0,10.0,33.0,32.0,16.0,26.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,Nearest Neighbor,25.16,25.16,1,1,,0,6.0615,0.0626,False,0,0.25,0.2812,0.2647,0.2333,0.0437,0.0737,0.2511,0.35,0.2924,0.256,0.3312,0.2888,0.2476,0.2516,0.2299,0.2476,0.2516,0.2299,45.0,8.0,56.0,45.0,7.0,56.0,45.0,8.0,56.0,45.0,7.0,55.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,geo/100min-800/100min800Norm_Noise_Train_640.log,MiniRocket,49.84,49.84,1,1,,9996,0.5916,5.4831,False,0,0.3542,0.3187,0.3355,0.3471,0.3688,0.3576,0.354,0.3563,0.3551,0.9212,0.95,0.9354,0.4941,0.4984,0.4959,0.4941,0.4984,0.4959,51.0,50.0,53.0,48.0,59.0,50.0,41.0,58.0,57.0,4.0,3.0,1.0,,,,,,,,,,,,
