Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.6931,0.8533,0.7649,225
Decision Trees (LightGBM),chemical,0.9692,0.9778,0.9735,225
Decision Trees (LightGBM),electric,0.465,0.4133,0.4376,225
Decision Trees (LightGBM),impulsive,0.5969,0.52,0.5558,225
Decision Trees (LightGBM),macro_avg,0.6811,0.6911,0.683,900
Decision Trees (LightGBM),weighted_avg,0.6811,0.6911,0.683,900
Decision Trees (LightGBM),t_no_thrust,192.0,2.0,21.0,10
Decision Trees (LightGBM),t_chemical,0.0,220.0,1.0,4
Decision Trees (LightGBM),t_electric,65.0,2.0,93.0,65
Decision Trees (LightGBM),t_impulsive,20.0,3.0,85.0,117
MiniRocket,no_thrust,0.9414,1.0,0.9698,225
MiniRocket,chemical,1.0,1.0,1.0,225
MiniRocket,electric,1.0,1.0,1.0,225
MiniRocket,impulsive,1.0,0.9378,0.9679,225
MiniRocket,macro_avg,0.9854,0.9844,0.9844,900
MiniRocket,weighted_avg,0.9854,0.9844,0.9844,900
MiniRocket,t_no_thrust,225.0,0.0,0.0,0
MiniRocket,t_chemical,0.0,225.0,0.0,0
MiniRocket,t_electric,0.0,0.0,225.0,0
MiniRocket,t_impulsive,14.0,0.0,0.0,211
LSTM,no_thrust,0.3361,0.72,0.4583,225
LSTM,chemical,0.8468,0.8356,0.8412,225
LSTM,electric,0.2609,0.0533,0.0886,225
LSTM,impulsive,0.3133,0.2089,0.2507,225
LSTM,macro_avg,0.4393,0.4544,0.4097,900
LSTM,weighted_avg,0.4393,0.4544,0.4097,900
LSTM,t_no_thrust,162.0,11.0,13.0,39
LSTM,t_chemical,14.0,188.0,5.0,18
LSTM,t_electric,156.0,11.0,12.0,46
LSTM,t_impulsive,150.0,12.0,16.0,47
Mamba,no_thrust,0.6744,0.9022,0.7719,225
Mamba,chemical,0.9955,0.9911,0.9933,225
Mamba,electric,0.6125,0.4356,0.5091,225
Mamba,impulsive,0.7395,0.7067,0.7227,225
Mamba,macro_avg,0.7555,0.7589,0.7492,900
Mamba,weighted_avg,0.7555,0.7589,0.7492,900
Mamba,t_no_thrust,203.0,0.0,17.0,5
Mamba,t_chemical,0.0,223.0,0.0,2
Mamba,t_electric,78.0,0.0,98.0,49
Mamba,t_impulsive,20.0,1.0,45.0,159
Transformer,no_thrust,1.0,1.0,1.0,225
Transformer,chemical,1.0,1.0,1.0,225
Transformer,electric,0.9412,0.9244,0.9327,225
Transformer,impulsive,0.9258,0.9422,0.9339,225
Transformer,macro_avg,0.9667,0.9667,0.9667,900
Transformer,weighted_avg,0.9667,0.9667,0.9667,900
Transformer,t_no_thrust,225.0,0.0,0.0,0
Transformer,t_chemical,0.0,225.0,0.0,0
Transformer,t_electric,0.0,0.0,208.0,17
Transformer,t_impulsive,0.0,0.0,13.0,212
1D-CNN (InceptionTime),no_thrust,0.9868,0.9956,0.9912,225
1D-CNN (InceptionTime),chemical,1.0,1.0,1.0,225
1D-CNN (InceptionTime),electric,0.9912,1.0,0.9956,225
1D-CNN (InceptionTime),impulsive,1.0,0.9822,0.991,225
1D-CNN (InceptionTime),macro_avg,0.9945,0.9944,0.9944,900
1D-CNN (InceptionTime),weighted_avg,0.9945,0.9944,0.9944,900
1D-CNN (InceptionTime),t_no_thrust,224.0,0.0,1.0,0
1D-CNN (InceptionTime),t_chemical,0.0,225.0,0.0,0
1D-CNN (InceptionTime),t_electric,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_impulsive,3.0,0.0,1.0,221
