Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3865,25.0
LSTM,2,1.3868,24.89
LSTM,3,1.3867,25.0
LSTM,4,1.3864,25.0
LSTM,5,1.3867,25.0
LSTM,6,1.3869,25.0
LSTM,7,1.3865,25.33
LSTM,8,1.3864,25.0
LSTM,9,1.3864,24.89
LSTM,10,1.3863,24.89
LSTM,11,1.3863,25.0
LSTM,12,1.3863,25.11
LSTM,13,1.3863,25.0
LSTM,14,1.3863,25.0
LSTM,15,1.3864,25.78
LSTM,16,1.3863,25.11
LSTM,17,1.3864,25.0
LSTM,18,1.3863,25.0
LSTM,19,1.3864,25.44
LSTM,20,1.3863,25.0
LSTM,21,1.3864,25.0
LSTM,22,1.3863,25.11
LSTM,23,1.3863,25.0
LSTM,24,1.3863,24.89
Mamba,1,1.3864,24.89
Mamba,2,1.3862,25.0
Mamba,3,1.3863,25.0
Mamba,4,1.3863,25.22
Mamba,5,1.3864,25.44
Mamba,6,1.3863,25.0
Mamba,7,1.3864,24.78
Mamba,8,1.3864,24.78
Mamba,9,1.3863,25.11
Mamba,10,1.3863,25.33
Mamba,11,1.3863,26.0
Mamba,12,1.3863,25.89
Transformer,1,1.4031,25.0
Transformer,2,1.3969,25.0
Transformer,3,1.3888,25.11
Transformer,4,1.3873,25.78
Transformer,5,1.3874,25.0
Transformer,6,1.3886,25.0
Transformer,7,1.3916,25.0
Transformer,8,1.3871,25.0
Transformer,9,1.389,24.33
Transformer,10,1.3871,25.0
Transformer,11,1.3862,25.0
Transformer,12,1.3877,25.0
Transformer,13,1.3876,25.0
Transformer,14,1.3864,25.0
Transformer,15,1.3867,25.0
Transformer,16,1.387,25.0
Transformer,17,1.3869,25.0
Transformer,18,1.3863,25.0
Transformer,19,1.3862,25.0
Transformer,20,1.3873,25.0
Transformer,21,1.3865,25.0
1D-CNN (InceptionTime),1,1.4304,25.0
1D-CNN (InceptionTime),2,1.3984,25.0
1D-CNN (InceptionTime),3,1.3902,25.0
1D-CNN (InceptionTime),4,1.3888,25.0
1D-CNN (InceptionTime),5,1.3904,25.0
1D-CNN (InceptionTime),6,1.3894,25.0
1D-CNN (InceptionTime),7,1.387,25.11
1D-CNN (InceptionTime),8,1.3876,25.0
1D-CNN (InceptionTime),9,1.3884,25.0
1D-CNN (InceptionTime),10,1.3876,25.0
1D-CNN (InceptionTime),11,1.387,25.0
1D-CNN (InceptionTime),12,1.3865,25.0
1D-CNN (InceptionTime),13,1.3861,25.0
1D-CNN (InceptionTime),14,1.3862,25.11
1D-CNN (InceptionTime),15,1.3865,25.0
1D-CNN (InceptionTime),16,1.3871,25.0
1D-CNN (InceptionTime),17,1.3865,25.0
1D-CNN (InceptionTime),18,1.3864,24.89
1D-CNN (InceptionTime),19,1.3864,25.0
1D-CNN (InceptionTime),20,1.3863,24.89
1D-CNN (InceptionTime),21,1.3863,26.11
1D-CNN (InceptionTime),22,1.3863,24.89
1D-CNN (InceptionTime),23,1.3863,25.0
