Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3834,26.67
LSTM,2,1.3812,27.11
LSTM,3,1.3809,27.78
LSTM,4,1.3797,27.44
LSTM,5,1.3749,28.67
LSTM,6,1.3607,31.67
LSTM,7,1.3566,33.56
LSTM,8,1.2879,34.44
LSTM,9,1.2143,40.56
LSTM,10,1.1754,41.78
LSTM,11,1.1142,45.89
LSTM,12,1.1874,41.0
LSTM,13,1.0724,47.89
LSTM,14,1.0359,48.56
LSTM,15,0.913,54.33
LSTM,16,0.9899,50.56
LSTM,17,0.9436,51.0
LSTM,18,1.0435,50.67
LSTM,19,0.8601,58.56
LSTM,20,0.962,52.33
LSTM,21,0.9016,53.22
LSTM,22,0.8433,57.78
LSTM,23,0.8008,59.11
LSTM,24,0.7491,59.33
LSTM,25,0.7217,59.67
LSTM,26,0.747,61.22
LSTM,27,0.7472,61.33
LSTM,28,0.7375,61.11
LSTM,29,0.7411,60.56
LSTM,30,0.6805,63.67
LSTM,31,0.715,62.56
LSTM,32,0.8189,59.0
LSTM,33,0.7061,62.11
LSTM,34,0.7249,61.67
LSTM,35,0.7621,61.56
LSTM,36,0.7558,59.78
LSTM,37,0.6567,63.67
LSTM,38,0.6793,62.33
LSTM,39,0.6076,67.33
LSTM,40,0.6135,66.11
LSTM,41,0.6326,63.33
LSTM,42,0.7531,61.89
LSTM,43,0.6635,63.22
LSTM,44,0.6559,63.67
LSTM,45,0.6567,62.22
LSTM,46,0.6156,65.56
LSTM,47,0.6192,66.33
LSTM,48,0.5983,65.56
LSTM,49,0.5965,66.33
LSTM,50,0.6042,65.78
LSTM,51,0.6236,65.44
LSTM,52,0.6177,66.33
LSTM,53,0.5992,66.11
LSTM,54,0.6193,65.56
LSTM,55,0.5906,67.11
LSTM,56,0.6414,64.11
LSTM,57,0.5861,66.67
LSTM,58,0.6637,63.89
LSTM,59,0.6376,65.0
LSTM,60,0.5889,66.33
LSTM,61,0.623,65.67
LSTM,62,0.6112,65.78
LSTM,63,0.5847,66.56
LSTM,64,0.636,63.44
LSTM,65,0.586,66.67
LSTM,66,0.6887,63.56
LSTM,67,0.5909,66.56
LSTM,68,0.5898,67.33
LSTM,69,0.6014,67.78
LSTM,70,0.5936,67.0
LSTM,71,0.591,67.44
LSTM,72,0.5929,68.11
LSTM,73,0.5883,66.67
Mamba,1,1.385,27.11
Mamba,2,1.3828,28.44
Mamba,3,1.3804,27.67
Mamba,4,1.3758,31.0
Mamba,5,1.3698,31.89
Mamba,6,1.3591,33.56
Mamba,7,1.3508,31.89
Mamba,8,1.3267,36.44
Mamba,9,1.3197,34.44
Mamba,10,1.3069,36.0
Mamba,11,1.2958,36.33
Mamba,12,1.2567,38.67
Mamba,13,1.2709,37.89
Mamba,14,1.2446,39.56
Mamba,15,1.2522,38.33
Mamba,16,1.225,41.67
Mamba,17,1.2254,40.22
Mamba,18,1.2143,39.78
Mamba,19,1.1933,43.0
Mamba,20,1.2207,39.11
Mamba,21,1.2415,41.0
Mamba,22,1.2019,41.56
Mamba,23,1.1886,44.0
Mamba,24,1.1985,41.78
Mamba,25,1.1893,42.67
Mamba,26,1.1527,45.22
Mamba,27,1.1629,44.89
Mamba,28,1.1614,46.22
Mamba,29,1.154,44.0
Mamba,30,1.1677,45.67
Mamba,31,1.1665,45.0
Mamba,32,1.2004,42.56
Mamba,33,1.1248,50.33
Mamba,34,1.1728,46.11
Mamba,35,1.126,48.0
Mamba,36,1.1351,47.78
Mamba,37,1.1252,47.67
Mamba,38,1.1517,46.22
Mamba,39,1.1405,47.89
Mamba,40,1.1123,49.56
Mamba,41,1.1114,50.89
Mamba,42,1.101,51.11
Mamba,43,1.1111,49.89
Mamba,44,1.1152,49.33
Mamba,45,1.1194,49.33
Mamba,46,1.1104,49.44
Mamba,47,1.1385,49.11
Mamba,48,1.1456,47.33
Mamba,49,1.0975,49.0
Mamba,50,1.1133,49.22
Mamba,51,1.0978,49.44
Mamba,52,1.0952,50.22
Mamba,53,1.1077,49.67
Mamba,54,1.1007,49.33
Mamba,55,1.1169,50.33
Mamba,56,1.0994,49.78
Mamba,57,1.0988,50.11
Mamba,58,1.1049,49.78
Mamba,59,1.0996,49.78
Mamba,60,1.1002,50.11
Mamba,61,1.0986,50.22
Mamba,62,1.1006,50.11
Transformer,1,1.3939,26.0
Transformer,2,1.399,25.22
Transformer,3,1.3901,26.11
Transformer,4,1.3899,25.22
Transformer,5,1.3948,25.0
Transformer,6,1.3885,26.11
Transformer,7,1.3919,25.0
Transformer,8,1.3874,25.44
Transformer,9,1.3819,27.67
Transformer,10,1.1543,44.44
Transformer,11,0.805,52.56
Transformer,12,0.7427,58.11
Transformer,13,0.7126,59.22
Transformer,14,0.655,61.44
Transformer,15,0.6058,64.78
Transformer,16,0.6042,63.67
Transformer,17,0.6573,63.44
Transformer,18,0.5863,64.56
Transformer,19,0.6198,63.11
Transformer,20,0.6008,63.33
Transformer,21,0.5717,65.22
Transformer,22,0.5897,63.44
Transformer,23,0.6169,63.67
Transformer,24,0.5739,66.11
Transformer,25,0.5726,66.11
Transformer,26,0.5636,65.67
Transformer,27,0.5484,68.11
Transformer,28,0.5564,67.11
Transformer,29,0.5581,65.78
Transformer,30,0.6792,63.11
Transformer,31,0.5814,65.89
Transformer,32,0.5668,66.44
Transformer,33,0.559,65.89
Transformer,34,0.5549,65.78
Transformer,35,0.5414,67.0
Transformer,36,0.544,66.56
Transformer,37,0.5432,68.56
Transformer,38,0.5414,66.78
Transformer,39,0.5473,66.56
Transformer,40,0.5422,66.56
Transformer,41,0.5477,67.33
Transformer,42,0.5329,68.22
Transformer,43,0.5049,73.11
Transformer,44,0.4753,77.89
Transformer,45,0.5039,72.89
Transformer,46,0.4801,77.33
Transformer,47,0.4819,76.67
Transformer,48,0.4565,79.44
Transformer,49,0.4617,77.78
Transformer,50,0.4535,79.11
Transformer,51,0.4462,79.44
Transformer,52,0.4939,74.89
Transformer,53,0.4476,79.0
Transformer,54,0.4405,79.67
Transformer,55,0.5072,73.56
Transformer,56,0.4477,78.78
Transformer,57,0.443,80.44
Transformer,58,0.4756,75.67
Transformer,59,0.4393,80.22
Transformer,60,0.4499,78.89
Transformer,61,0.4531,77.78
Transformer,62,0.4735,76.11
Transformer,63,0.4513,78.11
Transformer,64,0.4506,79.22
Transformer,65,0.4401,79.67
Transformer,66,0.4315,79.78
Transformer,67,0.4624,76.67
Transformer,68,0.4324,80.11
Transformer,69,0.4274,80.78
Transformer,70,0.4366,80.22
Transformer,71,0.429,80.44
Transformer,72,0.4287,80.33
Transformer,73,0.4284,81.11
Transformer,74,0.4292,80.89
Transformer,75,0.4318,80.56
Transformer,76,0.4372,80.11
Transformer,77,0.4254,81.44
Transformer,78,0.4219,80.89
Transformer,79,0.4283,81.22
Transformer,80,0.4264,81.11
Transformer,81,0.4234,81.44
Transformer,82,0.4271,80.67
Transformer,83,0.4198,81.0
Transformer,84,0.4242,80.89
Transformer,85,0.4257,81.0
Transformer,86,0.4219,81.11
Transformer,87,0.4227,81.11
Transformer,88,0.4233,81.22
Transformer,89,0.4401,80.22
Transformer,90,0.4218,81.0
Transformer,91,0.4202,81.11
Transformer,92,0.4212,81.44
Transformer,93,0.428,80.67
1D-CNN (InceptionTime),1,1.3878,27.22
1D-CNN (InceptionTime),2,1.3862,25.22
