Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.8321,0.9689,0.8953,225
Decision Trees (LightGBM),chemical,1.0,1.0,1.0,225
Decision Trees (LightGBM),electric,0.9275,0.7956,0.8565,225
Decision Trees (LightGBM),impulsive,0.9818,0.96,0.9708,225
Decision Trees (LightGBM),macro_avg,0.9353,0.9311,0.9306,900
Decision Trees (LightGBM),weighted_avg,0.9353,0.9311,0.9306,900
Decision Trees (LightGBM),t_no_thrust,218.0,0.0,7.0,0
Decision Trees (LightGBM),t_chemical,0.0,225.0,0.0,0
Decision Trees (LightGBM),t_electric,42.0,0.0,179.0,4
Decision Trees (LightGBM),t_impulsive,2.0,0.0,7.0,216
MiniRocket,no_thrust,0.8216,0.9822,0.8947,225
MiniRocket,chemical,1.0,0.9956,0.9978,225
MiniRocket,electric,0.9779,0.7867,0.8719,225
MiniRocket,impulsive,0.9956,1.0,0.9978,225
MiniRocket,macro_avg,0.9488,0.9411,0.9406,900
MiniRocket,weighted_avg,0.9488,0.9411,0.9406,900
MiniRocket,t_no_thrust,221.0,0.0,4.0,0
MiniRocket,t_chemical,0.0,224.0,0.0,1
MiniRocket,t_electric,48.0,0.0,177.0,0
MiniRocket,t_impulsive,0.0,0.0,0.0,225
LSTM,no_thrust,0.8745,0.96,0.9153,225
LSTM,chemical,1.0,1.0,1.0,225
LSTM,electric,0.9557,0.8622,0.9065,225
LSTM,impulsive,1.0,1.0,1.0,225
LSTM,macro_avg,0.9575,0.9556,0.9554,900
LSTM,weighted_avg,0.9575,0.9556,0.9554,900
LSTM,t_no_thrust,216.0,0.0,9.0,0
LSTM,t_chemical,0.0,225.0,0.0,0
LSTM,t_electric,31.0,0.0,194.0,0
LSTM,t_impulsive,0.0,0.0,0.0,225
Mamba,no_thrust,0.817,0.8133,0.8151,225
Mamba,chemical,0.974,1.0,0.9868,225
Mamba,electric,0.8106,0.8178,0.8142,225
Mamba,impulsive,0.9908,0.96,0.9752,225
Mamba,macro_avg,0.8981,0.8978,0.8978,900
Mamba,weighted_avg,0.8981,0.8978,0.8978,900
Mamba,t_no_thrust,183.0,0.0,41.0,1
Mamba,t_chemical,0.0,225.0,0.0,0
Mamba,t_electric,38.0,2.0,184.0,1
Mamba,t_impulsive,3.0,4.0,2.0,216
Transformer,no_thrust,0.8246,0.9822,0.8966,225
Transformer,chemical,1.0,1.0,1.0,225
Transformer,electric,0.978,0.7911,0.8747,225
Transformer,impulsive,1.0,1.0,1.0,225
Transformer,macro_avg,0.9507,0.9433,0.9428,900
Transformer,weighted_avg,0.9507,0.9433,0.9428,900
Transformer,t_no_thrust,221.0,0.0,4.0,0
Transformer,t_chemical,0.0,225.0,0.0,0
Transformer,t_electric,47.0,0.0,178.0,0
Transformer,t_impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),no_thrust,0.8941,0.9378,0.9154,225
1D-CNN (InceptionTime),chemical,1.0,1.0,1.0,225
1D-CNN (InceptionTime),electric,0.9346,0.8889,0.9112,225
1D-CNN (InceptionTime),impulsive,1.0,1.0,1.0,225
1D-CNN (InceptionTime),macro_avg,0.9572,0.9567,0.9566,900
1D-CNN (InceptionTime),weighted_avg,0.9572,0.9567,0.9566,900
1D-CNN (InceptionTime),t_no_thrust,211.0,0.0,14.0,0
1D-CNN (InceptionTime),t_chemical,0.0,225.0,0.0,0
1D-CNN (InceptionTime),t_electric,25.0,0.0,200.0,0
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,0.0,225
