Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.2474,0.3156,0.2773,225
Decision Trees (LightGBM),chemical,0.2591,0.2533,0.2562,225
Decision Trees (LightGBM),electric,0.25,0.1956,0.2195,225
Decision Trees (LightGBM),impulsive,0.2488,0.24,0.2443,225
Decision Trees (LightGBM),macro_avg,0.2513,0.2511,0.2493,900
Decision Trees (LightGBM),weighted_avg,0.2513,0.2511,0.2493,900
Decision Trees (LightGBM),t_no_thrust,71.0,54.0,44.0,56
Decision Trees (LightGBM),t_chemical,72.0,57.0,45.0,51
Decision Trees (LightGBM),t_electric,71.0,54.0,44.0,56
Decision Trees (LightGBM),t_impulsive,73.0,55.0,43.0,54
MiniRocket,no_thrust,0.2568,0.2533,0.255,225
MiniRocket,chemical,0.2711,0.4578,0.3405,225
MiniRocket,electric,0.2602,0.1422,0.1839,225
MiniRocket,impulsive,0.2457,0.1911,0.215,225
MiniRocket,macro_avg,0.2584,0.2611,0.2486,900
MiniRocket,weighted_avg,0.2584,0.2611,0.2486,900
MiniRocket,t_no_thrust,57.0,92.0,31.0,45
MiniRocket,t_chemical,51.0,103.0,28.0,43
MiniRocket,t_electric,57.0,92.0,32.0,44
MiniRocket,t_impulsive,57.0,93.0,32.0,43
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.25,0.2711,0.2601,225
LSTM,electric,0.0,0.0,0.0,225
LSTM,impulsive,0.25,0.7289,0.3723,225
LSTM,macro_avg,0.125,0.25,0.1581,900
LSTM,weighted_avg,0.125,0.25,0.1581,900
LSTM,t_no_thrust,0.0,61.0,0.0,164
LSTM,t_chemical,0.0,61.0,0.0,164
LSTM,t_electric,0.0,61.0,0.0,164
LSTM,t_impulsive,0.0,61.0,0.0,164
Mamba,no_thrust,0.25,0.0978,0.1406,225
Mamba,chemical,0.25,0.2933,0.2699,225
Mamba,electric,0.25,0.3378,0.2873,225
Mamba,impulsive,0.25,0.2711,0.2601,225
Mamba,macro_avg,0.25,0.25,0.2395,900
Mamba,weighted_avg,0.25,0.25,0.2395,900
Mamba,t_no_thrust,22.0,66.0,76.0,61
Mamba,t_chemical,22.0,66.0,76.0,61
Mamba,t_electric,22.0,66.0,76.0,61
Mamba,t_impulsive,22.0,66.0,76.0,61
Transformer,no_thrust,0.0,0.0,0.0,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.0,0.0,0.0,225
Transformer,impulsive,0.25,1.0,0.4,225
Transformer,macro_avg,0.0625,0.25,0.1,900
Transformer,weighted_avg,0.0625,0.25,0.1,900
Transformer,t_no_thrust,0.0,0.0,0.0,225
Transformer,t_chemical,0.0,0.0,0.0,225
Transformer,t_electric,0.0,0.0,0.0,225
Transformer,t_impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),no_thrust,0.25,0.2578,0.2538,225
1D-CNN (InceptionTime),chemical,0.25,0.1067,0.1495,225
1D-CNN (InceptionTime),electric,0.25,0.5111,0.3358,225
1D-CNN (InceptionTime),impulsive,0.25,0.1244,0.1662,225
1D-CNN (InceptionTime),macro_avg,0.25,0.25,0.2263,900
1D-CNN (InceptionTime),weighted_avg,0.25,0.25,0.2263,900
1D-CNN (InceptionTime),t_no_thrust,58.0,24.0,115.0,28
1D-CNN (InceptionTime),t_chemical,58.0,24.0,115.0,28
1D-CNN (InceptionTime),t_electric,58.0,24.0,115.0,28
1D-CNN (InceptionTime),t_impulsive,58.0,24.0,115.0,28
