log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
100min800Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Decision Trees,29.69,29.69,1,1,1.3731,0,0.4026679992675781,1.4337,False,0,0.275,0.4354,0.3371,0.375,0.1938,0.2555,0.2875,0.3792,0.327,0.3082,0.1792,0.2266,0.3114,0.2969,0.2866,0.3114,0.2969,0.2866,209.0,39.0,183.0,164.0,93.0,127.0,209.0,41.0,182.0,178.0,75.0,141.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Nearest Neighbor,26.35,26.35,1,1,,0,6.0615,0.0618,False,0,0.2667,0.4583,0.3372,0.2577,0.175,0.2084,0.2478,0.2875,0.2662,0.3019,0.1333,0.185,0.2685,0.2635,0.2492,0.2685,0.2635,0.2492,220.0,80.0,139.0,193.0,84.0,137.0,221.0,80.0,138.0,191.0,82.0,143.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,LSTM,24.17,28.28,24,28,1.3863,18004,0.137359619140625,17.3983,True,0,0.2222,0.1333,0.1667,0.2273,0.1667,0.1923,0.2308,0.1,0.1395,0.2537,0.5667,0.3505,0.2335,0.2417,0.2123,0.2335,0.2417,0.2123,64.0,96.0,48.0,80.0,80.0,64.0,64.0,96.0,48.0,80.0,80.0,48.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Mamba,25.68,25.68,101,101,1.3863,6106,0.0465850830078125,47.7113,False,0,0.256,0.3792,0.3056,0.2546,0.2583,0.2565,0.2549,0.2167,0.2342,0.2643,0.1729,0.2091,0.2575,0.2568,0.2513,0.2575,0.2568,0.2513,182.0,120.0,104.0,174.0,124.0,99.0,181.0,121.0,104.0,174.0,122.0,101.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,Transformer,25.36,25.78,8,54,1.3863,41940,0.319976806640625,43.0113,True,0,0.2438,0.1854,0.2107,0.2566,0.325,0.2868,0.2557,0.4437,0.3244,0.2544,0.0604,0.0976,0.2526,0.2536,0.2299,0.2526,0.2536,0.2299,89.0,150.0,213.0,93.0,156.0,202.0,89.0,150.0,213.0,94.0,152.0,205.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800Norm_Noise_Train_640_Test_vleo.log,MLP,25.73,26.88,62,101,0.0918,708,0.005401611328125,6.135,False,0,,,,,,,,,,,,,0.2578,0.2573,0.2533,0.2578,0.2573,0.2533,137.0,134.0,141.0,121.0,142.0,142.0,137.0,134.0,141.0,120.0,141.0,145.0,0.266,0.2854,0.2754,0.2577,0.2958,0.2755,0.2478,0.2938,0.2688,0.2596,0.1542,0.1935
100min800OE_Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800OE_Norm_Noise_Train_640_Test_vleo.log,Decision Trees,47.19,47.19,1,1,1.1782,0,0.38203907012939453,1.0283,False,0,0.2936,0.5437,0.3813,0.0,0.0,0.0,0.3626,0.4125,0.386,0.9216,0.9313,0.9264,0.3945,0.4719,0.4234,0.3945,0.4719,0.4234,261.0,0.0,208.0,337.0,0.0,128.0,270.0,0.0,198.0,21.0,0.0,12.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800OE_Norm_Noise_Train_640_Test_vleo.log,Nearest Neighbor,52.66,52.66,1,1,,0,6.0615,0.0634,False,0,0.3632,0.3458,0.3543,0.7121,0.7729,0.7413,0.3718,0.4229,0.3957,0.6843,0.5646,0.6187,0.5329,0.5266,0.5275,0.5329,0.5266,0.5275,166.0,44.0,219.0,42.0,371.0,47.0,176.0,47.0,203.0,73.0,59.0,77.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800OE_Norm_Noise_Train_640_Test_vleo.log,LSTM,36.51,42.03,2,19,1.2971,18004,0.137359619140625,12.4217,True,0,0.2958,0.8417,0.4377,0.3766,0.2479,0.299,0.0,0.0,0.0,0.7479,0.3708,0.4958,0.3551,0.3651,0.3081,0.3551,0.3651,0.3081,404.0,59.0,0.0,331.0,119.0,0.0,408.0,59.0,0.0,223.0,79.0,0.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640_Test_vleo,leo/100min-800/100min800OE_Norm_Noise_Train_640_Test_vleo.log,Mamba,68.33,71.09,80,92,0.8455,6106,0.0465850830078125,44.8706,True,0,0.4781,0.5,0.4888,0.9258,0.8833,0.9041,0.4691,0.4271,0.4471,0.847,0.9229,0.8833,0.68,0.6833,0.6808,0.68,0.6833,0.6808,240.0,12.0,205.0,4.0,424.0,15.0,244.0,11.0,205.0,14.0,11.0,12.0,,,,,,,,,,,,
