log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
100min800Norm_Noise_Test_vleo,leo\100min-800\100min800Norm_Noise_Test_vleo.log,Decision Trees,29.17,29.17,1,1,1.3772,0,0.4394378662109375,0.7414,False,0,0.2887,0.4667,0.3567,0.625,0.0833,0.1471,0.2612,0.5333,0.3507,0.4,0.0833,0.1379,0.3937,0.2917,0.2481,0.3937,0.2917,0.2481,56.0,0.0,63.0,43.0,10.0,54.0,55.0,0.0,64.0,40.0,6.0,64.0
100min800Norm_Noise_Test_vleo,leo\100min-800\100min800Norm_Noise_Test_vleo.log,LSTM,25.0,31.67,8,41,1.3863,18004,0.137359619140625,85.594,True,0,0.25,0.3333,0.2857,0.25,0.2667,0.2581,0.25,0.1333,0.1739,0.25,0.2667,0.2581,0.25,0.25,0.2439,0.25,0.25,0.2439,40.0,32.0,16.0,40.0,32.0,16.0,40.0,32.0,16.0,40.0,32.0,16.0
100min800Norm_Noise_Test_vleo,leo\100min-800\100min800Norm_Noise_Test_vleo.log,Mamba,26.88,26.88,101,101,1.3861,6106,0.0465850830078125,159.8715,False,0,0.2667,0.2,0.2286,0.2868,0.3083,0.2972,0.2585,0.3167,0.2846,0.2632,0.25,0.2564,0.2688,0.2687,0.2667,0.2688,0.2687,0.2667,24.0,30.0,38.0,20.0,37.0,35.0,24.0,30.0,38.0,22.0,32.0,36.0
100min800OE_Norm_Noise_Test_vleo,leo\100min-800\100min800OE_Norm_Noise_Test_vleo.log,Decision Trees,50.62,50.62,1,1,1.1178,0,0.4301776885986328,0.6976,False,0,0.3468,0.5,0.4096,0.0,0.0,0.0,0.3613,0.575,0.4437,0.9828,0.95,0.9661,0.4227,0.5062,0.4548,0.4227,0.5062,0.4548,60.0,0.0,60.0,61.0,0.0,58.0,50.0,0.0,69.0,2.0,0.0,4.0
100min800OE_Norm_Noise_Test_vleo,leo\100min-800\100min800OE_Norm_Noise_Test_vleo.log,LSTM,43.54,43.54,16,16,1.2224,18004,0.137359619140625,33.391,True,0,0.3421,0.975,0.5065,0.597,0.3333,0.4278,0.1333,0.0167,0.0296,0.8929,0.4167,0.5682,0.4913,0.4354,0.383,0.4913,0.4354,0.383,117.0,0.0,2.0,77.0,40.0,0.0,108.0,8.0,2.0,40.0,19.0,11.0
100min800OE_Norm_Noise_Test_vleo,leo\100min-800\100min800OE_Norm_Noise_Test_vleo.log,Mamba,73.12,73.96,67,70,0.4862,6106,0.0465850830078125,113.1419,True,0,0.513,0.4917,0.5021,0.9748,0.9667,0.9707,0.5,0.5083,0.5041,0.9274,0.9583,0.9426,0.7288,0.7312,0.7299,0.7288,0.7312,0.7299,59.0,0.0,58.0,0.0,116.0,0.0,56.0,1.0,61.0,0.0,2.0,3.0
10min800Norm_Noise_Test_vleo,leo\10min-800\10min800Norm_Noise_Test_vleo.log,Decision Trees,25.62,25.62,1,1,1.3904,0,0.4083280563354492,0.2386,False,0,0.253,0.175,0.2069,0.2449,0.2,0.2202,0.2556,0.2833,0.2688,0.2651,0.3667,0.3077,0.2547,0.2562,0.2509,0.2547,0.2562,0.2509,21.0,25.0,34.0,20.0,24.0,35.0,20.0,25.0,34.0,22.0,24.0,30.0
10min800Norm_Noise_Test_vleo,leo\10min-800\10min800Norm_Noise_Test_vleo.log,LSTM,21.67,31.67,8,15,1.386,18004,0.137359619140625,10.4303,True,0,0.0,0.0,0.0,0.2045,0.6,0.3051,0.0,0.0,0.0,0.3333,0.2667,0.2963,0.1345,0.2167,0.1503,0.1345,0.2167,0.1503,0.0,104.0,0.0,0.0,72.0,16.0,0.0,104.0,0.0,0.0,72.0,16.0
10min800Norm_Noise_Test_vleo,leo\10min-800\10min800Norm_Noise_Test_vleo.log,Mamba,25.0,25.42,21,101,1.3863,6106,0.0465850830078125,102.2809,False,0,0.25,0.3083,0.2761,0.25,0.1833,0.2115,0.25,0.2417,0.2458,0.25,0.2667,0.2581,0.25,0.25,0.2479,0.25,0.25,0.2479,37.0,22.0,29.0,37.0,22.0,29.0,37.0,22.0,29.0,37.0,22.0,29.0
10min800OE_Norm_Noise_Test_vleo,leo\10min-800\10min800OE_Norm_Noise_Test_vleo.log,Decision Trees,44.38,44.38,1,1,1.0604,0,0.3958721160888672,0.2252,False,0,0.2549,0.2167,0.2342,0.38,0.1583,0.2235,0.3291,0.65,0.437,0.989,0.75,0.8531,0.4883,0.4437,0.437,0.4883,0.4437,0.437,26.0,4.0,89.0,31.0,19.0,70.0,41.0,1.0,78.0,4.0,26.0,0.0
