log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
100min800Norm_Noise_Train_640_Test_vleo,leo\100min-800\100min800Norm_Noise_Train_640_Test_vleo.log,Decision Trees,29.22,29.22,1,1,1.3815,0,0.4041271209716797,0.5743,False,0,0.2703,0.3812,0.3163,0.3918,0.1583,0.2255,0.2824,0.4542,0.3482,0.3032,0.175,0.2219,0.3119,0.2922,0.278,0.3119,0.2922,0.278,183.0,29.0,219.0,151.0,76.0,158.0,183.0,30.0,218.0,160.0,59.0,177.0
100min800Norm_Noise_Train_640_Test_vleo,leo\100min-800\100min800Norm_Noise_Train_640_Test_vleo.log,LSTM,25.0,27.5,2,14,1.3863,18004,0.137359619140625,11.4513,True,0,0.0,0.0,0.0,0.2551,0.8333,0.3906,0.0,0.0,0.0,0.2273,0.1667,0.1923,0.1206,0.25,0.1457,0.1206,0.25,0.1457,0.0,384.0,0.0,0.0,400.0,0.0,0.0,384.0,0.0,0.0,400.0,0.0
100min800Norm_Noise_Train_640_Test_vleo,leo\100min-800\100min800Norm_Noise_Train_640_Test_vleo.log,Mamba,25.05,25.62,20,59,1.3864,6106,0.0465850830078125,43.2955,True,0,0.2454,0.3042,0.2716,0.2528,0.0938,0.1368,0.2582,0.1812,0.213,0.2506,0.4229,0.3147,0.2517,0.2505,0.234,0.2517,0.2505,0.234,146.0,44.0,87.0,151.0,45.0,82.0,147.0,44.0,87.0,151.0,45.0,81.0
100min800OE_Norm_Noise_Train_640_Test_vleo,leo\100min-800\100min800OE_Norm_Noise_Train_640_Test_vleo.log,Decision Trees,47.76,47.76,1,1,1.1471,0,0.38525867462158203,0.4721,False,0,0.2986,0.6083,0.4005,1.0,0.0104,0.0206,0.3729,0.3667,0.3697,0.9548,0.925,0.9397,0.6566,0.4776,0.4326,0.6566,0.4776,0.4326,292.0,0.0,182.0,355.0,5.0,108.0,301.0,0.0,176.0,30.0,0.0,6.0
100min800OE_Norm_Noise_Train_640_Test_vleo,leo\100min-800\100min800OE_Norm_Noise_Train_640_Test_vleo.log,LSTM,36.09,46.41,3,17,1.2557,18004,0.137359619140625,14.4806,True,0,0.5,0.0083,0.0164,0.2821,0.0458,0.0789,0.2877,0.9375,0.4403,0.8037,0.4521,0.5787,0.4684,0.3609,0.2786,0.4684,0.3609,0.2786,4.0,13.0,452.0,1.0,22.0,432.0,0.0,13.0,450.0,3.0,30.0,230.0
100min800OE_Norm_Noise_Train_640_Test_vleo,leo\100min-800\100min800OE_Norm_Noise_Train_640_Test_vleo.log,Mamba,69.06,69.69,70,71,0.7374,6106,0.0465850830078125,51.8279,True,0,0.4888,0.4562,0.472,0.9283,0.8625,0.8942,0.4938,0.4979,0.4959,0.8376,0.9458,0.8885,0.6871,0.6906,0.6876,0.6871,0.6906,0.6876,219.0,8.0,242.0,1.0,414.0,2.0,223.0,4.0,239.0,5.0,20.0,1.0
10min800Norm_Noise_Train_640_Test_vleo,leo\10min-800\10min800Norm_Noise_Train_640_Test_vleo.log,Decision Trees,25.47,25.47,1,1,1.3909,0,0.3420705795288086,0.2064,False,0,0.2519,0.2104,0.2293,0.2515,0.175,0.2064,0.255,0.1583,0.1954,0.257,0.475,0.3336,0.2539,0.2547,0.2412,0.2539,0.2547,0.2412,101.0,85.0,75.0,101.0,84.0,75.0,101.0,83.0,76.0,98.0,82.0,72.0
10min800Norm_Noise_Train_640_Test_vleo,leo\10min-800\10min800Norm_Noise_Train_640_Test_vleo.log,LSTM,25.0,25.0,1,21,1.3863,18004,0.137359619140625,8.1303,True,0,0.25,0.2667,0.2581,0.25,0.4667,0.3256,0.25,0.1667,0.2,0.25,0.1,0.1429,0.25,0.25,0.2316,0.25,0.25,0.2316,128.0,224.0,80.0,128.0,224.0,80.0,128.0,224.0,80.0,128.0,224.0,80.0
10min800Norm_Noise_Train_640_Test_vleo,leo\10min-800\10min800Norm_Noise_Train_640_Test_vleo.log,Mamba,25.1,25.47,40,77,1.3863,6106,0.0465850830078125,37.5366,True,0,0.2511,0.2313,0.2408,0.25,0.4,0.3077,0.25,0.1688,0.2015,0.2539,0.2042,0.2263,0.2513,0.251,0.2441,0.2513,0.251,0.2441,111.0,192.0,81.0,111.0,192.0,81.0,111.0,192.0,81.0,109.0,192.0,81.0
10min800OE_Norm_Noise_Train_640_Test_vleo,leo\10min-800\10min800OE_Norm_Noise_Train_640_Test_vleo.log,Decision Trees,46.98,46.98,1,1,1.0547,0,0.3338661193847656,0.2046,False,0,0.3414,0.3542,0.3476,0.3224,0.1021,0.1551,0.3512,0.6292,0.4507,0.9293,0.7937,0.8562,0.486,0.4698,0.4524,0.486,0.4698,0.4524,170.0,8.0,298.0,159.0,49.0,251.0,164.0,10.0,302.0,5.0,85.0,9.0
