log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2.log,Decision Trees (LightGBM),74.78,74.78,1,1,0.5081,,0.41416454315185547,1.2364,False,0,0.9825,1.0,0.9912,0.5023,0.9911,0.6667,0.0,0.0,0.0,0.9912,1.0,0.9956,0.619,0.7478,0.6634,0.619,0.7478,0.6634,225.0,0.0,0.0,0.0,223.0,0.0,4.0,221.0,0.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2.log,MiniRocket,63.67,63.67,1,1,,9996.0,0.5815,23.4546,False,0,0.9883,0.7511,0.8535,0.4151,1.0,0.5867,0.9158,0.3867,0.5437,1.0,0.4089,0.5804,0.8298,0.6367,0.6411,0.8298,0.6367,0.6411,169.0,48.0,8.0,0.0,225.0,0.0,2.0,136.0,87.0,0.0,133.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2.log,LSTM,25.0,96.0,32,43,6.5259,94780.0,0.723114013671875,121.5822,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2.log,Mamba,25.0,92.33,16,20,4.8123,25018.0,0.1908721923828125,68.3145,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2.log,Transformer,25.0,95.33,38,57,5.8802,405132.0,3.090911865234375,83.9571,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed2.log,1D-CNN (InceptionTime),25.0,96.78,30,33,9.6272,473668.0,3.613800048828125,242.2828,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
30min1500SeqData_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Std_Test_geo_Seed0.log,Decision Trees (LightGBM),25.0,25.0,1,1,1.415,,0.41649436950683594,0.596,False,0,0.0,0.0,0.0,0.25,0.9911,0.3993,0.0,0.0,0.0,0.25,0.0089,0.0172,0.125,0.25,0.1041,0.125,0.25,0.1041,0.0,223.0,0.0,0.0,223.0,0.0,0.0,223.0,0.0,0.0,223.0,0.0
30min1500SeqData_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Std_Test_geo_Seed0.log,MiniRocket,25.0,25.0,1,1,,9996.0,0.5809,21.3776,False,0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0
30min1500SeqData_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Std_Test_geo_Seed0.log,LSTM,25.0,25.0,1,18,1.3863,28660.0,0.218658447265625,31.516,True,0,0.25,0.1378,0.1777,0.0,0.0,0.0,0.25,0.3778,0.3009,0.25,0.4844,0.3298,0.1875,0.25,0.2021,0.1875,0.25,0.2021,31.0,0.0,85.0,31.0,0.0,85.0,31.0,0.0,85.0,31.0,0.0,85.0
30min1500SeqData_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Std_Test_geo_Seed0.log,Mamba,25.0,25.11,9,27,1.3863,12208.0,0.0931396484375,101.1512,True,0,0.25,0.3156,0.279,0.25,0.5067,0.3348,0.25,0.1333,0.1739,0.25,0.0444,0.0755,0.25,0.25,0.2158,0.25,0.25,0.2158,71.0,114.0,30.0,71.0,114.0,30.0,71.0,114.0,30.0,71.0,114.0,30.0
