Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,0.6436,63.22
LSTM,2,0.4871,71.33
LSTM,3,0.4419,73.33
LSTM,4,0.4423,74.22
LSTM,5,0.46,74.11
LSTM,6,0.4212,73.89
LSTM,7,0.4063,73.78
LSTM,8,0.4203,73.33
LSTM,9,0.404,75.67
LSTM,10,0.3942,75.33
LSTM,11,0.4515,72.0
LSTM,12,0.3969,75.33
LSTM,13,0.5396,69.44
LSTM,14,0.3908,75.56
LSTM,15,0.3936,74.0
LSTM,16,0.4092,74.33
LSTM,17,0.3709,77.0
LSTM,18,0.36,77.89
LSTM,19,0.4132,74.11
LSTM,20,0.3952,75.0
LSTM,21,0.3797,74.78
LSTM,22,0.3726,75.0
LSTM,23,0.3862,75.11
LSTM,24,0.3752,75.0
LSTM,25,0.3691,75.0
LSTM,26,0.3664,75.33
LSTM,27,0.3672,74.56
LSTM,28,0.3715,74.78
Mamba,1,0.9944,52.33
Mamba,2,0.4175,79.22
Mamba,3,0.2748,89.0
Mamba,4,0.1033,97.22
Mamba,5,0.1209,97.22
Mamba,6,0.1,97.78
Mamba,7,0.0895,97.67
Mamba,8,0.1028,97.78
Mamba,9,0.128,97.22
Mamba,10,0.0798,98.11
Mamba,11,0.0766,98.44
Mamba,12,0.0923,98.22
Mamba,13,0.1204,97.11
Mamba,14,0.0579,98.78
Mamba,15,0.0618,98.78
Mamba,16,0.0924,98.56
Mamba,17,0.0742,98.44
Mamba,18,0.1016,98.56
Mamba,19,0.057,98.67
Mamba,20,0.0744,98.78
Mamba,21,0.0598,98.44
Mamba,22,0.0569,98.67
Mamba,23,0.0645,98.67
Mamba,24,0.0624,98.56
Mamba,25,0.0657,98.56
Mamba,26,0.0692,98.44
Mamba,27,0.0674,98.56
Mamba,28,0.074,98.44
Mamba,29,0.074,98.44
Mamba,30,0.0735,98.56
Mamba,31,0.0754,98.44
Mamba,32,0.0752,98.56
Transformer,1,0.0608,98.67
Transformer,2,0.0699,97.78
Transformer,3,0.2339,93.22
Transformer,4,0.0242,98.89
Transformer,5,0.0206,99.44
Transformer,6,0.0133,99.44
Transformer,7,0.038,98.89
Transformer,8,0.0341,98.56
Transformer,9,0.0044,99.78
Transformer,10,0.0141,99.56
Transformer,11,0.0077,99.67
Transformer,12,0.0067,99.78
Transformer,13,0.0089,99.89
Transformer,14,0.0095,99.78
Transformer,15,0.0076,99.89
Transformer,16,0.0081,99.89
Transformer,17,0.0087,99.89
Transformer,18,0.0095,99.89
Transformer,19,0.0095,99.89
1D-CNN (InceptionTime),1,0.1137,94.11
1D-CNN (InceptionTime),2,0.0436,99.22
1D-CNN (InceptionTime),3,0.04,99.33
1D-CNN (InceptionTime),4,0.0365,99.22
1D-CNN (InceptionTime),5,0.0438,98.78
1D-CNN (InceptionTime),6,0.0378,99.22
1D-CNN (InceptionTime),7,0.0345,99.22
1D-CNN (InceptionTime),8,0.0357,99.22
1D-CNN (InceptionTime),9,0.0371,99.22
1D-CNN (InceptionTime),10,0.0321,99.22
1D-CNN (InceptionTime),11,0.034,99.33
1D-CNN (InceptionTime),12,0.053,98.78
1D-CNN (InceptionTime),13,0.0381,99.11
1D-CNN (InceptionTime),14,0.0243,99.33
1D-CNN (InceptionTime),15,0.0315,99.33
1D-CNN (InceptionTime),16,0.0376,99.11
1D-CNN (InceptionTime),17,0.0388,99.33
1D-CNN (InceptionTime),18,0.0317,99.33
1D-CNN (InceptionTime),19,0.053,99.33
1D-CNN (InceptionTime),20,0.0319,99.11
1D-CNN (InceptionTime),21,0.0341,99.33
1D-CNN (InceptionTime),22,0.0288,99.11
1D-CNN (InceptionTime),23,0.0431,99.11
1D-CNN (InceptionTime),24,0.0607,99.22
