Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3866,25.0
LSTM,2,1.3869,25.0
LSTM,3,1.3862,25.0
LSTM,4,1.3863,25.0
LSTM,5,1.3863,25.0
LSTM,6,1.3867,25.0
LSTM,7,1.3861,25.0
LSTM,8,1.3862,25.0
LSTM,9,1.3862,25.0
LSTM,10,1.3863,25.0
LSTM,11,1.3864,25.0
LSTM,12,1.3863,25.0
LSTM,13,1.3863,25.0
LSTM,14,1.3863,25.0
LSTM,15,1.3864,25.0
LSTM,16,1.3863,25.0
LSTM,17,1.3863,25.0
Mamba,1,1.3867,25.0
Mamba,2,1.3865,25.0
Mamba,3,1.3864,25.0
Mamba,4,1.3865,25.0
Mamba,5,1.3864,25.0
Mamba,6,1.3864,25.0
Mamba,7,1.3863,25.0
Mamba,8,1.3864,25.0
Mamba,9,1.3863,25.0
Mamba,10,1.3863,25.0
Mamba,11,1.3863,25.0
Mamba,12,1.3863,25.0
Mamba,13,1.3863,25.0
Mamba,14,1.3863,25.0
Mamba,15,1.3863,25.0
Mamba,16,1.3863,25.0
Mamba,17,1.3863,25.0
Mamba,18,1.3863,25.0
Mamba,19,1.3863,24.89
Mamba,20,1.3863,24.89
Mamba,21,1.3863,25.0
Mamba,22,1.3863,25.0
Mamba,23,1.3863,25.0
Transformer,1,1.4079,25.0
Transformer,2,1.3942,25.0
Transformer,3,1.3934,25.0
Transformer,4,1.3903,25.0
Transformer,5,1.3902,25.0
Transformer,6,1.3885,25.0
Transformer,7,1.3876,25.0
Transformer,8,1.3867,25.0
Transformer,9,1.3882,25.0
Transformer,10,1.3905,25.0
Transformer,11,1.3866,25.0
Transformer,12,1.3877,25.0
Transformer,13,1.39,25.0
Transformer,14,1.3877,25.0
Transformer,15,1.3866,25.0
Transformer,16,1.387,25.0
Transformer,17,1.3876,25.0
Transformer,18,1.3863,25.0
Transformer,19,1.3871,25.0
Transformer,20,1.3865,25.0
Transformer,21,1.3869,25.0
Transformer,22,1.3868,25.0
Transformer,23,1.3869,25.0
Transformer,24,1.3863,25.0
Transformer,25,1.3865,25.0
Transformer,26,1.3868,25.0
Transformer,27,1.3864,25.0
Transformer,28,1.3864,25.0
1D-CNN (InceptionTime),1,1.3912,25.0
1D-CNN (InceptionTime),2,1.388,25.0
1D-CNN (InceptionTime),3,1.3869,25.0
1D-CNN (InceptionTime),4,1.3992,25.0
1D-CNN (InceptionTime),5,1.3866,25.0
1D-CNN (InceptionTime),6,1.3955,25.0
1D-CNN (InceptionTime),7,1.3878,25.0
1D-CNN (InceptionTime),8,1.3864,25.0
1D-CNN (InceptionTime),9,1.3885,25.0
1D-CNN (InceptionTime),10,1.3879,25.0
1D-CNN (InceptionTime),11,1.3892,25.0
1D-CNN (InceptionTime),12,1.3883,25.0
1D-CNN (InceptionTime),13,1.3882,25.0
1D-CNN (InceptionTime),14,1.3866,25.0
1D-CNN (InceptionTime),15,1.3863,25.0
1D-CNN (InceptionTime),16,1.3868,25.0
1D-CNN (InceptionTime),17,1.388,25.0
1D-CNN (InceptionTime),18,1.3861,25.0
1D-CNN (InceptionTime),19,1.3875,25.0
1D-CNN (InceptionTime),20,1.3866,25.0
1D-CNN (InceptionTime),21,1.3871,25.0
1D-CNN (InceptionTime),22,1.3884,25.0
1D-CNN (InceptionTime),23,1.3872,25.0
1D-CNN (InceptionTime),24,1.3877,25.0
1D-CNN (InceptionTime),25,1.3866,25.0
1D-CNN (InceptionTime),26,1.3866,25.0
1D-CNN (InceptionTime),27,1.3864,25.0
1D-CNN (InceptionTime),28,1.3864,25.0
