Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.25,0.2356,0.2426,225
Decision Trees (LightGBM),chemical,0.2524,0.2311,0.2413,225
Decision Trees (LightGBM),electric,0.2519,0.2889,0.2692,225
Decision Trees (LightGBM),impulsive,0.2634,0.2622,0.2628,225
Decision Trees (LightGBM),macro_avg,0.2544,0.2544,0.254,900
Decision Trees (LightGBM),weighted_avg,0.2544,0.2544,0.254,900
Decision Trees (LightGBM),t_no_thrust,53.0,52.0,65.0,55
Decision Trees (LightGBM),t_chemical,53.0,52.0,65.0,55
Decision Trees (LightGBM),t_electric,53.0,52.0,65.0,55
Decision Trees (LightGBM),t_impulsive,53.0,50.0,63.0,59
MiniRocket,no_thrust,0.2723,0.2578,0.2648,225
MiniRocket,chemical,0.2878,0.1778,0.2198,225
MiniRocket,electric,0.28,0.1556,0.2,225
MiniRocket,impulsive,0.3002,0.5644,0.392,225
MiniRocket,macro_avg,0.2851,0.2889,0.2691,900
MiniRocket,weighted_avg,0.2851,0.2889,0.2691,900
MiniRocket,t_no_thrust,58.0,33.0,34.0,100
MiniRocket,t_chemical,55.0,40.0,33.0,97
MiniRocket,t_electric,57.0,34.0,35.0,99
MiniRocket,t_impulsive,43.0,32.0,23.0,127
LSTM,no_thrust,0.0,0.0,0.0,225
LSTM,chemical,0.0,0.0,0.0,225
LSTM,electric,0.0,0.0,0.0,225
LSTM,impulsive,0.25,1.0,0.4,225
LSTM,macro_avg,0.0625,0.25,0.1,900
LSTM,weighted_avg,0.0625,0.25,0.1,900
LSTM,t_no_thrust,0.0,0.0,0.0,225
LSTM,t_chemical,0.0,0.0,0.0,225
LSTM,t_electric,0.0,0.0,0.0,225
LSTM,t_impulsive,0.0,0.0,0.0,225
Mamba,no_thrust,0.25,0.2178,0.2328,225
Mamba,chemical,0.25,0.2933,0.2699,225
Mamba,electric,0.25,0.0578,0.0939,225
Mamba,impulsive,0.25,0.4311,0.3165,225
Mamba,macro_avg,0.25,0.25,0.2283,900
Mamba,weighted_avg,0.25,0.25,0.2283,900
Mamba,t_no_thrust,49.0,66.0,13.0,97
Mamba,t_chemical,49.0,66.0,13.0,97
Mamba,t_electric,49.0,66.0,13.0,97
Mamba,t_impulsive,49.0,66.0,13.0,97
Transformer,no_thrust,0.0,0.0,0.0,225
Transformer,chemical,0.0,0.0,0.0,225
Transformer,electric,0.25,1.0,0.4,225
Transformer,impulsive,0.0,0.0,0.0,225
Transformer,macro_avg,0.0625,0.25,0.1,900
Transformer,weighted_avg,0.0625,0.25,0.1,900
Transformer,t_no_thrust,0.0,0.0,225.0,0
Transformer,t_chemical,0.0,0.0,225.0,0
Transformer,t_electric,0.0,0.0,225.0,0
Transformer,t_impulsive,0.0,0.0,225.0,0
1D-CNN (InceptionTime),no_thrust,0.0,0.0,0.0,225
1D-CNN (InceptionTime),chemical,0.0,0.0,0.0,225
1D-CNN (InceptionTime),electric,0.0,0.0,0.0,225
1D-CNN (InceptionTime),impulsive,0.25,1.0,0.4,225
1D-CNN (InceptionTime),macro_avg,0.0625,0.25,0.1,900
1D-CNN (InceptionTime),weighted_avg,0.0625,0.25,0.1,900
1D-CNN (InceptionTime),t_no_thrust,0.0,0.0,0.0,225
1D-CNN (InceptionTime),t_chemical,0.0,0.0,0.0,225
1D-CNN (InceptionTime),t_electric,0.0,0.0,0.0,225
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,0.0,225
