Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3836,26.56
LSTM,2,1.3812,26.78
LSTM,3,1.3769,27.22
LSTM,4,1.3747,27.22
LSTM,5,1.3743,27.0
LSTM,6,1.3715,27.78
LSTM,7,1.3728,27.44
LSTM,8,1.3747,27.33
LSTM,9,1.3687,28.33
LSTM,10,1.3724,28.22
LSTM,11,1.3659,27.22
LSTM,12,1.3853,28.33
LSTM,13,1.3461,31.0
LSTM,14,1.3449,30.78
LSTM,15,1.346,29.89
LSTM,16,1.3321,31.56
LSTM,17,1.3217,32.56
LSTM,18,1.3208,33.33
LSTM,19,1.3093,34.78
LSTM,20,1.2832,35.67
LSTM,21,1.2994,36.11
LSTM,22,1.2534,38.89
LSTM,23,1.3209,34.33
LSTM,24,1.2546,40.11
LSTM,25,1.2505,37.78
LSTM,26,1.2439,39.11
LSTM,27,1.2053,41.56
LSTM,28,1.1731,45.56
LSTM,29,1.1569,43.67
LSTM,30,1.1518,46.67
LSTM,31,1.1135,47.78
LSTM,32,1.1155,47.11
LSTM,33,1.1251,46.33
LSTM,34,1.0981,48.33
LSTM,35,1.1013,50.11
LSTM,36,1.0509,51.33
LSTM,37,1.0695,47.44
LSTM,38,1.0237,51.89
LSTM,39,1.0636,48.44
LSTM,40,1.0607,49.78
LSTM,41,1.0741,50.78
LSTM,42,1.0855,50.89
LSTM,43,1.0216,52.44
LSTM,44,1.007,55.78
LSTM,45,1.0135,54.33
LSTM,46,0.9881,53.33
LSTM,47,0.9663,55.78
LSTM,48,1.0711,50.44
LSTM,49,0.9941,55.56
LSTM,50,0.9991,54.33
LSTM,51,1.0221,54.33
LSTM,52,0.9698,55.67
LSTM,53,0.958,58.89
LSTM,54,0.9456,57.11
LSTM,55,1.0132,53.78
LSTM,56,0.9366,59.67
LSTM,57,0.9755,55.78
LSTM,58,1.0787,51.56
LSTM,59,0.9241,59.67
LSTM,60,1.0383,54.33
LSTM,61,0.9141,61.78
LSTM,62,0.978,54.78
LSTM,63,0.9315,56.56
LSTM,64,0.8989,60.0
LSTM,65,0.9481,57.22
LSTM,66,0.9002,59.67
LSTM,67,0.8861,62.0
LSTM,68,0.9334,57.56
LSTM,69,0.8938,59.89
LSTM,70,0.8624,65.67
LSTM,71,0.9533,57.33
LSTM,72,0.9044,60.78
LSTM,73,0.8989,60.67
LSTM,74,0.9323,57.56
LSTM,75,0.9805,56.11
LSTM,76,0.9617,55.89
LSTM,77,0.8306,67.44
LSTM,78,0.8783,63.0
LSTM,79,0.8653,64.0
LSTM,80,0.9,61.11
LSTM,81,0.8428,63.56
LSTM,82,0.8281,66.33
LSTM,83,0.7929,68.22
LSTM,84,0.8368,63.11
LSTM,85,0.8094,68.67
LSTM,86,0.8495,67.33
LSTM,87,0.8298,67.67
LSTM,88,0.8363,64.89
LSTM,89,0.8527,65.44
LSTM,90,0.7673,72.0
LSTM,91,0.786,70.22
LSTM,92,0.7715,69.78
LSTM,93,0.7974,70.67
LSTM,94,0.7761,71.89
LSTM,95,0.7825,70.56
LSTM,96,0.8314,67.89
LSTM,97,0.7573,73.11
LSTM,98,0.7596,73.11
LSTM,99,0.79,72.78
LSTM,100,0.7552,73.33
Mamba,1,1.3849,26.33
Mamba,2,1.3807,26.11
Mamba,3,1.3785,26.44
Mamba,4,1.3781,26.89
Mamba,5,1.3763,27.44
Mamba,6,1.3735,27.44
Mamba,7,1.3709,29.89
Mamba,8,1.377,29.44
Mamba,9,1.3889,28.89
Mamba,10,1.3712,28.78
Mamba,11,1.3386,34.22
Mamba,12,1.3299,34.44
Mamba,13,1.3251,34.11
Mamba,14,1.3559,35.44
Mamba,15,1.3116,39.56
Mamba,16,1.2474,43.22
Mamba,17,1.2246,43.11
Mamba,18,1.2481,41.67
Mamba,19,1.1738,45.11
Mamba,20,1.177,45.78
Mamba,21,1.14,49.89
Mamba,22,1.1544,47.33
Mamba,23,1.1436,48.56
Mamba,24,1.1415,46.33
