Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.445,0.8267,0.5785,225
Decision Trees (LightGBM),chemical,0.3481,0.2089,0.2611,225
Decision Trees (LightGBM),electric,0.3103,0.28,0.2944,225
Decision Trees (LightGBM),impulsive,0.4792,0.3067,0.374,225
Decision Trees (LightGBM),macro_avg,0.3957,0.4056,0.377,900
Decision Trees (LightGBM),weighted_avg,0.3957,0.4056,0.377,900
Decision Trees (LightGBM),t_no_thrust,186.0,11.0,28.0,0
Decision Trees (LightGBM),t_chemical,65.0,47.0,58.0,55
Decision Trees (LightGBM),t_electric,119.0,23.0,63.0,20
Decision Trees (LightGBM),t_impulsive,48.0,54.0,54.0,69
MiniRocket,no_thrust,0.9698,1.0,0.9847,225
MiniRocket,chemical,1.0,1.0,1.0,225
MiniRocket,electric,1.0,0.9689,0.9842,225
MiniRocket,impulsive,1.0,1.0,1.0,225
MiniRocket,macro_avg,0.9925,0.9922,0.9922,900
MiniRocket,weighted_avg,0.9925,0.9922,0.9922,900
MiniRocket,t_no_thrust,225.0,0.0,0.0,0
MiniRocket,t_chemical,0.0,225.0,0.0,0
MiniRocket,t_electric,7.0,0.0,218.0,0
MiniRocket,t_impulsive,0.0,0.0,0.0,225
LSTM,no_thrust,0.8202,0.9733,0.8902,225
LSTM,chemical,0.7446,0.6089,0.6699,225
LSTM,electric,0.8905,0.8311,0.8598,225
LSTM,impulsive,0.6904,0.7333,0.7112,225
LSTM,macro_avg,0.7864,0.7867,0.7828,900
LSTM,weighted_avg,0.7864,0.7867,0.7828,900
LSTM,t_no_thrust,219.0,0.0,3.0,3
LSTM,t_chemical,6.0,137.0,17.0,65
LSTM,t_electric,30.0,2.0,187.0,6
LSTM,t_impulsive,12.0,45.0,3.0,165
Mamba,no_thrust,0.6773,0.8489,0.7535,225
Mamba,chemical,0.3533,0.2622,0.301,225
Mamba,electric,0.5124,0.4578,0.4836,225
Mamba,impulsive,0.5,0.5556,0.5263,225
Mamba,macro_avg,0.5108,0.5311,0.5161,900
Mamba,weighted_avg,0.5108,0.5311,0.5161,900
Mamba,t_no_thrust,191.0,3.0,27.0,4
Mamba,t_chemical,14.0,59.0,54.0,98
Mamba,t_electric,67.0,32.0,103.0,23
Mamba,t_impulsive,10.0,73.0,17.0,125
Transformer,no_thrust,0.9449,0.9911,0.9675,225
Transformer,chemical,0.5234,0.2489,0.3373,225
Transformer,electric,0.7519,0.8622,0.8033,225
Transformer,impulsive,0.5987,0.7956,0.6832,225
Transformer,macro_avg,0.7047,0.7244,0.6978,900
Transformer,weighted_avg,0.7047,0.7244,0.6978,900
Transformer,t_no_thrust,223.0,0.0,2.0,0
Transformer,t_chemical,1.0,56.0,55.0,113
Transformer,t_electric,11.0,13.0,194.0,7
Transformer,t_impulsive,1.0,38.0,7.0,179
1D-CNN (InceptionTime),no_thrust,0.8785,0.9644,0.9195,225
1D-CNN (InceptionTime),chemical,0.9366,0.8533,0.893,225
1D-CNN (InceptionTime),electric,0.9751,0.8711,0.9202,225
1D-CNN (InceptionTime),impulsive,0.8502,0.9333,0.8898,225
1D-CNN (InceptionTime),macro_avg,0.9101,0.9056,0.9056,900
1D-CNN (InceptionTime),weighted_avg,0.9101,0.9056,0.9056,900
1D-CNN (InceptionTime),t_no_thrust,217.0,0.0,5.0,3
1D-CNN (InceptionTime),t_chemical,4.0,192.0,0.0,29
1D-CNN (InceptionTime),t_electric,20.0,4.0,196.0,5
1D-CNN (InceptionTime),t_impulsive,6.0,9.0,0.0,210
