log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,Decision Trees (LightGBM),42.22,42.22,1,1,1.2771,,0.4121713638305664,0.8864,False,0,0.4562,0.7644,0.5714,0.3622,0.2044,0.2614,0.3537,0.36,0.3568,0.485,0.36,0.4133,0.4143,0.4222,0.4007,0.4143,0.4222,0.4007,172.0,5.0,46.0,56.0,46.0,56.0,105.0,22.0,81.0,44.0,54.0,46.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,MiniRocket,99.44,99.44,1,1,,9996.0,0.5815,24.1172,False,0,0.9783,1.0,0.989,1.0,1.0,1.0,1.0,0.9778,0.9888,1.0,1.0,1.0,0.9946,0.9944,0.9944,0.9946,0.9944,0.9944,225.0,0.0,0.0,0.0,225.0,0.0,5.0,0.0,220.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,LSTM,29.22,30.89,38,40,1.3797,50500.0,0.385284423828125,85.0911,True,0,0.2977,0.5067,0.375,0.3012,0.1111,0.1623,0.2727,0.0533,0.0892,0.2872,0.4978,0.3642,0.2897,0.2922,0.2477,0.2897,0.2922,0.2477,114.0,21.0,11.0,86.0,25.0,10.0,104.0,14.0,12.0,79.0,23.0,11.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,Mamba,55.78,55.78,74,74,1.3061,17044.0,0.130035400390625,255.6912,True,0,0.6794,0.8667,0.7617,0.4239,0.3467,0.3814,0.5792,0.52,0.548,0.4934,0.4978,0.4956,0.544,0.5578,0.5467,0.544,0.5578,0.5467,195.0,6.0,19.0,18.0,78.0,40.0,59.0,28.0,117.0,15.0,72.0,26.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,Transformer,74.33,78.11,89,101,0.5037,288324.0,2.199737548828125,139.9193,False,0,0.9139,0.9911,0.951,0.55,0.44,0.4889,0.8511,0.8889,0.8696,0.61,0.6533,0.6309,0.7312,0.7433,0.7351,0.7312,0.7433,0.7351,223.0,1.0,1.0,2.0,99.0,32.0,13.0,10.0,200.0,6.0,70.0,2.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,1D-CNN (InceptionTime),88.67,88.67,37,37,0.3428,473092.0,3.609405517578125,271.6126,True,0,0.8664,0.8933,0.8796,0.8879,0.9156,0.9015,0.8664,0.8933,0.8796,0.9314,0.8444,0.8858,0.888,0.8867,0.8867,0.888,0.8867,0.8867,201.0,1.0,22.0,3.0,206.0,5.0,18.0,4.0,201.0,10.0,21.0,4.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,Decision Trees (LightGBM),40.56,40.56,1,1,1.2906,,0.41176414489746094,0.8413,False,0,0.445,0.8267,0.5785,0.3481,0.2089,0.2611,0.3103,0.28,0.2944,0.4792,0.3067,0.374,0.3957,0.4056,0.377,0.3957,0.4056,0.377,186.0,11.0,28.0,65.0,47.0,58.0,119.0,23.0,63.0,48.0,54.0,54.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,MiniRocket,99.22,99.22,1,1,,9996.0,0.5813,22.4095,False,0,0.9698,1.0,0.9847,1.0,1.0,1.0,1.0,0.9689,0.9842,1.0,1.0,1.0,0.9925,0.9922,0.9922,0.9925,0.9922,0.9922,225.0,0.0,0.0,0.0,225.0,0.0,7.0,0.0,218.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,LSTM,78.67,82.78,100,101,0.5444,50500.0,0.385284423828125,220.4232,False,0,0.8202,0.9733,0.8902,0.7446,0.6089,0.6699,0.8905,0.8311,0.8598,0.6904,0.7333,0.7112,0.7864,0.7867,0.7828,0.7864,0.7867,0.7828,219.0,0.0,3.0,6.0,137.0,17.0,30.0,2.0,187.0,12.0,45.0,3.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,Mamba,53.11,56.78,88,91,1.1702,17044.0,0.130035400390625,306.1053,True,0,0.6773,0.8489,0.7535,0.3533,0.2622,0.301,0.5124,0.4578,0.4836,0.5,0.5556,0.5263,0.5108,0.5311,0.5161,0.5108,0.5311,0.5161,191.0,3.0,27.0,14.0,59.0,54.0,67.0,32.0,103.0,10.0,73.0,17.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,Transformer,72.44,75.11,95,101,0.5896,288324.0,2.199737548828125,142.5505,False,0,0.9449,0.9911,0.9675,0.5234,0.2489,0.3373,0.7519,0.8622,0.8033,0.5987,0.7956,0.6832,0.7047,0.7244,0.6978,0.7047,0.7244,0.6978,223.0,0.0,2.0,1.0,56.0,55.0,11.0,13.0,194.0,1.0,38.0,7.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,1D-CNN (InceptionTime),90.56,90.56,46,50,0.3241,473092.0,3.609405517578125,369.8231,True,0,0.8785,0.9644,0.9195,0.9366,0.8533,0.893,0.9751,0.8711,0.9202,0.8502,0.9333,0.8898,0.9101,0.9056,0.9056,0.9101,0.9056,0.9056,217.0,0.0,5.0,4.0,192.0,0.0,20.0,4.0,196.0,6.0,9.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,Decision Trees (LightGBM),98.67,98.67,1,1,0.1929,,0.4147777557373047,1.2015,False,0,0.9698,1.0,0.9847,1.0,0.9778,0.9888,1.0,0.9689,0.9842,0.9783,1.0,0.989,0.987,0.9867,0.9867,0.987,0.9867,0.9867,225.0,0.0,0.0,0.0,220.0,0.0,7.0,0.0,218.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,MiniRocket,99.33,99.33,1,1,,9996.0,0.5815,22.4216,False,0,0.9783,1.0,0.989,0.9956,1.0,0.9978,1.0,0.9733,0.9865,1.0,1.0,1.0,0.9935,0.9933,0.9933,0.9935,0.9933,0.9933,225.0,0.0,0.0,0.0,225.0,0.0,5.0,1.0,219.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,LSTM,99.11,99.78,23,42,0.0547,94780.0,0.723114013671875,119.0616,True,0,0.9825,1.0,0.9912,0.9912,1.0,0.9956,1.0,0.9644,0.9819,0.9912,1.0,0.9956,0.9912,0.9911,0.9911,0.9912,0.9911,0.9911,225.0,0.0,0.0,0.0,225.0,0.0,4.0,2.0,217.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,Mamba,98.44,99.33,22,33,0.0819,25018.0,0.1908721923828125,120.1245,True,0,0.9782,0.9956,0.9868,0.9824,0.9911,0.9867,0.9864,0.9644,0.9753,0.9911,0.9867,0.9889,0.9845,0.9844,0.9844,0.9845,0.9844,0.9844,224.0,0.0,1.0,0.0,223.0,1.0,3.0,4.0,217.0,2.0,0.0,1.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,Transformer,99.44,99.78,6,27,0.0327,405132.0,3.090911865234375,37.35,True,0,0.9783,1.0,0.989,1.0,1.0,1.0,1.0,0.9778,0.9888,1.0,1.0,1.0,0.9946,0.9944,0.9944,0.9946,0.9944,0.9944,225.0,0.0,0.0,0.0,225.0,0.0,5.0,0.0,220.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,1D-CNN (InceptionTime),99.11,99.56,3,22,0.0393,473668.0,3.613800048828125,159.0665,True,0,0.9783,1.0,0.989,0.9868,1.0,0.9934,1.0,0.9644,0.9819,1.0,1.0,1.0,0.9913,0.9911,0.9911,0.9913,0.9911,0.9911,225.0,0.0,0.0,0.0,225.0,0.0,5.0,3.0,217.0,0.0,0.0,0.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,Decision Trees (LightGBM),24.89,24.89,1,1,1.3869,,0.4174528121948242,0.6043,False,0,0.2481,0.2844,0.265,0.2468,0.2578,0.2522,0.2512,0.2311,0.2407,0.25,0.2222,0.2353,0.249,0.2489,0.2483,0.249,0.2489,0.2483,64.0,58.0,53.0,65.0,58.0,52.0,64.0,59.0,52.0,65.0,60.0,50.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,MiniRocket,27.78,27.78,1,1,,9996.0,0.581,25.036,False,0,0.271,0.2578,0.2642,0.2512,0.2356,0.2431,0.2891,0.1644,0.2096,0.2939,0.4533,0.3566,0.2763,0.2778,0.2684,0.2763,0.2778,0.2684,58.0,52.0,35.0,56.0,53.0,31.0,56.0,52.0,37.0,44.0,54.0,25.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,LSTM,25.0,25.0,1,25,1.3863,28660.0,0.218658447265625,44.4045,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,Mamba,25.0,25.0,1,13,1.3863,12208.0,0.0931396484375,48.732,True,0,0.25,0.2889,0.268,0.25,0.2133,0.2302,0.25,0.3556,0.2936,0.25,0.1422,0.1813,0.25,0.25,0.2433,0.25,0.25,0.2433,65.0,48.0,80.0,65.0,48.0,80.0,65.0,48.0,80.0,65.0,48.0,80.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,Transformer,25.0,25.0,1,30,1.3864,213092.0,1.625762939453125,41.044,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,1D-CNN (InceptionTime),25.0,25.0,1,34,1.3863,472708.0,3.606475830078125,248.708,True,0,0.25,0.2,0.2222,0.25,0.6933,0.3675,0.25,0.1067,0.1495,0.0,0.0,0.0,0.1875,0.25,0.1848,0.1875,0.25,0.1848,45.0,156.0,24.0,45.0,156.0,24.0,45.0,156.0,24.0,45.0,156.0,24.0
