Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.3419,0.25,0.2888,160
Decision Trees,chemical,0.2963,0.45,0.3573,160
Decision Trees,electric,0.3146,0.175,0.2249,160
Decision Trees,impulsive,0.2565,0.3063,0.2792,160
Decision Trees,macro_avg,0.3023,0.2953,0.2876,640
Decision Trees,weighted_avg,0.3023,0.2953,0.2876,640
Decision Trees,t_no_thrust,40.0,50.0,30.0,40
Decision Trees,t_chemical,14.0,72.0,12.0,62
Decision Trees,t_electric,42.0,50.0,28.0,40
Decision Trees,t_impulsive,21.0,71.0,19.0,49
Nearest Neighbor,no_thrust,0.2687,0.45,0.3364,160
Nearest Neighbor,chemical,0.2718,0.35,0.306,160
Nearest Neighbor,electric,0.28,0.0875,0.1333,160
Nearest Neighbor,impulsive,0.2586,0.1875,0.2174,160
Nearest Neighbor,macro_avg,0.2698,0.2688,0.2483,640
Nearest Neighbor,weighted_avg,0.2698,0.2687,0.2483,640
Nearest Neighbor,t_no_thrust,72.0,46.0,15.0,27
Nearest Neighbor,t_chemical,60.0,56.0,12.0,32
Nearest Neighbor,t_electric,72.0,47.0,14.0,27
Nearest Neighbor,t_impulsive,64.0,57.0,9.0,30
LSTM,no_thrust,0.25,0.6,0.3529,160
LSTM,chemical,0.25,0.2,0.2222,160
LSTM,electric,0.25,0.2,0.2222,160
LSTM,impulsive,0.0,0.0,0.0,160
LSTM,macro_avg,0.1875,0.25,0.1993,640
LSTM,weighted_avg,0.1875,0.25,0.1993,640
LSTM,t_no_thrust,96.0,32.0,32.0,0
LSTM,t_chemical,96.0,32.0,32.0,0
LSTM,t_electric,96.0,32.0,32.0,0
LSTM,t_impulsive,96.0,32.0,32.0,0
Mamba,no_thrust,0.2456,0.35,0.2887,160
Mamba,chemical,0.2471,0.2625,0.2545,160
Mamba,electric,0.2558,0.1375,0.1789,160
Mamba,impulsive,0.2436,0.2375,0.2405,160
Mamba,macro_avg,0.248,0.2469,0.2406,640
Mamba,weighted_avg,0.248,0.2469,0.2406,640
Mamba,t_no_thrust,56.0,42.0,22.0,40
Mamba,t_chemical,59.0,42.0,21.0,38
Mamba,t_electric,56.0,42.0,22.0,40
Mamba,t_impulsive,57.0,44.0,21.0,38
Transformer,no_thrust,0.2632,0.125,0.1695,160
Transformer,chemical,0.2593,0.1313,0.1743,160
Transformer,electric,0.2455,0.1688,0.2,160
Transformer,impulsive,0.2493,0.5813,0.349,160
Transformer,macro_avg,0.2543,0.2516,0.2232,640
Transformer,weighted_avg,0.2543,0.2516,0.2232,640
Transformer,t_no_thrust,20.0,20.0,27.0,93
Transformer,t_chemical,17.0,21.0,28.0,94
Transformer,t_electric,20.0,20.0,27.0,93
Transformer,t_impulsive,19.0,20.0,28.0,93
MLP,0,0.2424,0.2,0.2192,160
MLP,1,0.2716,0.275,0.2733,160
MLP,2,0.2714,0.3375,0.3008,160
MLP,3,0.2449,0.225,0.2345,160
MLP,macro_avg,0.2576,0.2594,0.257,640
MLP,weighted_avg,0.2576,0.2594,0.257,640
MLP,t_no_thrust,32.0,37.0,54.0,37
MLP,t_chemical,34.0,44.0,45.0,37
MLP,t_electric,32.0,37.0,54.0,37
MLP,t_impulsive,34.0,44.0,46.0,36
