Model,Epoch,Validation Loss,Validation Accuracy
LSTM,1,1.3819,35.0
LSTM,2,1.3779,40.31
LSTM,3,1.3686,37.19
LSTM,4,1.2818,33.59
LSTM,5,1.2818,36.09
LSTM,6,1.2596,36.41
LSTM,7,1.2691,35.94
LSTM,8,1.254,36.41
LSTM,9,1.2655,37.5
LSTM,10,1.2366,37.66
LSTM,11,1.2242,37.34
LSTM,12,1.2298,42.81
LSTM,13,1.2323,38.28
LSTM,14,1.2317,37.19
LSTM,15,1.2255,39.53
LSTM,16,1.2387,40.0
LSTM,17,1.2279,40.16
LSTM,18,1.2242,39.53
LSTM,19,1.227,38.28
LSTM,20,1.2262,39.84
LSTM,21,1.2286,42.19
Mamba,1,1.3835,30.47
Mamba,2,1.3747,33.28
Mamba,3,1.3497,34.38
Mamba,4,1.3178,34.69
Mamba,5,1.3145,34.22
Mamba,6,1.3058,34.38
Mamba,7,1.305,34.22
Mamba,8,1.3054,33.75
Mamba,9,1.2932,34.38
Mamba,10,1.292,35.16
Mamba,11,1.2737,36.09
Mamba,12,1.2516,38.28
Mamba,13,1.208,43.44
Mamba,14,1.1534,42.81
Mamba,15,1.0937,48.75
Mamba,16,1.0456,49.69
Mamba,17,1.0029,49.38
Mamba,18,1.012,48.75
Mamba,19,0.9703,50.31
Mamba,20,0.9772,50.31
Mamba,21,0.9471,53.91
Mamba,22,0.9572,52.34
Mamba,23,0.9128,55.78
Mamba,24,0.9135,51.88
Mamba,25,0.8968,55.16
Mamba,26,0.9125,54.69
Mamba,27,0.8871,54.84
Mamba,28,0.8742,56.25
Mamba,29,0.8753,55.62
Mamba,30,0.8825,53.28
Mamba,31,0.8453,58.75
Mamba,32,0.8648,55.62
Mamba,33,0.8598,56.88
Mamba,34,0.8293,56.88
Mamba,35,0.8373,56.88
Mamba,36,0.8151,57.81
Mamba,37,0.8229,57.81
Mamba,38,0.7991,59.38
Mamba,39,0.8164,57.81
Mamba,40,0.79,60.94
Mamba,41,0.7984,57.97
Mamba,42,0.7888,58.59
Mamba,43,0.7572,60.78
Mamba,44,0.7691,60.16
Mamba,45,0.7431,62.19
Mamba,46,0.7394,62.19
Mamba,47,0.7378,60.78
Mamba,48,0.7354,62.03
Mamba,49,0.7263,62.97
Mamba,50,0.7247,61.25
Mamba,51,0.7267,63.91
Mamba,52,0.6962,64.69
Mamba,53,0.7102,63.91
Mamba,54,0.72,61.41
Mamba,55,0.6758,63.75
Mamba,56,0.6757,64.06
Mamba,57,0.6768,64.22
Mamba,58,0.6617,64.84
Mamba,59,0.6785,63.91
Mamba,60,0.6612,65.94
Mamba,61,0.6623,64.69
Mamba,62,0.629,66.72
Mamba,63,0.6259,65.47
Mamba,64,0.618,65.62
Mamba,65,0.64,66.25
Mamba,66,0.6162,67.34
Mamba,67,0.6199,64.06
Mamba,68,0.5849,67.5
Mamba,69,0.6006,66.72
Mamba,70,0.5893,65.78
Mamba,71,0.6471,64.53
