Model,label,precision,recall,f1,support
Decision Trees,no_thrust,0.4575,0.4375,0.4473,160
Decision Trees,chemical,0.6345,0.7812,0.7003,160
Decision Trees,electric,0.4524,0.3563,0.3986,160
Decision Trees,impulsive,0.9634,0.9875,0.9753,160
Decision Trees,macro_avg,0.627,0.6406,0.6304,640
Decision Trees,weighted_avg,0.627,0.6406,0.6304,640
Decision Trees,t_no_thrust,70.0,36.0,54.0,0
Decision Trees,t_chemical,14.0,125.0,15.0,6
Decision Trees,t_electric,69.0,34.0,57.0,0
Decision Trees,t_impulsive,0.0,2.0,0.0,158
Nearest Neighbor,no_thrust,0.3429,0.225,0.2717,160
Nearest Neighbor,chemical,0.3073,0.4188,0.3545,160
Nearest Neighbor,electric,0.3308,0.275,0.3003,160
Nearest Neighbor,impulsive,0.6467,0.7438,0.6919,160
Nearest Neighbor,macro_avg,0.4069,0.4156,0.4046,640
Nearest Neighbor,weighted_avg,0.4069,0.4156,0.4046,640
Nearest Neighbor,t_no_thrust,36.0,65.0,43.0,16
Nearest Neighbor,t_chemical,25.0,67.0,34.0,34
Nearest Neighbor,t_electric,39.0,62.0,44.0,15
Nearest Neighbor,t_impulsive,5.0,24.0,12.0,119
LSTM,no_thrust,0.3772,0.7875,0.5101,160
LSTM,chemical,0.4842,0.2875,0.3608,160
LSTM,electric,0.0,0.0,0.0,160
LSTM,impulsive,0.744,0.9625,0.8392,160
LSTM,macro_avg,0.4014,0.5094,0.4275,640
LSTM,weighted_avg,0.4014,0.5094,0.4275,640
LSTM,t_no_thrust,126.0,22.0,0.0,12
LSTM,t_chemical,77.0,46.0,4.0,33
LSTM,t_electric,129.0,23.0,0.0,8
LSTM,t_impulsive,2.0,4.0,0.0,154
Mamba,no_thrust,0.3605,0.1938,0.252,160
Mamba,chemical,0.5195,0.5,0.5096,160
Mamba,electric,0.3712,0.5312,0.437,160
Mamba,impulsive,0.9006,0.9625,0.9305,160
Mamba,macro_avg,0.5379,0.5469,0.5323,640
Mamba,weighted_avg,0.5379,0.5469,0.5323,640
Mamba,t_no_thrust,31.0,32.0,94.0,3
Mamba,t_chemical,21.0,80.0,49.0,10
Mamba,t_electric,32.0,39.0,85.0,4
Mamba,t_impulsive,2.0,3.0,1.0,154
Transformer,no_thrust,0.368,0.775,0.499,160
Transformer,chemical,0.4382,0.2437,0.3133,160
Transformer,electric,0.4,0.025,0.0471,160
Transformer,impulsive,0.7304,0.9313,0.8187,160
Transformer,macro_avg,0.4841,0.4938,0.4195,640
Transformer,weighted_avg,0.4841,0.4938,0.4195,640
Transformer,t_no_thrust,124.0,20.0,1.0,15
Transformer,t_chemical,89.0,39.0,5.0,27
Transformer,t_electric,122.0,21.0,4.0,13
Transformer,t_impulsive,2.0,9.0,0.0,149
MLP,0,0.3164,0.35,0.3323,160
MLP,1,0.2899,0.3063,0.2979,160
MLP,2,0.3333,0.2375,0.2774,160
MLP,3,0.6778,0.7625,0.7176,160
MLP,macro_avg,0.4044,0.4141,0.4063,640
MLP,weighted_avg,0.4044,0.4141,0.4063,640
MLP,t_no_thrust,56.0,49.0,40.0,15
MLP,t_chemical,53.0,49.0,31.0,27
MLP,t_electric,59.0,47.0,38.0,16
MLP,t_impulsive,9.0,24.0,5.0,122
