log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
100min800OE_Norm_Noise_Train_640,vleo/100min-800/100min800OE_Norm_Noise_Train_640.log,Decision Trees,74.53,74.53,1,1,0.5348,0,0.38029003143310547,1.0241,False,0,0.5205,0.5563,0.5378,0.9636,0.9938,0.9785,0.5208,0.4688,0.4934,0.9625,0.9625,0.9625,0.7419,0.7453,0.743,0.7419,0.7453,0.743,89.0,0.0,69.0,0.0,159.0,0.0,82.0,0.0,75.0,0.0,6.0,0.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,vleo/100min-800/100min800OE_Norm_Noise_Train_640.log,Nearest Neighbor,46.41,46.41,1,1,,0,6.0615,0.0616,False,0,0.3603,0.3063,0.3311,0.5665,0.7188,0.6336,0.3459,0.2875,0.314,0.5179,0.5437,0.5305,0.4476,0.4641,0.4523,0.4476,0.4641,0.4523,49.0,28.0,51.0,11.0,115.0,15.0,52.0,32.0,46.0,24.0,28.0,21.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,vleo/100min-800/100min800OE_Norm_Noise_Train_640.log,LSTM,42.19,42.81,12,22,1.2286,18004,0.137359619140625,14.3553,True,0,0.3121,0.6438,0.4204,0.4203,0.3625,0.3893,0.4253,0.2313,0.2996,0.8471,0.45,0.5878,0.5012,0.4219,0.4243,0.5012,0.4219,0.4243,103.0,25.0,29.0,77.0,58.0,21.0,90.0,27.0,37.0,60.0,28.0,0.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,vleo/100min-800/100min800OE_Norm_Noise_Train_640.log,Mamba,70.31,70.78,85,101,0.5052,6106,0.0465850830078125,49.161,False,0,0.4946,0.5687,0.5291,0.8882,0.9437,0.9152,0.5,0.4,0.4444,0.9114,0.9,0.9057,0.6985,0.7031,0.6986,0.6985,0.7031,0.6986,91.0,3.0,63.0,1.0,151.0,0.0,87.0,6.0,64.0,5.0,10.0,1.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,vleo/100min-800/100min800OE_Norm_Noise_Train_640.log,Transformer,67.19,68.91,38,49,0.6442,41940,0.319976806640625,39.1785,True,0,0.4652,0.5437,0.5014,0.9506,0.9625,0.9565,0.4706,0.35,0.4014,0.7733,0.8313,0.8012,0.6649,0.6719,0.6652,0.6649,0.6719,0.6652,87.0,2.0,55.0,0.0,154.0,0.0,87.0,0.0,56.0,13.0,6.0,8.0,,,,,,,,,,,,
100min800OE_Norm_Noise_Train_640,vleo/100min-800/100min800OE_Norm_Noise_Train_640.log,MLP,60.16,60.94,30,101,0.1829,708,0.005401611328125,6.8203,False,0,,,,,,,,,,,,,0.6024,0.6016,0.5999,0.6024,0.6016,0.5999,63.0,2.0,81.0,0.0,147.0,2.0,68.0,2.0,76.0,14.0,24.0,23.0,0.4345,0.3937,0.4131,0.84,0.9187,0.8776,0.4176,0.475,0.4444,0.7174,0.6188,0.6644
100min800Norm_Noise_Train_640,vleo/100min-800/100min800Norm_Noise_Train_640.log,Decision Trees,29.53,29.53,1,1,1.3569,0,0.3989686965942383,1.3511,False,0,0.3419,0.25,0.2888,0.2963,0.45,0.3573,0.3146,0.175,0.2249,0.2565,0.3063,0.2792,0.3023,0.2953,0.2876,0.3023,0.2953,0.2876,40.0,50.0,30.0,14.0,72.0,12.0,42.0,50.0,28.0,21.0,71.0,19.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,vleo/100min-800/100min800Norm_Noise_Train_640.log,Nearest Neighbor,26.88,26.88,1,1,,0,6.0615,0.0616,False,0,0.2687,0.45,0.3364,0.2718,0.35,0.306,0.28,0.0875,0.1333,0.2586,0.1875,0.2174,0.2698,0.2688,0.2483,0.2698,0.2687,0.2483,72.0,46.0,15.0,60.0,56.0,12.0,72.0,47.0,14.0,64.0,57.0,9.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,vleo/100min-800/100min800Norm_Noise_Train_640.log,LSTM,25.0,27.5,15,19,1.3863,18004,0.137359619140625,11.6009,True,0,0.25,0.6,0.3529,0.25,0.2,0.2222,0.25,0.2,0.2222,0.0,0.0,0.0,0.1875,0.25,0.1993,0.1875,0.25,0.1993,96.0,32.0,32.0,96.0,32.0,32.0,96.0,32.0,32.0,96.0,32.0,32.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,vleo/100min-800/100min800Norm_Noise_Train_640.log,Mamba,24.69,25.62,4,43,1.3864,6106,0.0465850830078125,20.1646,True,0,0.2456,0.35,0.2887,0.2471,0.2625,0.2545,0.2558,0.1375,0.1789,0.2436,0.2375,0.2405,0.248,0.2469,0.2406,0.248,0.2469,0.2406,56.0,42.0,22.0,59.0,42.0,21.0,56.0,42.0,22.0,57.0,44.0,21.0,,,,,,,,,,,,
