log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
100min800Norm_Noise_Train_640,vleo\100min-800\100min800Norm_Noise_Train_640.log,Decision Trees,31.41,31.41,1,1,1.3558,0,0.40458202362060547,0.5876,False,0,0.3386,0.2687,0.2997,0.3258,0.5437,0.4075,0.3294,0.175,0.2286,0.2671,0.2687,0.2679,0.3152,0.3141,0.3009,0.3152,0.3141,0.3009,43.0,54.0,28.0,14.0,87.0,12.0,43.0,53.0,28.0,27.0,73.0,17.0
100min800Norm_Noise_Train_640,vleo\100min-800\100min800Norm_Noise_Train_640.log,LSTM,23.28,27.5,17,23,1.3864,18004,0.137359619140625,20.2703,True,0,0.0,0.0,0.0,0.2279,0.5312,0.3189,0.25,0.4,0.3077,0.0,0.0,0.0,0.1195,0.2328,0.1567,0.1195,0.2328,0.1567,0.0,96.0,64.0,11.0,85.0,64.0,0.0,96.0,64.0,0.0,96.0,64.0
100min800Norm_Noise_Train_640,vleo\100min-800\100min800Norm_Noise_Train_640.log,Mamba,25.62,25.94,11,101,1.3862,6106,0.0465850830078125,74.1984,False,0,0.2519,0.2125,0.2305,0.2575,0.375,0.3053,0.2626,0.2938,0.2773,0.2473,0.1437,0.1818,0.2548,0.2563,0.2487,0.2548,0.2562,0.2487,34.0,57.0,47.0,33.0,60.0,41.0,34.0,57.0,47.0,34.0,59.0,44.0
100min800OE_Norm_Noise_Train_640,vleo\100min-800\100min800OE_Norm_Noise_Train_640.log,Decision Trees,74.06,74.06,1,1,0.5357,0,0.37932872772216797,0.4631,False,0,0.5105,0.6062,0.5543,0.9524,1.0,0.9756,0.5078,0.4062,0.4514,0.987,0.95,0.9682,0.7394,0.7406,0.7374,0.7394,0.7406,0.7374,97.0,0.0,63.0,0.0,160.0,0.0,93.0,0.0,65.0,0.0,8.0,0.0
100min800OE_Norm_Noise_Train_640,vleo\100min-800\100min800OE_Norm_Noise_Train_640.log,LSTM,34.84,43.91,3,23,1.278,18004,0.137359619140625,19.5333,True,0,0.0,0.0,0.0,0.4595,0.1062,0.1726,0.2865,0.9812,0.4435,0.8909,0.3063,0.4558,0.4092,0.3484,0.268,0.4092,0.3484,0.268,0.0,2.0,157.0,0.0,17.0,139.0,0.0,2.0,157.0,0.0,16.0,95.0
100min800OE_Norm_Noise_Train_640,vleo\100min-800\100min800OE_Norm_Noise_Train_640.log,Mamba,70.16,71.25,97,101,0.5645,6106,0.0465850830078125,74.2882,True,0,0.5,0.3688,0.4245,0.9193,0.925,0.9221,0.4922,0.5938,0.5382,0.875,0.9187,0.8963,0.6966,0.7016,0.6953,0.6966,0.7016,0.6953,59.0,3.0,93.0,0.0,148.0,2.0,55.0,4.0,95.0,4.0,6.0,3.0
10min800Norm_Noise_Train_640,vleo\10min-800\10min800Norm_Noise_Train_640.log,Decision Trees,25.78,25.78,1,1,1.3895,0,0.34260082244873047,0.2095,False,0,0.2605,0.1938,0.2222,0.25,0.1313,0.1721,0.2543,0.275,0.2643,0.2614,0.4313,0.3255,0.2566,0.2578,0.246,0.2566,0.2578,0.246,31.0,20.0,44.0,31.0,21.0,43.0,31.0,20.0,44.0,26.0,23.0,42.0
10min800Norm_Noise_Train_640,vleo\10min-800\10min800Norm_Noise_Train_640.log,LSTM,25.0,26.56,12,21,1.3863,18004,0.137359619140625,7.7129,True,0,0.2427,0.3125,0.2732,0.2562,0.3875,0.3085,0.25,0.2,0.2222,0.25,0.1,0.1429,0.2497,0.25,0.2367,0.2497,0.25,0.2367,50.0,62.0,32.0,50.0,62.0,32.0,50.0,62.0,32.0,56.0,56.0,32.0
10min800Norm_Noise_Train_640,vleo\10min-800\10min800Norm_Noise_Train_640.log,Mamba,25.0,25.16,41,101,1.3864,6106,0.0465850830078125,54.422,False,0,0.24,0.0375,0.0649,0.25,0.2812,0.2647,0.251,0.4062,0.3103,0.25,0.275,0.2619,0.2477,0.25,0.2254,0.2477,0.25,0.2254,6.0,45.0,65.0,6.0,45.0,65.0,6.0,45.0,65.0,7.0,45.0,64.0
10min800OE_Norm_Noise_Train_640,vleo\10min-800\10min800OE_Norm_Noise_Train_640.log,Decision Trees,62.34,62.34,1,1,0.8259,0,0.33515167236328125,0.1904,False,0,0.4348,0.4375,0.4361,0.6061,0.75,0.6704,0.4132,0.3125,0.3559,0.9938,0.9938,0.9938,0.612,0.6234,0.614,0.612,0.6234,0.614,70.0,38.0,52.0,20.0,120.0,19.0,71.0,39.0,50.0,0.0,1.0,0.0
10min800OE_Norm_Noise_Train_640,vleo\10min-800\10min800OE_Norm_Noise_Train_640.log,LSTM,52.66,55.0,11,36,0.9268,18004,0.137359619140625,14.686,True,0,0.0,0.0,0.0,0.4865,0.45,0.4675,0.3794,0.6687,0.4842,0.7524,0.9875,0.8541,0.4046,0.5266,0.4514,0.4046,0.5266,0.4514,0.0,31.0,117.0,0.0,72.0,58.0,0.0,43.0,107.0,0.0,2.0,0.0
10min800OE_Norm_Noise_Train_640,vleo\10min-800\10min800OE_Norm_Noise_Train_640.log,Mamba,54.69,54.84,93,99,1.0056,6106,0.0465850830078125,52.0535,True,0,0.4088,0.35,0.3771,0.466,0.5563,0.5071,0.3655,0.3312,0.3475,0.9102,0.95,0.9297,0.5376,0.5469,0.5404,0.5376,0.5469,0.5404,56.0,44.0,58.0,29.0,89.0,31.0,50.0,55.0,53.0,2.0,3.0,3.0
30min800Norm_Noise_Train_640,vleo\30min-800\30min800Norm_Noise_Train_640.log,Decision Trees,25.47,25.47,1,1,1.3954,0,0.3557147979736328,0.271,False,0,0.2727,0.2062,0.2349,0.2405,0.1187,0.159,0.252,0.2,0.223,0.2524,0.4938,0.334,0.2544,0.2547,0.2377,0.2544,0.2547,0.2377,33.0,18.0,32.0,30.0,19.0,31.0,33.0,18.0,32.0,25.0,24.0,32.0
30min800Norm_Noise_Train_640,vleo\30min-800\30min800Norm_Noise_Train_640.log,LSTM,25.0,25.0,1,22,1.3863,18004,0.137359619140625,10.2799,True,0,0.0,0.0,0.0,0.25,0.2,0.2222,0.25,0.5,0.3333,0.25,0.3,0.2727,0.1875,0.25,0.2071,0.1875,0.25,0.2071,0.0,32.0,80.0,0.0,32.0,80.0,0.0,32.0,80.0,0.0,32.0,80.0
30min800Norm_Noise_Train_640,vleo\30min-800\30min800Norm_Noise_Train_640.log,Mamba,24.84,25.31,19,101,1.3864,6106,0.0465850830078125,52.9181,False,0,0.25,0.1562,0.1923,0.25,0.1812,0.2101,0.2484,0.2375,0.2428,0.2472,0.4188,0.3109,0.2489,0.2484,0.239,0.2489,0.2484,0.239,25.0,29.0,38.0,25.0,29.0,38.0,25.0,29.0,38.0,25.0,29.0,39.0
30min800OE_Norm_Noise_Train_640,vleo\30min-800\30min800OE_Norm_Noise_Train_640.log,Decision Trees,70.0,70.0,1,1,0.6333,0,0.34674835205078125,0.2419,False,0,0.4688,0.375,0.4167,0.858,0.9437,0.8988,0.4509,0.4875,0.4685,0.9755,0.9938,0.9845,0.6883,0.7,0.6921,0.6883,0.7,0.6921,60.0,11.0,89.0,0.0,151.0,5.0,68.0,14.0,78.0,0.0,0.0,1.0
30min800OE_Norm_Noise_Train_640,vleo\30min-800\30min800OE_Norm_Noise_Train_640.log,LSTM,52.19,54.53,15,23,1.0217,18004,0.137359619140625,11.0331,True,0,0.4655,0.5062,0.485,0.4722,0.6375,0.5426,0.4756,0.2437,0.3223,0.6667,0.7,0.6829,0.52,0.5219,0.5082,0.52,0.5219,0.5082,81.0,31.0,40.0,14.0,102.0,3.0,79.0,35.0,39.0,0.0,48.0,0.0
30min800OE_Norm_Noise_Train_640,vleo\30min-800\30min800OE_Norm_Noise_Train_640.log,Mamba,45.62,45.62,32,35,1.1738,6106,0.0465850830078125,17.2053,True,0,0.4554,0.575,0.5083,0.4202,0.4938,0.454,0.2931,0.1062,0.156,0.5417,0.65,0.5909,0.4276,0.4563,0.4273,0.4276,0.4562,0.4273,92.0,30.0,20.0,20.0,79.0,15.0,87.0,32.0,17.0,3.0,47.0,6.0
