feat,Model,Cascade,Joint,Tie,mean_delta
ECI,LightGBM,45,0,0,0.002382222222222169
ECI,MiniRocket,23,5,17,0.0033777777777777643
ECI,CNN,23,22,0,0.008171111111111115
ECI,LSTM,29,16,0,0.0061644444444444325
ECI,MAMBA,31,14,0,0.009204444444444423
ECI,TRANSFORMER,33,12,0,0.01814888888888886
OE + Energy,LightGBM,15,30,0,-0.059746666666666656
OE + Energy,MiniRocket,29,14,2,0.0005088888888888693
OE + Energy,CNN,18,17,10,0.00011555555555555368
OE + Energy,LSTM,26,18,1,-0.058157777777777794
OE + Energy,MAMBA,23,20,2,0.01045333333333335
OE + Energy,TRANSFORMER,14,24,7,-0.07994
OE + Acceleration Residual,LightGBM,15,30,0,-0.040191111111111094
OE + Acceleration Residual,MiniRocket,27,17,1,-0.001993333333333334
OE + Acceleration Residual,CNN,21,14,10,-0.0015533333333333443
OE + Acceleration Residual,LSTM,16,13,16,-0.004466666666666673
OE + Acceleration Residual,MAMBA,28,12,5,0.00531777777777776
OE + Acceleration Residual,TRANSFORMER,13,17,15,-0.006553333333333333
