Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.389,0.0699,0.2063,0.0988,1.3819
LSTM,Joint,2,1.3875,0.0981,0.2323,0.0611,1.3836
LSTM,Joint,3,1.3864,0.087,0.3319,0.1374,1.3933
LSTM,Joint,4,1.3862,0.0207,0.0848,0.0319,1.3792
LSTM,Joint,5,1.3848,0.0712,0.275,0.1114,1.3816
LSTM,Joint,6,1.3834,0.0896,0.3119,0.1384,1.383
LSTM,Joint,7,1.3804,0.0907,0.3084,0.138,1.3841
LSTM,Joint,8,1.3764,0.0725,0.3182,0.118,1.382
LSTM,Joint,9,1.3763,0.0741,0.3231,0.0448,1.3794
LSTM,Joint,10,1.3732,0.0826,0.3064,0.0508,1.375
LSTM,Joint,11,1.3698,0.0759,0.2871,0.12,1.3616
LSTM,Joint,12,1.3647,0.0822,0.3224,0.0711,1.3839
LSTM,Joint,13,1.3612,0.022,0.29,0.0409,1.3658
LSTM,Joint,14,1.3603,0.0944,0.3486,0.0953,1.3787
LSTM,Joint,15,1.361,0.0963,0.2891,0.1436,1.3692
LSTM,Joint,16,1.3592,0.0859,0.2843,0.0528,1.3621
LSTM,Joint,17,1.358,0.0791,0.3023,0.0457,1.3779
LSTM,Joint,18,1.3564,0.09,0.2796,0.0841,1.361
LSTM,Joint,19,1.3558,0.0952,0.265,0.0856,1.3589
LSTM,Joint,20,1.3559,0.092,0.2755,0.0648,1.3594
LSTM,Joint,21,1.3562,0.0991,0.2671,0.1312,1.3566
LSTM,Joint,22,1.3556,0.1002,0.2479,0.1134,1.3515
LSTM,Joint,23,1.3546,0.0826,0.2931,0.0421,1.3687
LSTM,Joint,24,1.355,0.0961,0.2706,0.1029,1.3586
LSTM,Joint,25,1.3542,0.0905,0.2734,0.0648,1.3596
LSTM,Joint,26,1.3543,0.0978,0.2608,0.0655,1.3534
LSTM,Joint,27,1.3532,0.0904,0.2769,0.0466,1.3567
LSTM,Joint,28,1.3525,0.1005,0.2423,0.1254,1.3584
LSTM,Joint,29,1.352,0.0972,0.2795,0.1199,1.3632
LSTM,Joint,30,1.3521,0.0952,0.2754,0.0822,1.3601
LSTM,Joint,31,1.3513,0.0992,0.2654,0.1223,1.3588
LSTM,Joint,32,1.3506,0.0952,0.2765,0.0841,1.3613
LSTM,Stage1,1,0.694,0.2624,0.9068,0.407,0.6954
LSTM,Stage1,2,0.6929,0.0,0.0,0.0,0.6819
LSTM,Stage1,3,0.6932,0.2684,0.4736,0.3426,0.692
LSTM,Stage1,4,0.6926,0.0,0.0,0.0,0.6775
LSTM,Stage1,5,0.6933,0.0,0.0,0.0,0.6824
LSTM,Stage1,6,0.6925,0.0,0.0,0.0,0.6845
LSTM,Stage1,7,0.6925,0.0,0.0,0.0,0.6881
LSTM,Stage1,8,0.6913,0.0,0.0,0.0,0.6745
LSTM,Stage1,9,0.6831,0.2969,0.5675,0.3899,0.6747
LSTM,Stage1,10,0.6811,0.3007,0.7914,0.4358,0.665
LSTM,Stage1,11,0.6708,0.3071,0.7468,0.4353,0.6561
LSTM,Stage1,12,0.6669,0.304,0.7768,0.437,0.6651
LSTM,Stage1,13,0.6652,0.3127,0.6323,0.4185,0.6485
LSTM,Stage1,14,0.6655,0.3097,0.7162,0.4324,0.6567
LSTM,Stage1,15,0.6642,0.3081,0.7438,0.4357,0.6615
LSTM,Stage1,16,0.6651,0.3064,0.7501,0.4351,0.6647
LSTM,Stage1,17,0.663,0.3054,0.7708,0.4374,0.6681
LSTM,Stage1,18,0.6639,0.3044,0.7856,0.4388,0.6631
LSTM,Stage1,19,0.6645,0.3029,0.8035,0.44,0.6695
LSTM,Stage1,20,0.6625,0.3088,0.7362,0.4351,0.6647
LSTM,Stage1,21,0.6628,0.3049,0.7811,0.4386,0.6726
LSTM,Stage1,22,0.6627,0.3067,0.7588,0.4369,0.6677
LSTM,Stage1,23,0.6625,0.3071,0.7534,0.4363,0.6662
LSTM,Stage2,1,1.1015,0.0033,0.3333,0.0065,1.0987
LSTM,Stage2,2,1.1007,0.0033,0.3333,0.0065,1.0981
LSTM,Stage2,3,1.0991,0.0033,0.3333,0.0065,1.0985
LSTM,Stage2,4,1.0997,0.0691,0.3327,0.0337,1.0985
LSTM,Stage2,5,1.0991,0.3329,0.3323,0.308,1.0994
LSTM,Stage2,6,1.0992,0.3312,0.3359,0.2107,1.099
LSTM,Stage2,7,1.0989,0.3321,0.3327,0.2498,1.099
LSTM,Stage2,8,1.099,0.0033,0.3333,0.0065,1.0983
LSTM,Stage2,9,1.0987,0.3297,0.3374,0.1764,1.0988
LSTM,Stage2,10,1.0987,0.333,0.3334,0.2586,1.0988
LSTM,Stage2,11,1.0983,0.3077,0.3357,0.0965,1.0984
LSTM,Stage2,12,1.0984,0.3335,0.3292,0.3009,1.0989
MAMBA,Joint,1,1.3883,0.0859,0.2106,0.0927,1.3856
MAMBA,Joint,2,1.3871,0.0867,0.1059,0.0793,1.3828
MAMBA,Joint,3,1.3865,0.0908,0.1553,0.0992,1.3838
MAMBA,Joint,4,1.3859,0.0917,0.2313,0.1283,1.3847
MAMBA,Joint,5,1.3851,0.093,0.2555,0.1328,1.385
MAMBA,Joint,6,1.3838,0.0955,0.208,0.0965,1.3817
MAMBA,Joint,7,1.3827,0.0923,0.3128,0.12,1.3882
MAMBA,Joint,8,1.3809,0.0974,0.239,0.1105,1.378
MAMBA,Joint,9,1.3783,0.0966,0.3176,0.1388,1.3822
MAMBA,Joint,10,1.3754,0.0993,0.2089,0.0977,1.3697
MAMBA,Joint,11,1.3722,0.1071,0.1865,0.1053,1.3588
MAMBA,Joint,12,1.3706,0.0982,0.2179,0.0958,1.3685
MAMBA,Joint,13,1.3669,0.0985,0.3208,0.1256,1.3775
MAMBA,Joint,14,1.3653,0.1025,0.2441,0.1181,1.3617
MAMBA,Joint,15,1.3627,0.1014,0.3169,0.1295,1.3688
MAMBA,Joint,16,1.3607,0.1012,0.3145,0.1328,1.3666
MAMBA,Joint,17,1.3593,0.0989,0.3256,0.1191,1.3831
MAMBA,Joint,18,1.3543,0.1009,0.3052,0.1282,1.3689
MAMBA,Joint,19,1.3535,0.1019,0.3025,0.124,1.3618
MAMBA,Joint,20,1.3523,0.1035,0.2798,0.1222,1.3549
MAMBA,Joint,21,1.3515,0.1015,0.3162,0.1242,1.3676
MAMBA,Joint,22,1.3511,0.1023,0.2848,0.1207,1.3597
MAMBA,Joint,23,1.3495,0.1013,0.3049,0.1176,1.363
MAMBA,Joint,24,1.3491,0.1024,0.3037,0.1203,1.3631
MAMBA,Joint,25,1.3498,0.1014,0.2951,0.1199,1.3628
MAMBA,Joint,26,1.3488,0.1008,0.3157,0.1222,1.365
MAMBA,Joint,27,1.3467,0.1002,0.3161,0.1199,1.367
MAMBA,Joint,28,1.3463,0.1015,0.3083,0.1203,1.3629
MAMBA,Joint,29,1.3458,0.1026,0.3056,0.1241,1.3586
MAMBA,Joint,30,1.3458,0.0999,0.3147,0.1181,1.3686
MAMBA,Stage1,1,0.6944,0.2525,0.1933,0.219,0.6905
MAMBA,Stage1,2,0.6934,0.2632,0.0087,0.0168,0.6871
MAMBA,Stage1,3,0.6928,0.2978,0.0443,0.0771,0.6858
MAMBA,Stage1,4,0.6923,0.2623,0.0717,0.1127,0.6856
MAMBA,Stage1,5,0.6914,0.2807,0.4293,0.3395,0.6882
MAMBA,Stage1,6,0.6892,0.2718,0.9092,0.4185,0.7088
MAMBA,Stage1,7,0.6879,0.2945,0.2164,0.2494,0.6751
MAMBA,Stage1,8,0.6862,0.2937,0.2145,0.2479,0.6705
MAMBA,Stage1,9,0.683,0.2782,0.9317,0.4284,0.7239
MAMBA,Stage1,10,0.6813,0.3015,0.4302,0.3545,0.667
MAMBA,Stage1,11,0.6791,0.3026,0.4776,0.3704,0.6693
MAMBA,Stage1,12,0.6781,0.3088,0.4024,0.3495,0.6634
MAMBA,Stage1,13,0.6754,0.3077,0.5089,0.3835,0.6623
MAMBA,Stage1,14,0.6747,0.312,0.4001,0.3506,0.657
MAMBA,Stage1,15,0.6729,0.3054,0.5169,0.3839,0.6643
