Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3579,0.1802,0.4805,0.2493,1.3084
LSTM,Joint,2,1.1406,0.1939,0.5856,0.2701,1.0834
LSTM,Joint,3,1.0022,0.1966,0.626,0.2769,1.0128
LSTM,Joint,4,0.8957,0.26,0.7202,0.3743,0.836
LSTM,Joint,5,0.7367,0.34,0.8313,0.4822,0.7091
LSTM,Joint,6,0.6052,0.3956,0.8423,0.5325,0.6753
LSTM,Joint,7,0.5206,0.5795,0.8505,0.6803,0.5142
LSTM,Joint,8,0.4664,0.5341,0.8782,0.6455,0.5422
LSTM,Joint,9,0.4048,0.6002,0.8406,0.685,0.5454
LSTM,Joint,10,0.3722,0.6489,0.8985,0.7418,0.444
LSTM,Joint,11,0.3366,0.6518,0.9067,0.7441,0.3868
LSTM,Joint,12,0.3134,0.7004,0.9264,0.7912,0.3327
LSTM,Joint,13,0.2972,0.7098,0.9182,0.7925,0.3354
LSTM,Joint,14,0.2718,0.7395,0.9581,0.8275,0.2559
LSTM,Joint,15,0.2358,0.7376,0.9449,0.8207,0.293
LSTM,Joint,16,0.2357,0.79,0.9576,0.8609,0.2386
LSTM,Joint,17,0.2286,0.7547,0.9657,0.8393,0.2632
LSTM,Joint,18,0.2154,0.7776,0.968,0.857,0.2107
LSTM,Joint,19,0.2033,0.781,0.9719,0.8612,0.2079
LSTM,Joint,20,0.1992,0.7322,0.9618,0.8215,0.265
LSTM,Joint,21,0.1843,0.761,0.9589,0.8414,0.2621
LSTM,Joint,22,0.1787,0.8255,0.9766,0.891,0.1754
LSTM,Joint,23,0.1692,0.7757,0.9663,0.8541,0.2292
LSTM,Joint,24,0.1768,0.7445,0.9767,0.8347,0.2703
LSTM,Joint,25,0.1629,0.8304,0.9744,0.8931,0.1713
LSTM,Joint,26,0.1761,0.8199,0.9747,0.8864,0.1863
LSTM,Joint,27,0.145,0.8845,0.9634,0.9212,0.151
LSTM,Joint,28,0.1409,0.766,0.9675,0.8477,0.2408
LSTM,Joint,29,0.1485,0.8207,0.9629,0.8827,0.192
LSTM,Joint,30,0.1508,0.8428,0.9855,0.9044,0.1547
LSTM,Joint,31,0.1462,0.804,0.9892,0.88,0.2161
LSTM,Joint,32,0.1269,0.8475,0.9822,0.907,0.1459
LSTM,Joint,33,0.1262,0.8359,0.9795,0.8983,0.1646
LSTM,Joint,34,0.1342,0.8226,0.9896,0.8927,0.1952
LSTM,Joint,35,0.1133,0.8158,0.9731,0.8834,0.2163
LSTM,Joint,36,0.1323,0.8208,0.9528,0.879,0.2145
LSTM,Joint,37,0.1223,0.8897,0.9595,0.9225,0.1286
LSTM,Joint,38,0.1168,0.8552,0.9837,0.9097,0.1627
LSTM,Joint,39,0.111,0.8724,0.9284,0.8963,0.226
LSTM,Joint,40,0.1082,0.8371,0.9775,0.897,0.1891
LSTM,Joint,41,0.1121,0.9014,0.9652,0.9315,0.1278
LSTM,Joint,42,0.1111,0.8676,0.9873,0.9184,0.1855
