model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,21,11,0.005,0.0208,0.9992,0.9988,94780.0,0.723114013671875,26.923,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LSTM,Stage1,cascade,23,13,0.0054,0.0067,0.9983,0.9983,94646.0,0.7220916748046875,29.4377,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LSTM,Stage2,cascade,26,16,0.0005,0.0157,1.0,0.9989,94713.0,0.7226028442382812,33.487,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MAMBA,Joint,joint,38,28,0.0212,0.0251,0.9909,0.9906,25018.0,0.1908721923828125,143.9851,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MAMBA,Stage1,cascade,34,24,0.0055,0.0082,0.9983,0.9976,24664.0,0.18817138671875,127.4969,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MAMBA,Stage2,cascade,37,27,0.0189,0.0293,0.9922,0.9907,24841.0,0.18952178955078125,136.5337,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
TRANSFORMER,Joint,joint,33,23,0.0052,0.0058,0.9992,0.9992,404956.0,3.089569091796875,43.5811,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
TRANSFORMER,Stage1,cascade,32,22,0.0042,0.0074,0.9983,0.994,404778.0,3.0882110595703125,42.1947,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
TRANSFORMER,Stage2,cascade,27,16,0.0001,0.0001,1.0,1.0,404867.0,3.0888900756835938,36.1194,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
CNN,Joint,joint,28,18,0.0064,0.0081,0.9992,0.9965,473668.0,3.613800048828125,101.0406,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
CNN,Stage1,cascade,19,9,0.0053,0.0065,0.9983,0.9983,473410.0,3.6118316650390625,69.6797,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
CNN,Stage2,cascade,100,18,0.0,0.0,1.0,1.0,473539.0,3.6128158569335938,367.8676,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.39901161193847656,0.3911,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.2047567367553711,0.243,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30193233489990234,0.1785,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0487,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0673,2.03,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,geo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
