Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,0.4161,0.9648,0.9981,0.9812,0.0361
LSTM,Joint,2,0.0493,0.9755,0.9966,0.9859,0.0219
LSTM,Joint,3,0.027,0.9849,0.9981,0.9915,0.0147
LSTM,Joint,4,0.0282,0.9818,0.9967,0.9892,0.0161
LSTM,Joint,5,0.0216,0.9851,0.9982,0.9916,0.0236
LSTM,Joint,6,0.0199,0.991,0.9982,0.9946,0.0098
LSTM,Joint,7,0.0174,0.991,0.9982,0.9946,0.0098
LSTM,Joint,8,0.017,0.991,0.9982,0.9946,0.0083
LSTM,Joint,9,0.0158,0.991,0.9982,0.9946,0.0112
LSTM,Joint,10,0.0153,0.991,0.9982,0.9946,0.0089
LSTM,Joint,11,0.0163,0.991,0.9982,0.9946,0.0094
LSTM,Joint,12,0.0152,0.9955,0.9977,0.9966,0.012
LSTM,Joint,13,0.0126,0.9971,0.9982,0.9976,0.0099
LSTM,Joint,14,0.0133,0.9971,0.9982,0.9976,0.008
LSTM,Joint,15,0.0227,0.9971,0.9982,0.9976,0.0093
LSTM,Joint,16,0.0132,0.9971,0.9982,0.9976,0.0114
LSTM,Joint,17,0.0124,0.997,0.9979,0.9975,0.0099
LSTM,Joint,18,0.0112,0.9971,0.9982,0.9976,0.0083
LSTM,Joint,19,0.0387,0.9951,0.9982,0.9966,0.0171
LSTM,Joint,20,0.0134,0.9953,0.9982,0.9967,0.0081
LSTM,Joint,21,0.0139,0.9956,0.9982,0.9969,0.0168
LSTM,Joint,22,0.0123,0.9963,0.9982,0.9972,0.0112
LSTM,Joint,23,0.0113,0.9966,0.9982,0.9974,0.0107
LSTM,Joint,24,0.0098,0.9966,0.9982,0.9974,0.0081
LSTM,Stage1,1,0.1367,0.9849,0.9959,0.9904,0.0204
LSTM,Stage1,2,0.0349,0.9984,0.9961,0.9972,0.013
LSTM,Stage1,3,0.0273,0.999,0.9961,0.9975,0.018
LSTM,Stage1,4,0.0257,0.9997,0.9961,0.9979,0.0116
