model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,22,12,1.3363,1.3417,0.1511,0.0624,28660.0,0.218658447265625,44.7581,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
LSTM,Stage1,cascade,29,19,0.6397,0.65,0.4463,0.4357,28586.0,0.2180938720703125,58.7977,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
LSTM,Stage2,cascade,38,28,1.0906,1.0958,0.3082,0.2424,28623.0,0.21837615966796875,76.4103,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
MAMBA,Joint,joint,18,8,1.3394,1.3481,0.1474,0.1148,12208.0,0.0931396484375,67.9329,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
MAMBA,Stage1,cascade,27,17,0.6491,0.6545,0.4445,0.4366,12014.0,0.0916595458984375,96.7806,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
MAMBA,Stage2,cascade,29,19,1.0956,1.1012,0.3146,0.2516,12111.0,0.09239959716796875,107.2125,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
TRANSFORMER,Joint,joint,27,17,1.337,1.3426,0.1548,0.0479,212996.0,1.625030517578125,36.2326,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
TRANSFORMER,Stage1,cascade,15,5,0.6409,0.6827,0.4462,0.4462,212898.0,1.6242828369140625,19.6429,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
TRANSFORMER,Stage2,cascade,19,9,1.0935,1.0961,0.3276,0.2761,212947.0,1.6246566772460938,25.5664,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
CNN,Joint,joint,19,9,1.3176,1.3433,0.1502,0.0672,472708.0,3.606475830078125,145.8853,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
CNN,Stage1,cascade,20,10,0.6355,0.6511,0.447,0.4361,472450.0,3.6045074462890625,153.7341,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
CNN,Stage2,cascade,19,9,1.0927,1.1044,0.3058,0.1933,472579.0,3.6054916381835938,143.8868,True,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
LightGBM,Joint,joint,0,-1,,,,,,0.4007377624511719,0.5305,False,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20377063751220703,0.3672,False,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.29991722106933594,0.1923,False,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0856,,False,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0484,,False,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.067,5.4434,False,0,30min1500EvalTest_Seed1,geo/30min-1500/30min1500EvalTest_Seed1.log
