log_stem,log_relpath,Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0,geo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0.log,CNN,74.14,0.2129,0.6313,0.0,0.9729,74.14,0.2129,0.6313,0.0,,2.484,74.14,0.4257,76.54,0.289,0.0,0.0,Tie,Tie
30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0,geo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0.log,LSTM,74.14,0.2129,0.6313,0.0,0.1912,69.76,0.2245,0.6239,0.0,80.47,0.895,70.01,0.4495,76.54,0.289,-4.3799999999999955,0.0116,Joint,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0,geo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0.log,LightGBM,41.42,0.2704,0.4366,0.0,0.0669,46.89,0.2765,0.5034,0.0,74.82,0.5374,51.83,0.5104,78.97,0.3692,5.469999999999999,0.00610000000000005,Cascade,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0,geo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0.log,MAMBA,19.8,0.0826,0.0654,0.0,0.1424,74.14,0.2129,0.6313,0.0,,0.7028,74.14,0.4257,76.54,0.289,54.34,0.1303,Cascade,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0,geo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_leo_Seed0.log,TRANSFORMER,19.8,0.0826,0.0654,0.0,0.0902,74.14,0.2129,0.6313,0.0,,0.6313,74.14,0.4257,76.54,0.289,54.34,0.1303,Cascade,Cascade
30min1500Energy_J2Energy_OE_Test_leo_Seed1,geo/30min-1500/30min1500Energy_J2Energy_OE_Test_leo_Seed1.log,CNN,74.05,0.2127,0.6301,0.0,0.9697,74.05,0.2127,0.6301,0.0,,2.4743,74.05,0.4254,75.7,0.2904,0.0,0.0,Tie,Tie
30min1500Energy_J2Energy_OE_Test_leo_Seed1,geo/30min-1500/30min1500Energy_J2Energy_OE_Test_leo_Seed1.log,LSTM,4.17,0.0258,0.0639,0.0,0.1738,74.05,0.2127,0.6301,0.0,,0.7987,74.05,0.4254,4.58,0.0328,69.88,0.1869,Cascade,Cascade
30min1500Energy_J2Energy_OE_Test_leo_Seed1,geo/30min-1500/30min1500Energy_J2Energy_OE_Test_leo_Seed1.log,LightGBM,68.91,0.2224,0.6039,0.0,0.0476,69.22,0.2301,0.6267,0.0,63.89,0.5322,70.04,0.4752,76.73,0.2895,0.3100000000000023,0.007700000000000012,Cascade,Cascade
30min1500Energy_J2Energy_OE_Test_leo_Seed1,geo/30min-1500/30min1500Energy_J2Energy_OE_Test_leo_Seed1.log,MAMBA,9.77,0.0578,0.1582,0.0,0.1414,15.55,0.1149,0.1919,0.0,26.39,0.7262,33.89,0.3217,26.84,0.1901,5.780000000000001,0.057100000000000005,Cascade,Cascade
30min1500Energy_J2Energy_OE_Test_leo_Seed1,geo/30min-1500/30min1500Energy_J2Energy_OE_Test_leo_Seed1.log,TRANSFORMER,74.05,0.2127,0.6301,0.0,0.0854,0.83,0.0041,0.0001,0.0,3.21,0.5821,25.95,0.206,3.21,0.0207,-73.22,-0.2086,Joint,Joint
