Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3825,0.1182,0.3415,0.1705,1.3883
LSTM,Joint,2,1.3461,0.1175,0.2686,0.1084,1.3204
LSTM,Joint,3,1.303,0.0344,0.2924,0.0606,1.3173
LSTM,Joint,4,1.2776,0.1271,0.3849,0.1633,1.2994
LSTM,Joint,5,1.1791,0.2938,0.5665,0.3636,1.0564
LSTM,Joint,6,0.92,0.4381,0.7702,0.5022,0.8056
LSTM,Joint,7,0.6873,0.4324,0.8186,0.5436,0.6825
LSTM,Joint,8,0.5759,0.5477,0.8653,0.6435,0.5925
LSTM,Joint,9,0.5014,0.4173,0.7836,0.542,0.6562
LSTM,Joint,10,0.4569,0.5511,0.9057,0.6733,0.5601
LSTM,Joint,11,0.4129,0.5771,0.8871,0.6901,0.5515
LSTM,Joint,12,0.3969,0.6359,0.8819,0.7219,0.5318
LSTM,Joint,13,0.3814,0.648,0.9307,0.7424,0.5127
LSTM,Joint,14,0.3794,0.5105,0.8415,0.632,0.5727
LSTM,Joint,15,0.3672,0.5661,0.914,0.6882,0.5687
LSTM,Joint,16,0.3551,0.6463,0.9358,0.7435,0.5648
LSTM,Joint,17,0.3569,0.702,0.9215,0.7711,0.4776
LSTM,Joint,18,0.3403,0.6659,0.9292,0.7521,0.4969
LSTM,Joint,19,0.3362,0.7073,0.9277,0.7744,0.512
LSTM,Joint,20,0.3365,0.65,0.9284,0.7371,0.5068
LSTM,Joint,21,0.3451,0.7024,0.9114,0.7713,0.4404
LSTM,Joint,22,0.3304,0.6735,0.9259,0.7602,0.4962
LSTM,Joint,23,0.3286,0.6891,0.9319,0.7705,0.4439
LSTM,Joint,24,0.3193,0.6678,0.9358,0.7612,0.492
LSTM,Joint,25,0.3277,0.7206,0.9021,0.7814,0.4348
LSTM,Joint,26,0.3225,0.6966,0.9382,0.7776,0.4498
LSTM,Joint,27,0.3294,0.7027,0.9423,0.7802,0.4738
LSTM,Joint,28,0.321,0.7315,0.9391,0.7946,0.447
LSTM,Joint,29,0.3147,0.6984,0.9439,0.7764,0.4926
LSTM,Joint,30,0.3357,0.7093,0.9287,0.7791,0.4864
LSTM,Joint,31,0.3106,0.7295,0.9439,0.7936,0.4655
LSTM,Joint,32,0.2992,0.7227,0.9415,0.7918,0.4579
LSTM,Joint,33,0.2951,0.7303,0.9468,0.7964,0.482
LSTM,Joint,34,0.2974,0.7297,0.9421,0.7953,0.4895
LSTM,Joint,35,0.2915,0.722,0.9315,0.787,0.4679
LSTM,Stage1,1,0.6694,0.3484,0.7121,0.4679,0.622
LSTM,Stage1,2,0.6028,0.3307,0.9453,0.49,0.6349
LSTM,Stage1,3,0.5926,0.3412,0.8552,0.4878,0.6
LSTM,Stage1,4,0.5898,0.3454,0.8061,0.4835,0.5973
LSTM,Stage1,5,0.589,0.3294,0.9868,0.4939,0.6148
LSTM,Stage1,6,0.587,0.3464,0.868,0.4952,0.6023
LSTM,Stage1,7,0.574,0.4671,0.5361,0.4992,0.5394
LSTM,Stage1,8,0.5466,0.4246,0.7471,0.5415,0.5127
LSTM,Stage1,9,0.5162,0.427,0.8347,0.565,0.5025
LSTM,Stage1,10,0.4897,0.4629,0.768,0.5777,0.4629
LSTM,Stage1,11,0.4705,0.4401,0.9188,0.5952,0.4655
LSTM,Stage1,12,0.4476,0.4734,0.8531,0.6089,0.4418
LSTM,Stage1,13,0.4343,0.4748,0.8035,0.5969,0.4333
