Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,0.6713,0.6643,0.9042,0.7409,0.4873
LSTM,Joint,2,0.2974,0.7878,0.8663,0.8135,0.354
LSTM,Joint,3,0.272,0.7613,0.9079,0.8104,0.4111
LSTM,Joint,4,0.2604,0.7627,0.9132,0.8126,0.3415
LSTM,Joint,5,0.2553,0.7782,0.8973,0.8193,0.3402
LSTM,Joint,6,0.2503,0.7476,0.9302,0.8046,0.3677
LSTM,Joint,7,0.2474,0.7515,0.9228,0.8061,0.3722
LSTM,Joint,8,0.2478,0.788,0.8771,0.8187,0.3326
LSTM,Joint,9,0.2471,0.759,0.92,0.8115,0.357
LSTM,Joint,10,0.2405,0.7819,0.8965,0.8216,0.3339
LSTM,Joint,11,0.2376,0.7601,0.9238,0.8135,0.3531
LSTM,Joint,12,0.2384,0.7533,0.9358,0.8108,0.3934
LSTM,Joint,13,0.2363,0.7915,0.9007,0.8296,0.3203
LSTM,Joint,14,0.2328,0.7749,0.9232,0.8249,0.3534
LSTM,Joint,15,0.2304,0.7753,0.9104,0.8214,0.3387
LSTM,Joint,16,0.2276,0.7785,0.922,0.8273,0.3262
LSTM,Joint,17,0.2248,0.7713,0.9246,0.8225,0.3455
LSTM,Joint,18,0.2224,0.7882,0.9126,0.8314,0.313
LSTM,Joint,19,0.2198,0.7892,0.9168,0.8335,0.3146
LSTM,Joint,20,0.2191,0.7877,0.9222,0.8341,0.3303
LSTM,Joint,21,0.2156,0.8092,0.8991,0.8405,0.2998
LSTM,Joint,22,0.2148,0.7935,0.9198,0.8375,0.309
LSTM,Joint,23,0.2119,0.7834,0.9199,0.8306,0.3178
LSTM,Joint,24,0.2071,0.7973,0.9156,0.8387,0.3091
LSTM,Joint,25,0.2063,0.7982,0.906,0.8367,0.3027
LSTM,Joint,26,0.2054,0.7848,0.9229,0.8333,0.3229
LSTM,Joint,27,0.2024,0.764,0.9317,0.8196,0.3812
LSTM,Joint,28,0.1901,0.7985,0.9161,0.8402,0.299
LSTM,Joint,29,0.1848,0.7951,0.9118,0.8379,0.3139
LSTM,Joint,30,0.1815,0.7991,0.9114,0.8396,0.309
LSTM,Joint,31,0.1773,0.8033,0.8941,0.8372,0.3056
LSTM,Joint,32,0.1734,0.7894,0.8998,0.8314,0.3187
LSTM,Joint,33,0.1716,0.7962,0.9057,0.8363,0.3177
LSTM,Joint,34,0.1688,0.7899,0.8956,0.8304,0.3201
LSTM,Joint,35,0.1582,0.7931,0.8903,0.8309,0.3274
LSTM,Joint,36,0.1543,0.7984,0.8942,0.8354,0.3253
LSTM,Joint,37,0.1511,0.7979,0.8932,0.8344,0.3269
LSTM,Joint,38,0.1494,0.7956,0.8852,0.8299,0.3255
LSTM,Stage1,1,0.4805,0.6549,0.866,0.7458,0.3371
LSTM,Stage1,2,0.2553,0.7261,0.8806,0.7959,0.2403
LSTM,Stage1,3,0.2234,0.8258,0.7872,0.806,0.2269
LSTM,Stage1,4,0.217,0.8218,0.8112,0.8165,0.2146
LSTM,Stage1,5,0.2095,0.7038,0.9054,0.792,0.2452
LSTM,Stage1,6,0.2051,0.706,0.9067,0.7939,0.2302
LSTM,Stage1,7,0.2,0.7066,0.9114,0.796,0.2309
LSTM,Stage1,8,0.1926,0.6775,0.9435,0.7887,0.2465
LSTM,Stage1,9,0.1879,0.6819,0.9555,0.7959,0.2321
LSTM,Stage1,10,0.1812,0.7563,0.902,0.8227,0.2096
LSTM,Stage1,11,0.1774,0.7128,0.9499,0.8145,0.2108
LSTM,Stage1,12,0.1696,0.7257,0.9559,0.8251,0.2128
LSTM,Stage1,13,0.1637,0.7345,0.9452,0.8267,0.1855
LSTM,Stage1,14,0.1584,0.7689,0.9315,0.8424,0.1842
LSTM,Stage1,15,0.1537,0.7468,0.9443,0.834,0.1784
LSTM,Stage1,16,0.1512,0.7556,0.9422,0.8386,0.1835
LSTM,Stage1,17,0.1436,0.7535,0.9542,0.8421,0.1765
LSTM,Stage1,18,0.1429,0.8211,0.8981,0.8579,0.1685
LSTM,Stage1,19,0.1387,0.8383,0.8857,0.8614,0.1584
LSTM,Stage1,20,0.1384,0.8371,0.8866,0.8611,0.169
LSTM,Stage1,21,0.1371,0.7855,0.9422,0.8568,0.1599
LSTM,Stage1,22,0.1282,0.766,0.9486,0.8476,0.1729
LSTM,Stage1,23,0.131,0.7915,0.9281,0.8544,0.1734
LSTM,Stage1,24,0.13,0.7887,0.9396,0.8576,0.165
LSTM,Stage1,25,0.1299,0.789,0.9461,0.8604,0.153
LSTM,Stage1,26,0.1246,0.7772,0.9439,0.8525,0.1603
LSTM,Stage1,27,0.1211,0.7793,0.9495,0.856,0.1737
LSTM,Stage1,28,0.1262,0.8088,0.9289,0.8647,0.1618
LSTM,Stage1,29,0.1258,0.7899,0.9512,0.8631,0.1638
LSTM,Stage1,30,0.1151,0.7913,0.9315,0.8557,0.1645
LSTM,Stage1,31,0.1161,0.7809,0.9443,0.8549,0.1856
LSTM,Stage1,32,0.1135,0.8033,0.9281,0.8612,0.1596
LSTM,Stage1,33,0.1071,0.8108,0.9225,0.863,0.1668
LSTM,Stage1,34,0.1048,0.8085,0.9272,0.8638,0.1713
LSTM,Stage1,35,0.1037,0.8006,0.9384,0.864,0.1733
LSTM,Stage2,1,0.484,0.8919,0.9154,0.8977,0.2211
LSTM,Stage2,2,0.1744,0.9066,0.9335,0.9094,0.1865
LSTM,Stage2,3,0.1643,0.9118,0.9388,0.9154,0.181
LSTM,Stage2,4,0.166,0.9126,0.9395,0.9164,0.179
LSTM,Stage2,5,0.1619,0.9118,0.9388,0.9154,0.1833
LSTM,Stage2,6,0.1593,0.911,0.938,0.9145,0.1788
LSTM,Stage2,7,0.1605,0.9093,0.9358,0.9132,0.182
LSTM,Stage2,8,0.1606,0.9118,0.9388,0.9154,0.1757
LSTM,Stage2,9,0.1591,0.9118,0.9388,0.9154,0.1787
LSTM,Stage2,10,0.1579,0.8901,0.9056,0.8955,0.2902
LSTM,Stage2,11,0.1652,0.9118,0.9388,0.9154,0.1777
LSTM,Stage2,12,0.1579,0.9118,0.9388,0.9154,0.183
LSTM,Stage2,13,0.1576,0.911,0.938,0.9145,0.1799
LSTM,Stage2,14,0.1572,0.9118,0.9388,0.9154,0.1784
LSTM,Stage2,15,0.1547,0.9118,0.9388,0.9154,0.1801
LSTM,Stage2,16,0.1522,0.9106,0.9373,0.9143,0.1833
LSTM,Stage2,17,0.1549,0.9118,0.9388,0.9154,0.1826
LSTM,Stage2,18,0.1525,0.9118,0.9388,0.9154,0.1849
MAMBA,Joint,1,0.8032,0.6332,0.7859,0.6956,0.5331
MAMBA,Joint,2,0.4763,0.6515,0.8076,0.7174,0.4804
MAMBA,Joint,3,0.4174,0.6745,0.8295,0.7403,0.4512
MAMBA,Joint,4,0.3739,0.6935,0.8612,0.7626,0.4254
MAMBA,Joint,5,0.3415,0.7216,0.8571,0.7793,0.4077
MAMBA,Joint,6,0.3197,0.7127,0.8755,0.7769,0.4164
MAMBA,Joint,7,0.3004,0.6991,0.866,0.7694,0.4265
MAMBA,Joint,8,0.2923,0.7113,0.9008,0.7811,0.4384
MAMBA,Joint,9,0.2829,0.7452,0.8935,0.8006,0.4025
MAMBA,Joint,10,0.2745,0.7141,0.8907,0.7858,0.4016
MAMBA,Joint,11,0.2716,0.7437,0.8976,0.801,0.4002
MAMBA,Joint,12,0.2651,0.7578,0.89,0.8063,0.3835
MAMBA,Joint,13,0.2593,0.7543,0.8885,0.8061,0.3856
MAMBA,Joint,14,0.2581,0.7628,0.8996,0.8107,0.3954
MAMBA,Joint,15,0.2518,0.7491,0.8998,0.8066,0.382
MAMBA,Joint,16,0.2474,0.7589,0.8955,0.8093,0.3809
MAMBA,Joint,17,0.247,0.7459,0.9081,0.8027,0.4087
MAMBA,Joint,18,0.2407,0.7598,0.899,0.8099,0.386
MAMBA,Joint,19,0.2393,0.762,0.8984,0.811,0.3841
MAMBA,Joint,20,0.2387,0.7583,0.8804,0.8052,0.3747
MAMBA,Joint,21,0.2354,0.7499,0.9039,0.8068,0.4013
MAMBA,Joint,22,0.2346,0.7307,0.9055,0.8006,0.3936
MAMBA,Joint,23,0.2292,0.7659,0.8983,0.8144,0.3758
MAMBA,Joint,24,0.2289,0.7595,0.9006,0.8118,0.4118
MAMBA,Joint,25,0.2265,0.771,0.8846,0.8139,0.3532
MAMBA,Joint,26,0.223,0.7659,0.8801,0.8098,0.3818
MAMBA,Joint,27,0.2224,0.7628,0.8763,0.8087,0.354
MAMBA,Joint,28,0.2218,0.7519,0.9034,0.8086,0.3927
MAMBA,Joint,29,0.2174,0.7671,0.8943,0.8141,0.3862
MAMBA,Joint,30,0.2135,0.7566,0.8748,0.8041,0.3963
MAMBA,Joint,31,0.2135,0.7624,0.8729,0.8065,0.3736
MAMBA,Joint,32,0.2034,0.76,0.8914,0.8092,0.3981
MAMBA,Joint,33,0.198,0.7647,0.8831,0.8101,0.3966
MAMBA,Joint,34,0.1992,0.7612,0.8918,0.8101,0.4037
MAMBA,Joint,35,0.1961,0.7621,0.8787,0.8074,0.397
MAMBA,Stage1,1,0.533,0.6322,0.7616,0.6909,0.4345
MAMBA,Stage1,2,0.4411,0.6765,0.759,0.7154,0.4006
MAMBA,Stage1,3,0.3942,0.7291,0.7487,0.7388,0.3417
MAMBA,Stage1,4,0.3497,0.7393,0.7697,0.7542,0.3032
MAMBA,Stage1,5,0.3071,0.7786,0.7962,0.7873,0.2646
MAMBA,Stage1,6,0.2663,0.7068,0.8639,0.7775,0.2627
MAMBA,Stage1,7,0.2428,0.6992,0.8844,0.7809,0.2573
MAMBA,Stage1,8,0.2284,0.7115,0.8741,0.7845,0.2456
MAMBA,Stage1,9,0.2229,0.7353,0.8574,0.7917,0.2369
MAMBA,Stage1,10,0.219,0.7122,0.8921,0.7921,0.2407
MAMBA,Stage1,11,0.2135,0.7237,0.8947,0.8002,0.2357
MAMBA,Stage1,12,0.2107,0.7495,0.8784,0.8088,0.2257
MAMBA,Stage1,13,0.2065,0.7694,0.86,0.8122,0.2188
MAMBA,Stage1,14,0.2027,0.7604,0.8707,0.8118,0.2218
MAMBA,Stage1,15,0.2108,0.7627,0.8639,0.8101,0.2185
MAMBA,Stage1,16,0.2043,0.7557,0.8793,0.8128,0.2162
MAMBA,Stage1,17,0.1951,0.7622,0.8673,0.8114,0.2181
MAMBA,Stage1,18,0.1946,0.7291,0.9054,0.8077,0.23
MAMBA,Stage1,19,0.1903,0.7265,0.9097,0.8078,0.2295
MAMBA,Stage1,20,0.1899,0.7709,0.8686,0.8168,0.2184
MAMBA,Stage1,21,0.1877,0.7494,0.8934,0.8151,0.2168
MAMBA,Stage1,22,0.1855,0.7461,0.8943,0.8135,0.2163
MAMBA,Stage1,23,0.1784,0.7607,0.8887,0.8197,0.2128
MAMBA,Stage1,24,0.1768,0.7416,0.902,0.814,0.222
MAMBA,Stage1,25,0.1759,0.7468,0.9041,0.818,0.2165
MAMBA,Stage1,26,0.1751,0.7548,0.8921,0.8177,0.2137
MAMBA,Stage1,27,0.1739,0.7569,0.9011,0.8227,0.2176
MAMBA,Stage1,28,0.1732,0.7548,0.8908,0.8172,0.2176
MAMBA,Stage1,29,0.1716,0.7694,0.89,0.8253,0.2154
