model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,28,18,0.2908,0.351,0.8525,0.8368,94780.0,0.723114013671875,35.875,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LSTM,Stage1,cascade,37,27,0.1656,0.2138,0.8565,0.8477,94646.0,0.7220916748046875,47.3599,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LSTM,Stage2,cascade,17,7,0.1496,0.1616,0.9321,0.9309,94713.0,0.7226028442382812,21.6299,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MAMBA,Joint,joint,27,17,0.3521,0.37,0.8271,0.8206,25018.0,0.1908721923828125,99.5168,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MAMBA,Stage1,cascade,30,20,0.2166,0.2216,0.8246,0.8238,24664.0,0.18817138671875,109.1481,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MAMBA,Stage2,cascade,21,11,0.1698,0.1991,0.9282,0.9154,24841.0,0.18952178955078125,80.829,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
TRANSFORMER,Joint,joint,23,13,0.2894,0.3192,0.8445,0.8367,404956.0,3.089569091796875,29.7027,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
TRANSFORMER,Stage1,cascade,32,22,0.1818,0.1819,0.84,0.84,404778.0,3.0882110595703125,41.9002,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
TRANSFORMER,Stage2,cascade,23,13,0.1484,0.1502,0.9321,0.9311,404867.0,3.0888900756835938,30.084,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
CNN,Joint,joint,25,15,0.2521,0.2824,0.8641,0.8618,473668.0,3.613800048828125,90.0761,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
CNN,Stage1,cascade,25,15,0.1583,0.1993,0.8597,0.8489,473410.0,3.6118316650390625,90.6198,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
CNN,Stage2,cascade,19,9,0.1505,0.1717,0.9321,0.9309,473539.0,3.6128158569335938,67.0263,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LightGBM,Joint,joint,0,-1,,,,,,0.3994932174682617,0.6185,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20501327514648438,0.393,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.30002689361572266,0.2539,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0486,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0672,2.0531,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,leo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log
