model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,21,11,1.2755,1.2831,0.1574,0.1428,28660.0,0.218658447265625,20.4363,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
LSTM,Stage1,cascade,23,13,0.595,0.6008,0.4909,0.4849,28586.0,0.2180938720703125,21.9868,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
LSTM,Stage2,cascade,30,20,1.0904,1.0971,0.3151,0.2292,28623.0,0.21837615966796875,28.9505,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
MAMBA,Joint,joint,26,16,1.2688,1.2785,0.1516,0.1292,12208.0,0.0931396484375,105.974,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
MAMBA,Stage1,cascade,22,12,0.5985,0.6047,0.4876,0.484,12014.0,0.0916595458984375,91.3315,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
MAMBA,Stage2,cascade,34,24,1.0881,1.0905,0.3077,0.2651,12111.0,0.09239959716796875,139.8696,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
TRANSFORMER,Joint,joint,32,22,1.2713,1.2816,0.17,0.1188,212996.0,1.625030517578125,44.0854,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
TRANSFORMER,Stage1,cascade,14,4,0.5956,0.5971,0.4942,0.4818,212898.0,1.6242828369140625,19.1068,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
TRANSFORMER,Stage2,cascade,17,7,1.094,1.0958,0.3422,0.3077,212947.0,1.6246566772460938,23.2562,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
CNN,Joint,joint,18,8,1.2686,1.2721,0.1697,0.1284,472708.0,3.606475830078125,66.7121,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
CNN,Stage1,cascade,12,2,0.596,0.602,0.491,0.4816,472450.0,3.6045074462890625,44.2258,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
CNN,Stage2,cascade,14,4,1.0912,1.094,0.3441,0.3405,472579.0,3.6054916381835938,51.5935,True,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
LightGBM,Joint,joint,0,-1,,,,,,0.39904117584228516,0.25,False,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20320892333984375,0.1377,False,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.2997293472290039,0.1074,False,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0856,,False,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0484,,False,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.067,2.016,False,0,10min1500EvalTest_Seed1,leo/10min-1500/10min1500EvalTest_Seed1.log
