Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3881,0.0835,0.3313,0.1333,1.3934
LSTM,Joint,2,1.3859,0.0196,0.3161,0.0368,1.3884
LSTM,Joint,3,1.382,0.021,0.2853,0.0392,1.3852
LSTM,Joint,4,1.3658,0.0982,0.284,0.141,1.3641
LSTM,Joint,5,1.3585,0.0896,0.3162,0.0681,1.372
LSTM,Joint,6,1.3526,0.0815,0.311,0.1276,1.3493
LSTM,Joint,7,1.3513,0.0249,0.3179,0.0462,1.3457
LSTM,Joint,8,1.3474,0.0976,0.3449,0.0749,1.3633
LSTM,Joint,9,1.3462,0.0989,0.3476,0.0501,1.3584
LSTM,Joint,10,1.3438,0.0954,0.3244,0.1086,1.339
LSTM,Joint,11,1.3434,0.0244,0.2914,0.045,1.3331
LSTM,Joint,12,1.3419,0.0944,0.3003,0.075,1.3402
LSTM,Joint,13,1.3407,0.0248,0.3481,0.0462,1.348
LSTM,Joint,14,1.3394,0.0824,0.3414,0.1257,1.3464
LSTM,Joint,15,1.3402,0.1016,0.3366,0.1262,1.3393
LSTM,Joint,16,1.3385,0.0951,0.3207,0.0544,1.3498
LSTM,Joint,17,1.3383,0.1017,0.2961,0.1252,1.3311
LSTM,Joint,18,1.3385,0.0961,0.335,0.0859,1.3475
LSTM,Joint,19,1.3365,0.0915,0.3275,0.0497,1.3373
LSTM,Joint,20,1.3369,0.0947,0.3356,0.0569,1.3452
LSTM,Joint,21,1.3361,0.1048,0.3201,0.151,1.3368
LSTM,Joint,22,1.336,0.0876,0.3399,0.0473,1.3447
LSTM,Joint,23,1.334,0.096,0.3442,0.065,1.3581
LSTM,Joint,24,1.3307,0.1021,0.2835,0.0994,1.3354
LSTM,Joint,25,1.33,0.1006,0.3185,0.0968,1.3412
LSTM,Joint,26,1.3291,0.1042,0.3213,0.1437,1.3474
LSTM,Joint,27,1.3292,0.1025,0.3254,0.1064,1.343
LSTM,Stage1,1,0.692,0.281,0.2234,0.2489,0.6858
LSTM,Stage1,2,0.6873,0.3094,0.7788,0.4428,0.6798
LSTM,Stage1,3,0.6668,0.3008,0.8801,0.4483,0.6933
LSTM,Stage1,4,0.6596,0.2981,0.8958,0.4474,0.6986
LSTM,Stage1,5,0.6583,0.3051,0.8439,0.4481,0.662
LSTM,Stage1,6,0.6558,0.3114,0.7838,0.4457,0.6511
LSTM,Stage1,7,0.6545,0.3009,0.8785,0.4483,0.6773
LSTM,Stage1,8,0.6532,0.3124,0.7117,0.4342,0.6478
LSTM,Stage1,9,0.6534,0.3018,0.8655,0.4475,0.685
LSTM,Stage1,10,0.6523,0.3059,0.8275,0.4466,0.6658
LSTM,Stage1,11,0.6525,0.3082,0.8092,0.4464,0.6631
LSTM,Stage1,12,0.6502,0.3055,0.8328,0.447,0.6753
LSTM,Stage1,13,0.6503,0.3082,0.8068,0.4461,0.6663
LSTM,Stage1,14,0.6495,0.3144,0.7236,0.4383,0.6473
LSTM,Stage1,15,0.6497,0.3137,0.7358,0.4399,0.6502
LSTM,Stage1,16,0.6488,0.3071,0.8277,0.448,0.6761
LSTM,Stage1,17,0.6494,0.3128,0.7387,0.4395,0.6497
LSTM,Stage1,18,0.649,0.3165,0.676,0.4312,0.6412
LSTM,Stage1,19,0.6494,0.3136,0.739,0.4403,0.6505
LSTM,Stage1,20,0.6488,0.3112,0.7697,0.4432,0.6589
LSTM,Stage1,21,0.6493,0.3121,0.7562,0.4418,0.6537
LSTM,Stage1,22,0.6495,0.3075,0.8079,0.4455,0.6634
LSTM,Stage1,23,0.6494,0.3108,0.7718,0.4432,0.6581
LSTM,Stage1,24,0.6489,0.3089,0.7925,0.4446,0.6651
LSTM,Stage1,25,0.6482,0.3127,0.7363,0.439,0.6524
LSTM,Stage1,26,0.6484,0.314,0.7051,0.4345,0.6465
LSTM,Stage1,27,0.6478,0.3139,0.7275,0.4385,0.6501
LSTM,Stage1,28,0.6482,0.3145,0.6944,0.433,0.647
LSTM,Stage2,1,1.1019,0.3424,0.3672,0.2439,1.0979
LSTM,Stage2,2,1.0999,0.2684,0.3476,0.2916,1.098
LSTM,Stage2,3,1.0994,0.3454,0.3582,0.3451,1.098
LSTM,Stage2,4,1.0993,0.2807,0.3322,0.0521,1.098
LSTM,Stage2,5,1.0987,0.0862,0.3723,0.1398,1.0979
LSTM,Stage2,6,1.0988,0.3385,0.3482,0.3338,1.0982
LSTM,Stage2,7,1.0978,0.0108,0.3333,0.021,1.0974
LSTM,Stage2,8,1.0983,0.3321,0.3523,0.207,1.0977
LSTM,Stage2,9,1.0976,0.0854,0.3676,0.1386,1.096
LSTM,Stage2,10,1.0974,0.3457,0.3602,0.1394,1.0952
LSTM,Stage2,11,1.0957,0.0834,0.3635,0.1351,1.0947
LSTM,Stage2,12,1.094,0.3403,0.361,0.3261,1.0932
LSTM,Stage2,13,1.0932,0.3312,0.3497,0.2501,1.0921
LSTM,Stage2,14,1.0906,0.3352,0.3545,0.2966,1.0928
LSTM,Stage2,15,1.0906,0.3317,0.3443,0.3091,1.0921
LSTM,Stage2,16,1.0881,0.3288,0.3608,0.2187,1.0961
LSTM,Stage2,17,1.0883,0.3335,0.3526,0.164,1.0945
LSTM,Stage2,18,1.087,0.3264,0.3603,0.2046,1.0924
LSTM,Stage2,19,1.0852,0.3254,0.3623,0.1847,1.0907
LSTM,Stage2,20,1.0859,0.3214,0.3538,0.1644,1.0972
LSTM,Stage2,21,1.0836,0.3233,0.3454,0.1602,1.1066
LSTM,Stage2,22,1.0854,0.3571,0.3594,0.1353,1.0984
LSTM,Stage2,23,1.0826,0.3275,0.3495,0.1831,1.0999
LSTM,Stage2,24,1.082,0.3268,0.3493,0.2582,1.0959
LSTM,Stage2,25,1.0814,0.3339,0.3584,0.1458,1.0993
LSTM,Stage2,26,1.0786,0.3265,0.3627,0.1706,1.1005
LSTM,Stage2,27,1.0751,0.3245,0.3505,0.1849,1.0993
LSTM,Stage2,28,1.0742,0.3212,0.348,0.1745,1.1027
LSTM,Stage2,29,1.073,0.3215,0.3503,0.1664,1.1049
MAMBA,Joint,1,1.3876,0.0877,0.2,0.1134,1.3849
MAMBA,Joint,2,1.3858,0.0898,0.2699,0.1321,1.3866
