log_stem,log_relpath,Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
30min1500EvalTest_Seed1,leo/30min-1500/30min1500EvalTest_Seed1.log,CNN,42.0,0.2164,0.4386,0.0007,0.9666,62.35,0.2325,0.5965,0.0178,23.33,2.511,66.94,0.5262,28.77,0.2383,20.35,0.016100000000000003,Cascade,Cascade
30min1500EvalTest_Seed1,leo/30min-1500/30min1500EvalTest_Seed1.log,LSTM,25.77,0.1902,0.3154,0.16,0.1776,43.27,0.2154,0.5143,0.0304,17.6,0.7944,56.34,0.5352,15.6,0.13,17.500000000000004,0.0252,Cascade,Cascade
30min1500EvalTest_Seed1,leo/30min-1500/30min1500EvalTest_Seed1.log,LightGBM,72.1,0.2095,0.6041,0.0,0.067,74.05,0.2127,0.6301,0.0,,0.526,74.05,0.4254,76.73,0.2895,1.9500000000000028,0.0032000000000000084,Cascade,Cascade
30min1500EvalTest_Seed1,leo/30min-1500/30min1500EvalTest_Seed1.log,MAMBA,27.66,0.1962,0.361,0.2356,0.231,35.11,0.2038,0.4394,0.0987,24.38,0.9781,49.84,0.4924,23.31,0.1923,7.449999999999999,0.007599999999999996,Cascade,Cascade
30min1500EvalTest_Seed1,leo/30min-1500/30min1500EvalTest_Seed1.log,MiniRocket,74.05,0.2127,0.6301,0.0,,74.05,0.2127,0.6301,0.0,,0.4941,74.05,0.4254,77.01,0.2924,0.0,0.0,Tie,Tie
30min1500EvalTest_Seed1,leo/30min-1500/30min1500EvalTest_Seed1.log,TRANSFORMER,32.31,0.2122,0.4143,0.2178,0.0784,46.83,0.2143,0.5168,0.027,20.88,0.6146,58.03,0.5397,17.88,0.1594,14.519999999999996,0.0020999999999999908,Cascade,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1.log,CNN,74.59,0.2136,0.6374,0.0,0.9835,74.59,0.2136,0.6374,0.0,,2.4856,74.59,0.4272,77.06,0.2901,0.0,0.0,Tie,Tie
30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1.log,LSTM,74.59,0.2136,0.6374,0.0,0.1905,74.59,0.2136,0.6374,0.0,,0.7858,74.59,0.4272,77.06,0.2901,0.0,0.0,Tie,Tie
30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1.log,LightGBM,97.35,0.6954,0.9708,0.0,0.0518,86.82,0.4982,0.8671,0.0,52.2,0.5122,98.01,0.9731,52.91,0.3526,-10.530000000000001,-0.19720000000000004,Joint,Joint
30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1.log,MAMBA,41.18,0.2096,0.43,0.0,0.2334,31.53,0.1607,0.2831,0.0,76.94,0.8797,37.21,0.3628,77.06,0.2901,-9.649999999999999,-0.0489,Joint,Joint
30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1.log,MiniRocket,96.35,0.6867,0.9618,0.0,,96.1,0.6792,0.9636,0.0044,88.84,0.4992,98.89,0.9854,88.99,0.5865,-0.25,-0.007499999999999951,Joint,Joint
30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed1.log,TRANSFORMER,74.59,0.2136,0.6374,0.0,0.0965,19.58,0.0819,0.0641,0.0,77.06,0.6021,25.41,0.2026,77.06,0.2901,-55.010000000000005,-0.1317,Joint,Joint
30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed2,leo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_Test_geo_Seed2.log,CNN,75.14,0.2145,0.6448,0.0,0.9861,75.14,0.2145,0.6448,0.0,,2.4805,75.14,0.429,77.07,0.2902,0.0,0.0,Tie,Tie
