model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,95,85,0.1138,0.1204,0.8541,0.8538,50500.0,0.385284423828125,663.6796,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
LSTM,Stage1,cascade,100,98,0.1782,0.2014,0.8766,0.857,50402.0,0.3845367431640625,697.1235,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
LSTM,Stage2,cascade,73,63,0.0334,0.0481,0.9766,0.9746,50451.0,0.38491058349609375,507.5296,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
MAMBA,Joint,joint,66,56,0.6155,0.6756,0.6159,0.6159,17044.0,0.130035400390625,347.6304,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
MAMBA,Stage1,cascade,86,76,0.5415,0.5458,0.5865,0.5865,16786.0,0.1280670166015625,453.7018,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
MAMBA,Stage2,cascade,61,51,0.3283,0.4083,0.9155,0.8978,16915.0,0.12905120849609375,321.0382,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
TRANSFORMER,Joint,joint,74,64,0.2045,0.21,0.5661,0.5622,288196.0,2.198760986328125,162.0908,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
TRANSFORMER,Stage1,cascade,99,89,0.1763,0.1772,0.8579,0.8547,288066.0,2.1977691650390625,216.4971,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
TRANSFORMER,Stage2,cascade,77,67,0.1557,0.183,0.7789,0.7785,288131.0,2.1982650756835938,167.4609,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
CNN,Joint,joint,65,55,0.0424,0.0525,0.9687,0.9687,473092.0,3.609405517578125,734.6439,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
CNN,Stage1,cascade,50,40,0.0809,0.0847,0.943,0.943,472834.0,3.6074371337890625,565.1926,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
CNN,Stage2,cascade,44,34,0.0202,0.0277,0.9841,0.9819,472963.0,3.6084213256835938,483.801,True,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
LightGBM,Joint,joint,0,-1,,,,,,0.40326786041259766,2.4901,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20548057556152344,1.5288,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3042764663696289,0.6477,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0486,,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0672,23.0098,False,0,100min1500Energy_J2Energy_OE_EvalTest_Seed1,meo/100min-1500/100min1500Energy_J2Energy_OE_EvalTest_Seed1.log
