model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,21,11,0.0133,0.0309,0.9984,0.9984,94780.0,0.723114013671875,27.0268,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LSTM,Stage1,cascade,19,9,0.0113,0.0143,0.9966,0.9959,94646.0,0.7220916748046875,24.4313,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LSTM,Stage2,cascade,100,35,0.0,0.0,1.0,1.0,94713.0,0.7226028442382812,128.7634,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MAMBA,Joint,joint,24,14,0.088,0.0955,0.9365,0.9347,25018.0,0.1908721923828125,91.285,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MAMBA,Stage1,cascade,19,9,0.0127,0.0131,0.9966,0.9955,24664.0,0.18817138671875,70.9047,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MAMBA,Stage2,cascade,27,17,0.113,0.1241,0.9501,0.946,24841.0,0.18952178955078125,104.67,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
TRANSFORMER,Joint,joint,31,21,0.0114,0.0199,0.9984,0.998,404956.0,3.089569091796875,40.7143,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
TRANSFORMER,Stage1,cascade,26,16,0.0106,0.0141,0.9966,0.9966,404778.0,3.0882110595703125,34.104,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
TRANSFORMER,Stage2,cascade,24,10,0.0001,0.0001,1.0,1.0,404867.0,3.0888900756835938,31.3702,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
CNN,Joint,joint,18,8,0.0761,0.082,0.9477,0.9477,473668.0,3.613800048828125,66.0365,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
CNN,Stage1,cascade,26,16,0.0105,0.013,0.9966,0.9934,473410.0,3.6118316650390625,95.4912,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
CNN,Stage2,cascade,21,11,0.103,0.1609,0.9504,0.9368,473539.0,3.6128158569335938,75.3175,True,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LightGBM,Joint,joint,0,-1,,,,,,0.3990488052368164,0.4092,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.20382118225097656,0.2547,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.3005399703979492,0.1646,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0858,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0487,,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.0673,2.0109,False,0,10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0,meo/10min-1500/10min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed0.log
