Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,0.614,0.7894,0.9119,0.8403,0.1908
LSTM,Joint,2,0.1733,0.9385,0.9895,0.9627,0.0747
LSTM,Joint,3,0.0938,0.9859,0.9951,0.9904,0.0404
LSTM,Joint,4,0.0476,0.9913,0.9914,0.9913,0.0325
LSTM,Joint,5,0.0346,0.9792,0.9847,0.9815,0.0383
LSTM,Joint,6,0.0301,0.9985,0.9951,0.9968,0.0245
LSTM,Joint,7,0.0424,1.0,0.9958,0.9979,0.0262
LSTM,Joint,8,0.0231,1.0,0.9958,0.9979,0.0169
LSTM,Joint,9,0.022,0.9956,0.9936,0.9946,0.0248
LSTM,Joint,10,0.0197,1.0,0.9958,0.9979,0.0167
LSTM,Joint,11,0.0191,1.0,0.9958,0.9979,0.023
LSTM,Joint,12,0.0176,1.0,0.9958,0.9979,0.0194
LSTM,Joint,13,0.017,1.0,0.9958,0.9979,0.0193
LSTM,Joint,14,0.0175,1.0,0.9958,0.9979,0.018
LSTM,Joint,15,0.0158,1.0,0.9958,0.9979,0.0291
LSTM,Joint,16,0.0146,1.0,0.9958,0.9979,0.0176
LSTM,Joint,17,0.0135,1.0,0.9958,0.9979,0.0163
LSTM,Joint,18,0.013,1.0,0.9958,0.9979,0.024
LSTM,Joint,19,0.0286,0.9992,0.9958,0.9975,0.0176
LSTM,Joint,20,0.0132,1.0,0.9958,0.9979,0.0206
LSTM,Joint,21,0.0125,1.0,0.9958,0.9979,0.0192
LSTM,Joint,22,0.012,1.0,0.9958,0.9979,0.02
LSTM,Joint,23,0.0124,1.0,0.9958,0.9979,0.0144
LSTM,Joint,24,0.0107,0.9872,0.9976,0.9923,0.0284
LSTM,Joint,25,0.0115,0.9982,0.9958,0.997,0.0228
LSTM,Joint,26,0.0106,1.0,0.9958,0.9979,0.0155
LSTM,Joint,27,0.0106,1.0,0.9958,0.9979,0.0183
LSTM,Joint,28,0.0098,0.9919,0.9972,0.9945,0.0253
LSTM,Joint,29,0.0091,0.9929,0.9972,0.995,0.02
LSTM,Joint,30,0.0093,0.988,0.9978,0.9928,0.0217
LSTM,Joint,31,0.0086,0.9872,0.998,0.9925,0.0194
LSTM,Joint,32,0.0077,0.9882,0.9982,0.9931,0.0178
LSTM,Joint,33,0.0077,0.9807,0.9984,0.9893,0.0223
LSTM,Stage1,1,0.1889,1.0,0.991,0.9955,0.0213
LSTM,Stage1,2,0.0371,1.0,0.991,0.9955,0.0315
LSTM,Stage1,3,0.0323,1.0,0.991,0.9955,0.0222
LSTM,Stage1,4,0.0282,0.9991,0.991,0.9951,0.0178
LSTM,Stage1,5,0.0274,0.9996,0.991,0.9953,0.0296
LSTM,Stage1,6,0.0259,1.0,0.991,0.9955,0.0169
LSTM,Stage1,7,0.0272,1.0,0.991,0.9955,0.0179
LSTM,Stage1,8,0.0214,0.9979,0.991,0.9944,0.0164
LSTM,Stage1,9,0.0225,0.9923,0.991,0.9917,0.0328
LSTM,Stage1,10,0.0219,0.9996,0.991,0.9953,0.0202
LSTM,Stage1,11,0.0206,1.0,0.991,0.9955,0.0154
LSTM,Stage1,12,0.0184,0.9991,0.991,0.9951,0.0266
LSTM,Stage1,13,0.0152,1.0,0.991,0.9955,0.0144
LSTM,Stage1,14,0.0186,1.0,0.991,0.9955,0.0252
LSTM,Stage1,15,0.0188,1.0,0.991,0.9955,0.0148
LSTM,Stage1,16,0.0154,1.0,0.991,0.9955,0.0175
LSTM,Stage1,17,0.0132,0.9856,0.9957,0.9907,0.0182
LSTM,Stage1,18,0.0145,0.994,0.991,0.9925,0.0184
LSTM,Stage1,19,0.0137,0.9991,0.991,0.9951,0.0154
LSTM,Stage1,20,0.0143,0.9987,0.991,0.9949,0.0212
LSTM,Stage1,21,0.0105,0.9974,0.9923,0.9949,0.0188
LSTM,Stage1,22,0.0096,0.9811,0.9962,0.9886,0.0203
LSTM,Stage1,23,0.0105,0.994,0.9932,0.9936,0.0215
LSTM,Stage2,1,0.6263,0.8077,0.8273,0.8125,0.3639
LSTM,Stage2,2,0.3196,0.8749,0.9231,0.8845,0.2218
LSTM,Stage2,3,0.2101,0.9026,0.9434,0.9166,0.1536
LSTM,Stage2,4,0.1422,0.9044,0.9449,0.9185,0.0975
LSTM,Stage2,5,0.0932,0.951,0.9761,0.9624,0.0558
LSTM,Stage2,6,0.0465,0.9934,0.9959,0.9946,0.0384
LSTM,Stage2,7,0.0324,1.0,1.0,1.0,0.0094
LSTM,Stage2,8,0.0214,0.9948,0.9941,0.9944,0.0295
LSTM,Stage2,9,0.0136,1.0,1.0,1.0,0.0058
LSTM,Stage2,10,0.0051,1.0,1.0,1.0,0.0027
LSTM,Stage2,11,0.0034,1.0,1.0,1.0,0.0018
LSTM,Stage2,12,0.0334,0.9942,0.9971,0.9956,0.0195
LSTM,Stage2,13,0.0083,1.0,1.0,1.0,0.0026
LSTM,Stage2,14,0.0031,1.0,1.0,1.0,0.0013
