Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3876,0.0837,0.3388,0.1312,1.3911
LSTM,Joint,2,1.3679,0.0245,0.2854,0.0451,1.3339
LSTM,Joint,3,1.3109,0.0367,0.3333,0.0661,1.2981
LSTM,Joint,4,1.2909,0.1095,0.3068,0.1126,1.2889
LSTM,Joint,5,1.2889,0.116,0.3235,0.1137,1.2829
LSTM,Joint,6,1.2849,0.122,0.3375,0.152,1.2826
LSTM,Joint,7,1.2838,0.0351,0.3674,0.0641,1.2958
LSTM,Joint,8,1.2828,0.1199,0.3602,0.1186,1.298
LSTM,Joint,9,1.281,0.1194,0.3769,0.0748,1.2854
LSTM,Joint,10,1.28,0.1189,0.3614,0.1567,1.2853
LSTM,Joint,11,1.2796,0.0357,0.321,0.0641,1.2821
LSTM,Joint,12,1.2786,0.1155,0.3581,0.1068,1.2734
LSTM,Joint,13,1.2772,0.0357,0.37,0.065,1.2885
LSTM,Joint,14,1.2767,0.1177,0.3593,0.1465,1.2884
LSTM,Joint,15,1.2769,0.1211,0.3767,0.1069,1.2765
LSTM,Joint,16,1.2757,0.1184,0.3566,0.1212,1.2745
LSTM,Joint,17,1.2743,0.1195,0.366,0.0995,1.2807
LSTM,Joint,18,1.2749,0.1117,0.3623,0.1036,1.2978
LSTM,Joint,19,1.2725,0.1196,0.3676,0.0877,1.2808
LSTM,Joint,20,1.2715,0.1206,0.3609,0.1062,1.2761
LSTM,Joint,21,1.2705,0.1186,0.3616,0.1559,1.2745
LSTM,Joint,22,1.271,0.12,0.3681,0.0806,1.281
LSTM,Stage1,1,0.6947,0.2875,0.7365,0.4136,0.6896
LSTM,Stage1,2,0.6313,0.3503,0.8113,0.4893,0.6037
LSTM,Stage1,3,0.5991,0.3253,1.0,0.4909,0.6366
LSTM,Stage1,4,0.5945,0.3332,0.889,0.4847,0.6235
LSTM,Stage1,5,0.5907,0.3396,0.9193,0.496,0.625
LSTM,Stage1,6,0.5904,0.3402,0.8903,0.4923,0.5987
LSTM,Stage1,7,0.5902,0.3481,0.8318,0.4908,0.6017
LSTM,Stage1,8,0.5893,0.3259,0.988,0.4902,0.6285
LSTM,Stage1,9,0.5894,0.3263,0.9919,0.491,0.6285
LSTM,Stage1,10,0.5908,0.3325,0.9552,0.4933,0.6185
LSTM,Stage1,11,0.5895,0.3497,0.8057,0.4877,0.5942
LSTM,Stage1,12,0.5885,0.3366,0.8843,0.4876,0.6121
LSTM,Stage1,13,0.5885,0.336,0.8642,0.4839,0.6026
LSTM,Stage1,14,0.5894,0.3265,0.9893,0.491,0.6208
LSTM,Stage1,15,0.5889,0.3418,0.8903,0.494,0.6086
LSTM,Stage1,16,0.5895,0.332,0.9193,0.4879,0.6122
LSTM,Stage1,17,0.5877,0.3403,0.9009,0.494,0.6119
LSTM,Stage1,18,0.5872,0.3393,0.8599,0.4866,0.6072
LSTM,Stage1,19,0.5873,0.3476,0.8241,0.489,0.6005
LSTM,Stage1,20,0.5875,0.3344,0.9018,0.4879,0.6049
LSTM,Stage1,21,0.5871,0.3289,0.9722,0.4915,0.6212
LSTM,Stage2,1,1.1019,0.1003,0.3439,0.1551,1.0977
LSTM,Stage2,2,1.1001,0.3565,0.3487,0.165,1.0977
LSTM,Stage2,3,1.0989,0.032,0.3333,0.0584,1.0978
LSTM,Stage2,4,1.0997,0.1121,0.3347,0.0667,1.0976
LSTM,Stage2,5,1.0994,0.1046,0.3485,0.139,1.0976
LSTM,Stage2,6,1.0989,0.1028,0.3344,0.1308,1.0986
LSTM,Stage2,7,1.0994,0.353,0.3602,0.268,1.0975
LSTM,Stage2,8,1.0987,0.3624,0.3525,0.1434,1.097
LSTM,Stage2,9,1.0986,0.3396,0.3546,0.2103,1.0967
LSTM,Stage2,10,1.0979,0.109,0.357,0.1486,1.0951
LSTM,Stage2,11,1.0958,0.3444,0.3647,0.1777,1.0928
LSTM,Stage2,12,1.0952,0.3587,0.3735,0.2852,1.0928
LSTM,Stage2,13,1.0931,0.3493,0.3734,0.2076,1.0919
LSTM,Stage2,14,1.0909,0.3597,0.3795,0.2153,1.0898
LSTM,Stage2,15,1.0891,0.3443,0.371,0.2562,1.0921
LSTM,Stage2,16,1.0893,0.353,0.3668,0.2109,1.0905
LSTM,Stage2,17,1.0883,0.3524,0.3773,0.187,1.0901
LSTM,Stage2,18,1.0865,0.3475,0.3629,0.2368,1.091
LSTM,Stage2,19,1.0852,0.3515,0.361,0.1902,1.0936
LSTM,Stage2,20,1.0858,0.3481,0.3614,0.2315,1.0911
LSTM,Stage2,21,1.082,0.348,0.3647,0.2181,1.0927
LSTM,Stage2,22,1.0819,0.3583,0.3648,0.2054,1.0943
LSTM,Stage2,23,1.0796,0.3372,0.365,0.1987,1.0961
LSTM,Stage2,24,1.0804,0.3588,0.3729,0.2143,1.0976
MAMBA,Joint,1,1.389,0.0809,0.3156,0.1267,1.3891
MAMBA,Joint,2,1.3822,0.1075,0.2885,0.1121,1.3743
MAMBA,Joint,3,1.3599,0.116,0.298,0.1436,1.3435
MAMBA,Joint,4,1.3254,0.1217,0.3121,0.1421,1.303
MAMBA,Joint,5,1.3029,0.1202,0.3128,0.1381,1.2867
MAMBA,Joint,6,1.2959,0.1168,0.3281,0.1301,1.3007
MAMBA,Joint,7,1.2897,0.118,0.3328,0.1389,1.2925
MAMBA,Joint,8,1.285,0.1188,0.3154,0.1432,1.2764
MAMBA,Joint,9,1.2821,0.119,0.3467,0.1402,1.2933
MAMBA,Joint,10,1.28,0.1171,0.3248,0.103,1.2718
MAMBA,Joint,11,1.2788,0.1146,0.3434,0.1382,1.2875
MAMBA,Joint,12,1.2761,0.1171,0.3451,0.1391,1.2862
MAMBA,Joint,13,1.2747,0.1161,0.3314,0.1364,1.2799
MAMBA,Joint,14,1.2745,0.1162,0.3229,0.1341,1.2785
MAMBA,Joint,15,1.2729,0.1136,0.3363,0.1198,1.2888
MAMBA,Joint,16,1.2727,0.1138,0.3348,0.1398,1.2861
MAMBA,Joint,17,1.2682,0.1148,0.3265,0.1365,1.2792
MAMBA,Joint,18,1.2678,0.1143,0.3319,0.1275,1.2833
MAMBA,Joint,19,1.2662,0.1128,0.3365,0.128,1.291
MAMBA,Joint,20,1.2665,0.1123,0.3363,0.121,1.2906
MAMBA,Stage1,1,0.6898,0.3369,0.7579,0.4665,0.6842
MAMBA,Stage1,2,0.6567,0.3509,0.7084,0.4693,0.6339
MAMBA,Stage1,3,0.6245,0.346,0.7955,0.4823,0.6306
MAMBA,Stage1,4,0.6087,0.3451,0.8211,0.486,0.6157
MAMBA,Stage1,5,0.6005,0.3441,0.8117,0.4833,0.6074
MAMBA,Stage1,6,0.596,0.3344,0.9155,0.4898,0.6279
MAMBA,Stage1,7,0.5939,0.3475,0.7942,0.4835,0.6012
MAMBA,Stage1,8,0.5929,0.342,0.8715,0.4912,0.6107
MAMBA,Stage1,9,0.5926,0.3381,0.8962,0.491,0.612
