Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Joint,1,1.3851,0.0893,0.3155,0.121,1.3915
LSTM,Joint,2,1.3748,0.1057,0.3251,0.1507,1.3809
LSTM,Joint,3,1.3655,0.1034,0.2351,0.0341,1.3668
LSTM,Joint,4,1.3533,0.117,0.2557,0.1554,1.3458
LSTM,Joint,5,1.3124,0.1219,0.3127,0.1645,1.2964
LSTM,Joint,6,1.2245,0.1389,0.3912,0.1361,1.1784
LSTM,Joint,7,1.0242,0.2002,0.6609,0.2946,0.9564
LSTM,Joint,8,0.8484,0.2093,0.7341,0.3087,0.8635
LSTM,Joint,9,0.6898,0.2996,0.8262,0.4391,0.7246
LSTM,Joint,10,0.5729,0.3375,0.8631,0.4847,0.627
LSTM,Joint,11,0.5373,0.3933,0.8601,0.5294,0.5698
LSTM,Joint,12,0.4797,0.3532,0.9192,0.5003,0.561
LSTM,Joint,13,0.4465,0.4025,0.8694,0.5494,0.5457
LSTM,Joint,14,0.423,0.3644,0.9028,0.5128,0.5642
LSTM,Joint,15,0.4269,0.4805,0.9143,0.6242,0.4955
LSTM,Joint,16,0.4002,0.3938,0.9192,0.5435,0.531
LSTM,Joint,17,0.3891,0.4152,0.9135,0.5581,0.5385
LSTM,Joint,18,0.3869,0.5257,0.9235,0.6603,0.4957
LSTM,Joint,19,0.3533,0.5027,0.922,0.647,0.4872
LSTM,Joint,20,0.3658,0.4436,0.9272,0.5969,0.5051
LSTM,Joint,21,0.3532,0.4545,0.947,0.6004,0.5331
LSTM,Joint,22,0.3355,0.3823,0.8901,0.5298,0.5305
LSTM,Joint,23,0.3294,0.4447,0.9328,0.6006,0.5101
LSTM,Joint,24,0.3368,0.5834,0.9342,0.7108,0.4763
LSTM,Joint,25,0.3165,0.4776,0.9076,0.6136,0.4974
LSTM,Joint,26,0.3508,0.4669,0.9155,0.616,0.5496
LSTM,Joint,27,0.3269,0.5497,0.9375,0.6869,0.4763
LSTM,Joint,28,0.2969,0.5561,0.9319,0.6904,0.4792
LSTM,Joint,29,0.3109,0.5791,0.9367,0.7099,0.4592
LSTM,Joint,30,0.3007,0.5416,0.9328,0.6768,0.4989
LSTM,Joint,31,0.3088,0.6123,0.946,0.7297,0.5329
LSTM,Joint,32,0.2825,0.483,0.9167,0.6251,0.4773
LSTM,Joint,33,0.2819,0.6586,0.9422,0.7666,0.4289
LSTM,Joint,34,0.3006,0.5304,0.96,0.6751,0.4882
LSTM,Joint,35,0.2693,0.5634,0.9541,0.6933,0.459
LSTM,Joint,36,0.2713,0.6563,0.9285,0.7588,0.4367
LSTM,Joint,37,0.2629,0.5972,0.9479,0.7204,0.4885
LSTM,Joint,38,0.2985,0.5361,0.9189,0.668,0.428
LSTM,Joint,39,0.2583,0.6117,0.9484,0.7317,0.492
LSTM,Joint,40,0.2616,0.6702,0.9664,0.7769,0.4645
LSTM,Joint,41,0.2463,0.5547,0.9049,0.6801,0.3931
LSTM,Joint,42,0.248,0.5224,0.9289,0.6658,0.4749
LSTM,Joint,43,0.2895,0.6884,0.9224,0.7815,0.4045
LSTM,Joint,44,0.2331,0.5885,0.9127,0.7127,0.3887
LSTM,Joint,45,0.2338,0.6876,0.9417,0.7872,0.364
LSTM,Joint,46,0.2181,0.7131,0.965,0.8058,0.398
LSTM,Joint,47,0.2202,0.6788,0.9495,0.7857,0.387
LSTM,Joint,48,0.2041,0.6263,0.8986,0.7363,0.3797
LSTM,Joint,49,0.2228,0.7156,0.9407,0.8106,0.3078
LSTM,Joint,50,0.1958,0.7759,0.8838,0.8258,0.2888
LSTM,Joint,51,0.2181,0.7366,0.9348,0.822,0.2717
LSTM,Joint,52,0.1771,0.6991,0.9755,0.8061,0.3241
LSTM,Joint,53,0.1792,0.794,0.9361,0.8573,0.2584
LSTM,Joint,54,0.1629,0.7731,0.9472,0.847,0.2925
LSTM,Joint,55,0.1525,0.725,0.9499,0.8208,0.287
LSTM,Joint,56,0.1941,0.7503,0.944,0.8346,0.2756
LSTM,Joint,57,0.1485,0.7127,0.954,0.8035,0.4349
LSTM,Joint,58,0.1584,0.7296,0.9576,0.8188,0.3519
LSTM,Joint,59,0.1654,0.7506,0.9553,0.8372,0.2973
LSTM,Joint,60,0.1179,0.8184,0.9687,0.8865,0.1737
LSTM,Joint,61,0.0971,0.8257,0.969,0.8915,0.1507
LSTM,Joint,62,0.0913,0.8446,0.9715,0.9027,0.1554
LSTM,Joint,63,0.0923,0.8349,0.9553,0.8908,0.185
LSTM,Joint,64,0.086,0.8776,0.9599,0.9168,0.1435
LSTM,Joint,65,0.092,0.8649,0.9741,0.9154,0.1402
LSTM,Joint,66,0.0858,0.8741,0.9715,0.9195,0.1406
LSTM,Joint,67,0.0829,0.8459,0.9744,0.9028,0.1864
LSTM,Joint,68,0.077,0.866,0.9636,0.9121,0.1373
LSTM,Joint,69,0.0834,0.86,0.9741,0.9116,0.1582
LSTM,Joint,70,0.0705,0.8777,0.9616,0.9177,0.1257
LSTM,Joint,71,0.083,0.8636,0.9739,0.9143,0.1494
LSTM,Joint,72,0.0759,0.8532,0.9621,0.9041,0.1246
LSTM,Joint,73,0.0709,0.8525,0.9745,0.9066,0.203
LSTM,Joint,74,0.0701,0.8583,0.9635,0.9078,0.142
LSTM,Joint,75,0.0858,0.8661,0.9657,0.9132,0.1307
LSTM,Joint,76,0.0689,0.8573,0.9672,0.9085,0.141
LSTM,Joint,77,0.0691,0.8927,0.9731,0.9309,0.1227
LSTM,Joint,78,0.0732,0.8597,0.9718,0.9113,0.1479
LSTM,Joint,79,0.0816,0.8465,0.9793,0.9056,0.1779
LSTM,Joint,80,0.0637,0.8938,0.9776,0.9337,0.1105
LSTM,Joint,81,0.0689,0.8902,0.9688,0.9277,0.1281
LSTM,Joint,82,0.0521,0.8795,0.9661,0.9206,0.1337
LSTM,Joint,83,0.0655,0.8849,0.977,0.9279,0.1256
LSTM,Joint,84,0.0601,0.8769,0.9623,0.9176,0.1398
LSTM,Joint,85,0.0798,0.829,0.9699,0.8936,0.1506
LSTM,Joint,86,0.0714,0.8838,0.9737,0.9259,0.1198
LSTM,Joint,87,0.0484,0.9052,0.9714,0.9371,0.1007
LSTM,Joint,88,0.0473,0.899,0.9754,0.9354,0.0992
LSTM,Joint,89,0.0429,0.9008,0.9745,0.9359,0.1044
LSTM,Joint,90,0.0423,0.9048,0.9762,0.9388,0.1046
LSTM,Joint,91,0.0446,0.8951,0.9686,0.9303,0.1132
LSTM,Joint,92,0.041,0.8965,0.9782,0.9348,0.1189
LSTM,Joint,93,0.0408,0.9055,0.9723,0.9376,0.1073
LSTM,Joint,94,0.0431,0.9033,0.9715,0.936,0.1108
LSTM,Joint,95,0.0372,0.9073,0.9763,0.9404,0.1047
LSTM,Joint,96,0.0357,0.9078,0.9729,0.9392,0.1099
LSTM,Joint,97,0.0354,0.9091,0.9706,0.9388,0.1091
LSTM,Joint,98,0.0355,0.9073,0.9723,0.9385,0.1145
LSTM,Stage1,1,0.6945,0.2773,0.3747,0.3188,0.6898
LSTM,Stage1,2,0.6914,0.2763,0.763,0.4057,0.7001
LSTM,Stage1,3,0.682,0.3076,0.2417,0.2707,0.6526
LSTM,Stage1,4,0.6634,0.3,0.8762,0.447,0.6911
LSTM,Stage1,5,0.6561,0.3026,0.8479,0.446,0.6694
LSTM,Stage1,6,0.6536,0.3031,0.8495,0.4467,0.6727
LSTM,Stage1,7,0.6535,0.3008,0.8689,0.4469,0.6744
LSTM,Stage1,8,0.6516,0.3067,0.8003,0.4434,0.6672
LSTM,Stage1,9,0.6515,0.3222,0.5165,0.3969,0.6345
LSTM,Stage1,10,0.6498,0.3022,0.8559,0.4467,0.6796
LSTM,Stage1,11,0.6501,0.3094,0.7644,0.4405,0.6517
LSTM,Stage1,12,0.6494,0.3123,0.7087,0.4336,0.6486
LSTM,Stage1,13,0.648,0.3098,0.7452,0.4376,0.6509
LSTM,Stage1,14,0.6481,0.3156,0.6399,0.4227,0.6409
LSTM,Stage1,15,0.6474,0.3048,0.8301,0.4459,0.6695
LSTM,Stage1,16,0.6459,0.3099,0.7623,0.4407,0.6542
LSTM,Stage1,17,0.6463,0.3145,0.6826,0.4306,0.6431
LSTM,Stage1,18,0.6457,0.3127,0.7122,0.4346,0.6471
LSTM,Stage1,19,0.6455,0.3111,0.7421,0.4384,0.6499
LSTM,Stage2,1,1.1011,0.3317,0.329,0.2371,1.0986
LSTM,Stage2,2,1.098,0.0736,0.3365,0.1143,1.0979
LSTM,Stage2,3,1.0909,0.3341,0.347,0.311,1.0945
LSTM,Stage2,4,1.0822,0.3833,0.3733,0.3047,1.0866
LSTM,Stage2,5,1.0449,0.3482,0.4152,0.2225,1.0381
LSTM,Stage2,6,0.9371,0.4369,0.4953,0.4561,0.9119
LSTM,Stage2,7,0.8452,0.4754,0.5599,0.4964,0.8815
LSTM,Stage2,8,0.7965,0.5899,0.5427,0.561,0.8471
LSTM,Stage2,9,0.7231,0.5187,0.5747,0.4148,0.771
LSTM,Stage2,10,0.6278,0.5493,0.7323,0.5871,0.5693
LSTM,Stage2,11,0.5125,0.7115,0.7867,0.7295,0.4634
LSTM,Stage2,12,0.3954,0.7228,0.8632,0.7736,0.3361
LSTM,Stage2,13,0.2871,0.7617,0.8827,0.811,0.3105
LSTM,Stage2,14,0.2409,0.752,0.9065,0.8104,0.2287
LSTM,Stage2,15,0.2232,0.8456,0.9349,0.8844,0.1696
LSTM,Stage2,16,0.1808,0.8089,0.9416,0.8626,0.1639
LSTM,Stage2,17,0.1608,0.8,0.9262,0.8495,0.209
