model,component,approach,epochs_trained,best_epoch,min_val_loss,final_val_loss,max_event_f1,final_event_f1,params,memory_mb,training_time_s,early_stopping,lr_reductions,log_stem,log_relpath
LSTM,Joint,joint,21,11,1.3369,1.3529,0.1529,0.0993,28660.0,0.218658447265625,43.2932,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
LSTM,Stage1,cascade,29,19,0.6392,0.6455,0.4483,0.4403,28586.0,0.2180938720703125,59.6803,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
LSTM,Stage2,cascade,26,16,1.0942,1.1028,0.3079,0.1801,28623.0,0.21837615966796875,52.5126,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
MAMBA,Joint,joint,24,14,1.3445,1.3595,0.1387,0.1015,12208.0,0.0931396484375,89.5316,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
MAMBA,Stage1,cascade,22,12,0.6471,0.6491,0.4458,0.4409,12014.0,0.0916595458984375,76.9301,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
MAMBA,Stage2,cascade,18,8,1.0977,1.1015,0.2812,0.1877,12111.0,0.09239959716796875,67.4289,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
TRANSFORMER,Joint,joint,12,2,1.3355,1.3444,0.1478,0.1325,212996.0,1.625030517578125,16.0746,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
TRANSFORMER,Stage1,cascade,11,1,0.6401,0.6597,0.4486,0.4444,212898.0,1.6242828369140625,15.1861,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
TRANSFORMER,Stage2,cascade,15,5,1.0965,1.1012,0.3052,0.1605,212947.0,1.6246566772460938,20.3213,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
CNN,Joint,joint,21,11,1.3332,1.3844,0.1534,0.1097,472708.0,3.606475830078125,163.553,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
CNN,Stage1,cascade,14,4,0.6309,0.6417,0.447,0.4324,472450.0,3.6045074462890625,108.8509,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
CNN,Stage2,cascade,19,9,1.096,1.1096,0.313,0.2006,472579.0,3.6054916381835938,145.4081,True,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
LightGBM,Joint,joint,0,-1,,,,,,0.4005126953125,0.5714,False,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
LightGBM,Stage1,cascade,0,-1,,,,,,0.2041187286376953,0.3837,False,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
LightGBM,Stage2,cascade,0,-1,,,,,,0.2995271682739258,0.173,False,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
MiniRocket,Joint,joint,0,-1,,,,,9748.0,0.0856,,False,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
MiniRocket,Stage1,cascade,0,-1,,,,,4874.0,0.0484,,False,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
MiniRocket,Stage2,cascade,0,-1,,,,,7311.0,0.067,5.4082,False,0,30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log
