log_stem,log_relpath,Model,Joint_Accuracy,Joint_Macro_F1,Joint_Weighted_F1,Joint_Min_Thrust_Recall,Joint_Inference_Time_s,Cascade_EndToEnd_Accuracy,Cascade_EndToEnd_Macro_F1,Cascade_EndToEnd_Weighted_F1,Cascade_EndToEnd_Min_Thrust_Recall,Cascade_Stage2_Conditional_Accuracy,Cascade_Inference_Time_s,Cascade_Stage1_Detector_Accuracy,Cascade_Stage1_Detector_Macro_F1,Cascade_Stage2_Standalone_Accuracy,Cascade_Stage2_Standalone_Macro_F1,Accuracy_Delta_Cascade_minus_Joint,Macro_F1_Delta_Cascade_minus_Joint,Better_By_Accuracy,Better_By_Macro_F1
30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log,CNN,27.87,0.1719,0.3874,0.0787,0.9733,53.15,0.218,0.5511,0.0,20.38,2.4976,62.43,0.5563,15.98,0.1417,25.279999999999998,0.0461,Cascade,Cascade
30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log,LSTM,24.17,0.1666,0.3208,0.1045,0.175,43.32,0.2501,0.5149,0.1467,39.68,0.7877,54.08,0.5247,31.01,0.2447,19.15,0.08349999999999999,Cascade,Cascade
30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log,LightGBM,72.47,0.2101,0.609,0.0,0.0528,74.6,0.2136,0.6374,0.0,,0.4849,74.6,0.4273,76.3,0.2885,2.1299999999999955,0.003500000000000003,Cascade,Cascade
30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log,MAMBA,40.19,0.2351,0.4857,0.1244,0.143,45.35,0.2267,0.5263,0.088,20.32,0.6978,57.39,0.5399,19.2,0.1831,5.160000000000004,-0.00839999999999999,Cascade,Joint
30min1500EvalTest_Seed1,meo/30min-1500/30min1500EvalTest_Seed1.log,TRANSFORMER,32.94,0.2184,0.4214,0.1689,0.0783,44.92,0.2378,0.5199,0.0044,34.34,0.6038,55.61,0.5312,34.8,0.2731,11.980000000000004,0.0194,Cascade,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log,CNN,99.08,0.9903,0.9907,0.9562,0.9856,99.14,0.9918,0.9914,0.9584,99.78,2.4953,99.2,0.9894,99.78,0.9977,0.060000000000002274,0.0015000000000000568,Cascade,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log,LSTM,99.11,0.9923,0.9911,0.9599,0.1969,99.23,0.9924,0.9922,0.962,99.93,0.8154,99.24,0.99,99.93,0.998,0.12000000000000455,9.999999999998899e-05,Cascade,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log,LightGBM,99.16,0.9928,0.9915,0.9608,0.0511,97.51,0.9596,0.9746,0.8756,100.0,0.4982,97.51,0.9663,100.0,1.0,-1.6499999999999915,-0.03320000000000001,Joint,Joint
30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log,MAMBA,97.3,0.8673,0.9738,0.842,0.1456,97.94,0.9052,0.9796,0.8864,95.11,0.6914,99.16,0.9888,95.26,0.8853,0.6400000000000006,0.037900000000000045,Cascade,Cascade
30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2,meo/30min-1500/30min1500Energy_J2Energy_ResidLadder3_OE_EvalTest_Seed2.log,TRANSFORMER,99.48,0.9953,0.9948,0.9768,0.0973,99.22,0.9937,0.9921,0.9608,100.0,0.5918,99.22,0.9897,100.0,1.0,-0.2600000000000051,-0.0015999999999999348,Joint,Joint
30min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed0.log,CNN,95.43,0.9439,0.9546,0.9118,0.983,97.27,0.9479,0.9728,0.9418,98.97,2.4998,97.53,0.9676,98.34,0.9649,1.8399999999999892,0.0040000000000000036,Cascade,Cascade
30min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed0.log,LSTM,94.71,0.9287,0.9482,0.948,0.1744,57.71,0.4313,0.6086,0.48,98.79,0.7708,57.89,0.5416,97.93,0.9548,-36.99999999999999,-0.49739999999999995,Joint,Joint
30min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed0.log,LightGBM,72.46,0.3081,0.6161,0.0087,0.071,74.2,0.2411,0.6396,0.0106,78.64,0.5168,74.28,0.4403,79.25,0.4346,1.740000000000009,-0.06699999999999998,Cascade,Joint
30min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed0.log,MAMBA,83.24,0.7339,0.838,0.7066,0.1441,82.35,0.6266,0.8321,0.6425,82.36,0.7124,86.06,0.8271,80.06,0.6621,-0.8900000000000006,-0.10729999999999995,Joint,Joint
30min1500Energy_J2Energy_OE_EvalTest_Seed0,meo/30min-1500/30min1500Energy_J2Energy_OE_EvalTest_Seed0.log,TRANSFORMER,89.87,0.7386,0.9091,0.938,0.0842,59.08,0.3794,0.6263,0.3511,95.97,0.5908,59.6,0.545,94.59,0.8057,-30.790000000000006,-0.3592,Joint,Joint
